상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[170.11010490451613, 164.57159508652066, 159.65063211692473]",https://a-bly.com/app/goods/3994282,상세페이지 참조,./images/ably/Hood/Hood_0.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[102.10363214569938, 103.01758941864684, 100.16202693812596]",https://a-bly.com/app/goods/4364679,상세페이지 참조,./images/ably/Hood/Hood_1.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[116.6720323958423, 120.4760053187201, 120.74133693287153]",https://a-bly.com/app/goods/4438608,상세페이지 참조,./images/ably/Hood/Hood_2.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[44.790277697828785, 54.03490893737512, 32.7118429385567]",https://a-bly.com/app/goods/4257127,상세페이지 참조,./images/ably/Hood/Hood_3.jpg
의류,상의,후드,73,레드 / 네이비,"[133.0292569414622, 121.74637959469632, 99.32661590945104]",https://a-bly.com/app/goods/3898436,60,./images/ably/Hood/Hood_4.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/4384414,상세페이지 참조,./images/ably/Hood/Hood_5.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[103.35911916852537, 116.76937497033991, 119.62125670352641]",https://a-bly.com/app/goods/2623173,상세페이지 참조,./images/ably/Hood/Hood_6.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[138.477389496004, 127.73440303376188, 89.08141004729976]",https://a-bly.com/app/goods/4146682,상세페이지 참조,./images/ably/Hood/Hood_7.jpg
의류,상의,후드,상세페이지 참조,상품 상세페이지 참조,"[39.33416381190385, 37.382217377770246, 40.163593895981236]",https://a-bly.com/app/goods/3074118,상세페이지 참조,./images/ably/Hood/Hood_8.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[150.95837803046615, 136.94670058540504, 125.02323229227486]",https://a-bly.com/app/goods/3268346,상세페이지 참조,./images/ably/Hood/Hood_9.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[202.25612305388327, 202.25612305388327, 202.25612305388327]",https://a-bly.com/app/goods/4230878,상세페이지 참조,./images/ably/Hood/Hood_10.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[175.01710199005382, 171.30143923240524, 163.44471837242276]",https://a-bly.com/app/goods/4405000,상세페이지 참조,./images/ably/Hood/Hood_11.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[170.8955313107196, 175.00385260466254, 178.2258257360582]",https://a-bly.com/app/goods/4353388,상세페이지 참조,./images/ably/Hood/Hood_12.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[120.37728099328788, 114.73509123972639, 106.90455885118679]",https://a-bly.com/app/goods/2948493,상세페이지 참조,./images/ably/Hood/Hood_13.jpg
