상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[174.50589002188372, 132.17295246077336, 122.90918191553475]",https://a-bly.com/app/goods/3633089,상세페이지 참조,./images/ably/Leggings/Leggings_0.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[196.79876816023318, 132.2827119281606, 132.08282006675927]",https://a-bly.com/app/goods/2360032,상세페이지 참조,./images/ably/Leggings/Leggings_1.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[45.9237934864326, 45.76509261580438, 53.53385761887442]",https://a-bly.com/app/goods/4436666,상세페이지 참조,./images/ably/Leggings/Leggings_2.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[185.8794922667619, 166.83773729539772, 150.3364747260664]",https://a-bly.com/app/goods/2090316,상세페이지 참조,./images/ably/Leggings/Leggings_3.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[128.71321077906217, 131.617410454836, 138.48826966017305]",https://a-bly.com/app/goods/3587978,상세페이지 참조,./images/ably/Leggings/Leggings_4.jpg
의류,트레이닝,레깅스,상세페이지 참조,상품 상세 참조,"[5.798391109631524, 9.43199535577719, 16.1719605241272]",https://a-bly.com/app/goods/2925204,상세페이지 참조,./images/ably/Leggings/Leggings_5.jpg
의류,트레이닝,레깅스,상세페이지 참조,"블랙,그레이,아이보리,차콜","[172.98696616749913, 145.4585413200204, 126.51192457016057]",https://a-bly.com/app/goods/4244355,상세페이지 참조,./images/ably/Leggings/Leggings_6.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[41.82928351340723, 39.35617613790998, 39.85915987362961]",https://a-bly.com/app/goods/3660863,상세페이지 참조,./images/ably/Leggings/Leggings_7.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[196.0323351005398, 194.42546687682113, 187.33077804843015]",https://a-bly.com/app/goods/2559951,상세페이지 참조,./images/ably/Leggings/Leggings_8.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[171.1887577011838, 148.36509813645606, 150.8396818433244]",https://a-bly.com/app/goods/4380074,상세페이지 참조,./images/ably/Leggings/Leggings_9.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[168.47434504127435, 110.25777510578635, 123.45332624228352]",https://a-bly.com/app/goods/2060325,상세페이지 참조,./images/ably/Leggings/Leggings_10.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[28.61720301321384, 28.61720301321384, 28.65912314433524]",https://a-bly.com/app/goods/3840112,상세페이지 참조,./images/ably/Leggings/Leggings_11.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[136.15219752863118, 122.58181324401335, 140.01613633277591]",https://a-bly.com/app/goods/2249706,상세페이지 참조,./images/ably/Leggings/Leggings_12.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[180.4779004093481, 170.8590600549243, 164.6901912016159]",https://a-bly.com/app/goods/1209431,상세페이지 참조,./images/ably/Leggings/Leggings_13.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[130.84416646101087, 104.30943052813721, 84.3418373642586]",https://a-bly.com/app/goods/2279209,상세페이지 참조,./images/ably/Leggings/Leggings_14.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[36.2595055059318, 34.40951589444259, 36.459450100418735]",https://a-bly.com/app/goods/3864028,상세페이지 참조,./images/ably/Leggings/Leggings_15.jpg
의류,트레이닝,레깅스,48,상세페이지 참조,"[169.99981297924248, 161.79534585481935, 159.8088380667413]",https://a-bly.com/app/goods/2544519,29,./images/ably/Leggings/Leggings_16.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[169.2576871657764, 169.37301554144287, 165.39630681818096]",https://a-bly.com/app/goods/2327314,상세페이지 참조,./images/ably/Leggings/Leggings_17.jpg
의류,트레이닝,레깅스,상세페이지 참조,아이 / 회색 / 검정,"[17.3477052426681, 21.688218740228933, 20.663829343718817]",https://a-bly.com/app/goods/1221903,상세페이지 참조,./images/ably/Leggings/Leggings_18.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[227.41146537051074, 226.40163891277385, 224.24322237625083]",https://a-bly.com/app/goods/2158803,상세페이지 참조,./images/ably/Leggings/Leggings_19.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[191.48847365268102, 182.2136963536965, 167.11110896408033]",https://a-bly.com/app/goods/2084217,상세페이지 참조,./images/ably/Leggings/Leggings_20.jpg
의류,트레이닝,레깅스,상세페이지 참조,프리사이즈,"[31.82792994397164, 31.81180299977143, 35.77376042609659]",https://a-bly.com/app/goods/3892880,상세페이지 참조,./images/ably/Leggings/Leggings_21.jpg
