상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,아우터,야상,42,"화이트, 하늘","[166.00157475886502, 150.8963471218469, 143.93436630016112]",https://a-bly.com/app/goods/2255801,25,./images/ably/field/field_0.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[19.077564280682225, 18.88161241370642, 22.123453095946424]",https://a-bly.com/app/goods/2883004,상세페이지 참조,./images/ably/field/field_1.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[177.26773658313357, 161.3627131250707, 154.24362055155015]",https://a-bly.com/app/goods/2386590,상세페이지 참조,./images/ably/field/field_2.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[185.59627204945753, 175.56330241862156, 163.27012184033873]",https://a-bly.com/app/goods/1196370,상세페이지 참조,./images/ably/field/field_3.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[17.88773934525841, 17.693290611474453, 21.080180667083482]",https://a-bly.com/app/goods/2535204,상세페이지 참조,./images/ably/field/field_4.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[147.77912845966262, 156.04357701690924, 174.96683351560515]",https://a-bly.com/app/goods/2246960,상세페이지 참조,./images/ably/field/field_5.jpg
의류,아우터,야상,47,"블랙, 아이보리, 네츄럴","[144.54660255878863, 124.4764431180755, 108.08845229213262]",https://a-bly.com/app/goods/2743115,20,./images/ably/field/field_6.jpg
의류,아우터,야상,70,"블랙, 라이트그레이","[203.6616421994756, 202.71845849144717, 199.04460033563643]",https://a-bly.com/app/goods/3560635,62,./images/ably/field/field_7.jpg
의류,아우터,야상,42,4COLOR,"[174.34300709409192, 143.33177663619773, 149.94455934351993]",https://a-bly.com/app/goods/2336016,32,./images/ably/field/field_8.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[163.40590515955702, 152.46180866222508, 146.69195082347693]",https://a-bly.com/app/goods/2535149,상세페이지 참조,./images/ably/field/field_9.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[13.54333898624472, 12.10688713019627, 13.043857169782143]",https://a-bly.com/app/goods/2155539,상세페이지 참조,./images/ably/field/field_10.jpg
의류,아우터,야상,66,"그레이, 블랙, 아이보리","[96.74919288593128, 95.81047624505223, 104.30964525187603]",https://a-bly.com/app/goods/3753804,57,./images/ably/field/field_11.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[198.0824556242015, 183.20466803961295, 165.5919388055267]",https://a-bly.com/app/goods/4078254,상세페이지 참조,./images/ably/field/field_12.jpg
의류,아우터,야상,108,"베이지, 블랙","[183.05246254984203, 178.56422028236142, 170.4159068865191]",https://a-bly.com/app/goods/3634929,49,./images/ably/field/field_13.jpg
의류,아우터,야상,61,"베이지, 버터옐로우, 블랙","[152.83774263800734, 148.65190796326064, 139.93455165230455]",https://a-bly.com/app/goods/3869190,55.5,./images/ably/field/field_14.jpg
의류,아우터,야상,63,화이트블랙카키베이지,"[62.58138686131293, 64.43258128732546, 57.63876907764017]",https://a-bly.com/app/goods/2476758,52,./images/ably/field/field_15.jpg
의류,아우터,야상,상세페이지 참조,블랙/화이트/카키/베이지/다크그레이,"[194.76814241184195, 177.8451685174319, 169.05513345021424]",https://a-bly.com/app/goods/1217796,상세페이지 참조,./images/ably/field/field_16.jpg
의류,아우터,야상,상세페이지 참조,블랙/그레이,"[207.245946236169, 197.27347245588322, 181.11550989726527]",https://a-bly.com/app/goods/2871970,상세페이지 참조,./images/ably/field/field_17.jpg
의류,아우터,야상,상세페이지 참조,아이보리/베이지/카키/다크그레이,"[196.94229188359665, 174.72558046071345, 161.4284539924388]",https://a-bly.com/app/goods/939845,상세페이지 참조,./images/ably/field/field_18.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[48.91948801462452, 50.42755921258812, 52.55344133024799]",https://a-bly.com/app/goods/3915906,상세페이지 참조,./images/ably/field/field_19.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[157.8908694070561, 160.31935249181356, 165.16173153874206]",https://a-bly.com/app/goods/2575382,상세페이지 참조,./images/ably/field/field_20.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[147.6041974314258, 141.95771244462665, 138.95596724392342]",https://a-bly.com/app/goods/2506201,상세페이지 참조,./images/ably/field/field_21.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/4431205,상세페이지 참조,./images/ably/field/field_22.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[33.92680827624504, 33.632561021784426, 35.39876751473372]",https://a-bly.com/app/goods/2928615,상세페이지 참조,./images/ably/field/field_23.jpg
의류,아우터,야상,69.5,Beige / Khaki / Gray,"[188.90505038297167, 186.4347891771039, 178.4334295167141]",https://a-bly.com/app/goods/1280789,62,./images/ably/field/field_24.jpg
의류,아우터,야상,62.5,"아이보리,블랙",[],https://a-bly.com/app/goods/717776,61,./images/ably/field/field_25.jpg
의류,아우터,야상,65,"블랙, 그레이","[151.27953929847686, 143.94081897434808, 135.37463865431505]",https://a-bly.com/app/goods/2863328,55,./images/ably/field/field_26.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[23.28192462110883, 19.868118470556666, 25.719252517190455]",https://a-bly.com/app/goods/2111406,상세페이지 참조,./images/ably/field/field_27.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[153.0388517973668, 140.39583569084317, 131.39806118214858]",https://a-bly.com/app/goods/4055302,상세페이지 참조,./images/ably/field/field_28.jpg
의류,아우터,야상,69,"베이지, 먹색","[101.64822763342472, 100.59192646719615, 94.5565419484523]",https://a-bly.com/app/goods/2006953,52,./images/ably/field/field_29.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[185.6506789735664, 183.8656792151924, 180.4457787657645]",https://a-bly.com/app/goods/3986279,상세페이지 참조,./images/ably/field/field_30.jpg
