상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,아우터,자켓,52,"블랙, 아이보리, 크림","[226.5183776932675, 218.50367883068606, 215.55424423485755]",https://a-bly.com/app/goods/4124597,22,./images/ably/jacket/jacket_0.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/4112564,상세페이지 참조,./images/ably/jacket/jacket_1.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[135.04839526638185, 131.86792221147707, 128.7006032140722]",https://a-bly.com/app/goods/3942283,상세페이지 참조,./images/ably/jacket/jacket_2.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[165.2666343156832, 129.91478004442047, 104.658802889191]",https://a-bly.com/app/goods/1124463,상세페이지 참조,./images/ably/jacket/jacket_3.jpg
의류,아우터,자켓,45,"블랙, 네츄럴, 아이보리","[152.6059257303427, 139.44691926145111, 120.72123418139049]",https://a-bly.com/app/goods/4146570,20,./images/ably/jacket/jacket_4.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[27.217383251147496, 27.53904748674914, 31.921002060615223]",https://a-bly.com/app/goods/4289610,상세페이지 참조,./images/ably/jacket/jacket_5.jpg
의류,아우터,자켓,48,"블랙, 아이보리, 먹색, 베이지","[110.3997513793301, 92.99690075608159, 74.60792861521529]",https://a-bly.com/app/goods/2366683,25,./images/ably/jacket/jacket_6.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[125.19517079806577, 113.21933570132795, 102.19978083434226]",https://a-bly.com/app/goods/4115040,상세페이지 참조,./images/ably/jacket/jacket_7.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/4421813,상세페이지 참조,./images/ably/jacket/jacket_8.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/4400570,상세페이지 참조,./images/ably/jacket/jacket_9.jpg
의류,아우터,자켓,48,베이지 블랙 아이보리 민트,"[126.23094792672761, 114.64531381698788, 104.9552659169843]",https://a-bly.com/app/goods/2412388,26,./images/ably/jacket/jacket_10.jpg
의류,아우터,자켓,40,상세페이지 참조,"[220.63369473249287, 222.55992601483734, 222.9962613880057]",https://a-bly.com/app/goods/4123554,25,./images/ably/jacket/jacket_11.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/3923256,상세페이지 참조,./images/ably/jacket/jacket_12.jpg
의류,아우터,자켓,76,"아이보리, 차콜, 블랙","[133.7748999256357, 121.88687245858773, 112.86904102653497]",https://a-bly.com/app/goods/4149613,26,./images/ably/jacket/jacket_13.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[147.22893668056878, 139.4019952571746, 118.76138686728478]",https://a-bly.com/app/goods/4133903,상세페이지 참조,./images/ably/jacket/jacket_14.jpg
의류,아우터,자켓,47,"아이보리, 베이지, 소라","[129.21827880512453, 118.9555832147953, 111.59050497866552]",https://a-bly.com/app/goods/4115541,29,./images/ably/jacket/jacket_15.jpg
의류,아우터,자켓,42,"블랙, 아이보리","[116.77942157278713, 116.92825238990443, 115.31213241981192]",https://a-bly.com/app/goods/2521090,21,./images/ably/jacket/jacket_16.jpg
의류,아우터,자켓,51,"아이,블랙","[200.43752307351076, 200.8401466860268, 199.79739607687935]",https://a-bly.com/app/goods/4422045,26,./images/ably/jacket/jacket_17.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[129.42725641993695, 108.18490370091024, 88.74951221047351]",https://a-bly.com/app/goods/4272582,상세페이지 참조,./images/ably/jacket/jacket_18.jpg
의류,아우터,자켓,53,"블랙, 화이트","[221.06903972419144, 223.3359757570523, 234.17343376006585]",https://a-bly.com/app/goods/4283604,22,./images/ably/jacket/jacket_19.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[185.1041634894014, 118.8939149001073, 133.01210919628284]",https://a-bly.com/app/goods/2328974,상세페이지 참조,./images/ably/jacket/jacket_20.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[190.71445515196723, 156.49221645663556, 128.2781616011824]",https://a-bly.com/app/goods/3925392,상세페이지 참조,./images/ably/jacket/jacket_21.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[154.96665871515825, 146.3604235095506, 132.90142576655546]",https://a-bly.com/app/goods/2346906,상세페이지 참조,./images/ably/jacket/jacket_22.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[155.7695149450638, 135.33397303650966, 116.43443842057283]",https://a-bly.com/app/goods/2243434,상세페이지 참조,./images/ably/jacket/jacket_23.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[165.1115833385602, 160.00410890157463, 158.31665202935793]",https://a-bly.com/app/goods/4421779,상세페이지 참조,./images/ably/jacket/jacket_24.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/4006696,상세페이지 참조,./images/ably/jacket/jacket_25.jpg
의류,아우터,자켓,44,"민트, 아이보리,핑크, 블랙","[207.3948774117478, 210.13554638133658, 208.29138090824904]",https://a-bly.com/app/goods/1189993,26,./images/ably/jacket/jacket_26.jpg
의류,아우터,자켓,48,"블랙, 아이보리, 먹색, 베이지","[200.47097354225093, 188.00398150524958, 177.89790970972945]",https://a-bly.com/app/goods/2387248,24.5,./images/ably/jacket/jacket_27.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[30.79343286699242, 31.561564696888553, 34.620362636610636]",https://a-bly.com/app/goods/4147933,상세페이지 참조,./images/ably/jacket/jacket_28.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[133.93394630524824, 125.21360479232396, 120.09325929906237]",https://a-bly.com/app/goods/2366427,상세페이지 참조,./images/ably/jacket/jacket_29.jpg
의류,아우터,자켓,49,"아이보리, 브라운, 카키","[109.02685825148464, 107.06723657087477, 103.06957075300042]",https://a-bly.com/app/goods/4342348,18,./images/ably/jacket/jacket_30.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[63.109018250315685, 54.37411866520979, 39.70122432357021]",https://a-bly.com/app/goods/4339570,상세페이지 참조,./images/ably/jacket/jacket_31.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[176.859016754854, 156.73978542033788, 125.80915637859741]",https://a-bly.com/app/goods/3995656,상세페이지 참조,./images/ably/jacket/jacket_32.jpg
의류,아우터,자켓,40,"블루, 아이보리, 핑크","[188.6213482928007, 176.7693382766792, 178.10940078033002]",https://a-bly.com/app/goods/4285828,24,./images/ably/jacket/jacket_33.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[204.61723700887754, 192.40955719264235, 177.4354008238194]",https://a-bly.com/app/goods/4298258,상세페이지 참조,./images/ably/jacket/jacket_34.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[28.016314847933927, 27.12140727490248, 26.82194394751106]",https://a-bly.com/app/goods/4335060,상세페이지 참조,./images/ably/jacket/jacket_35.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[156.9302977700633, 150.69372857969446, 147.63562113321728]",https://a-bly.com/app/goods/4112756,상세페이지 참조,./images/ably/jacket/jacket_36.jpg
의류,아우터,자켓,38.5,상세페이지 참조,"[215.97583180816267, 201.37739922098103, 186.3222425579211]",https://a-bly.com/app/goods/4255186,24.5,./images/ably/jacket/jacket_37.jpg
의류,아우터,자켓,47,"아이보리, 카키, 브라운","[182.32244469464507, 179.47541307853973, 174.54378784651348]",https://a-bly.com/app/goods/4262942,18,./images/ably/jacket/jacket_38.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/4253441,상세페이지 참조,./images/ably/jacket/jacket_39.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[51.29172345110578, 46.975573959540014, 48.35404654574994]",https://a-bly.com/app/goods/4037260,상세페이지 참조,./images/ably/jacket/jacket_40.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[188.81437183228522, 176.6606896022116, 158.96398402703082]",https://a-bly.com/app/goods/1362907,상세페이지 참조,./images/ably/jacket/jacket_41.jpg
의류,아우터,자켓,41,"아이보리, 옐로우, 핑크","[208.70057314169543, 201.14111630367574, 182.68337889074078]",https://a-bly.com/app/goods/4215183,21,./images/ably/jacket/jacket_42.jpg
의류,아우터,자켓,상세페이지 참조,상세페이지 참조,"[189.3972688928714, 181.83252161350032, 158.7033532962003]",https://a-bly.com/app/goods/4064383,상세페이지 참조,./images/ably/jacket/jacket_43.jpg
