상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/4356806,상세페이지 참조,./images/ably/man to man/man to man_0.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[205.84486456287408, 175.92765873087527, 149.92938886586532]",https://a-bly.com/app/goods/4179409,상세페이지 참조,./images/ably/man to man/man to man_1.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[85.73282620672184, 95.48306988176299, 98.06318599821765]",https://a-bly.com/app/goods/4279749,상세페이지 참조,./images/ably/man to man/man to man_2.jpg
의류,상의,맨투맨,56,"화이트,블랙","[202.72291527628164, 197.93473313140595, 186.09570990982243]",https://a-bly.com/app/goods/4253922,19,./images/ably/man to man/man to man_3.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[153.08534351740028, 137.66577685982662, 123.58583063793262]",https://a-bly.com/app/goods/4245277,상세페이지 참조,./images/ably/man to man/man to man_4.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[39.22493292569115, 34.4984505313885, 29.506374659431074]",https://a-bly.com/app/goods/4177945,상세페이지 참조,./images/ably/man to man/man to man_5.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[96.78250021145669, 106.45565846231631, 52.01579548337581]",https://a-bly.com/app/goods/4175305,상세페이지 참조,./images/ably/man to man/man to man_6.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/2959233,상세페이지 참조,./images/ably/man to man/man to man_7.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/4238194,상세페이지 참조,./images/ably/man to man/man to man_8.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/4049638,상세페이지 참조,./images/ably/man to man/man to man_9.jpg
의류,상의,맨투맨,68,"아이보리,백메란지,블랙,핑크","[171.5463513802638, 159.19664027391715, 146.77770169055617]",https://a-bly.com/app/goods/3958634,48,./images/ably/man to man/man to man_10.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[190.7451662654231, 162.2238000300931, 142.18044688534422]",https://a-bly.com/app/goods/4393575,상세페이지 참조,./images/ably/man to man/man to man_11.jpg
의류,상의,맨투맨,68.5,FREE,"[21.013429867496313, 30.431431699859175, 39.363611986332174]",https://a-bly.com/app/goods/2831609,54.5,./images/ably/man to man/man to man_12.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[69.84313649489471, 77.65877245682971, 46.61991511463128]",https://a-bly.com/app/goods/4092801,상세페이지 참조,./images/ably/man to man/man to man_13.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[179.14576523645442, 95.82659605279353, 81.15939840291115]",https://a-bly.com/app/goods/3729484,상세페이지 참조,./images/ably/man to man/man to man_14.jpg
의류,상의,맨투맨,상세페이지 참조,상세페이지 참조,"[173.18089735192171, 163.30186207541868, 152.27121736688704]",https://a-bly.com/app/goods/3280787,상세페이지 참조,./images/ably/man to man/man to man_15.jpg
