상품 분류,카테고리,아이템,세부 색상,제품 링크
의류,드레스,파티복,"[49.62189496096477, 57.5108232789141, 63.618168914127295]",https://cr.shopping.naver.com/adcr.nhn?x=NZr3U3SJVGcZpLhrpB%2FOIv%2F%2F%2Fw%3D%3Ds%2BzWjWhGpabnOoD%2F5sXHIWRrLcbqCPpN9kiz4MH8xdcm14yCBFKBOqm2o30t5eOZyv134w%2BsjHYLUVA7KzQVN2bNSxZXhr2c2qyug0hh3f5rarFCupoeuhb6E9sJQz8B3qPnQpRDU%2FtVdYphfVGyVHdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRN9sDbFV06dX%2FYrVl%2BT%2Bdikz%2BfOKJdN8GBzA4K62ySKKL8HJXrXaQz29Kw8GO1BLxgMM5oNVoKYXcJZh%2BYCaWk39ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7uKO6MTKyl6PGLoXXwz4mSR1EL7PBh6vo%2Bzr1Db8r4ssUOI4sfUlMzi7v%2FEzAoSPgKia59ZKO7p685cm8f8Ma8GBHS7iYdd4BTrgASNQmm8sBr6F7RYgb1IElngMuT8GfqgRSROfFvzVvpaYc55zELDj1inzLWMdHq3I2%2FQ8Lsd8kNDr2zdMUW0bhhXHeMA0clcZ8pgTGru4bgUYhRhw82xo1qHAvdw7O9lTYQcHjJ869Tg72oY9JYZAtne6rfWeIhW1Ik0iksMHUM%2B%2FBfeOdoyQAz4Kg6vsyuk1ADJyfSkc%2BzVvDVT1%2FZTQPWYCkrKFR4dHI8FZtQVGFZJxOyBDKc%2B&nvMid=29159826257&catId=50000820
의류,드레스,파티복,"[250.68436119236833, 249.41684817557862, 248.62505445268653]",https://cr.shopping.naver.com/adcr.nhn?x=9ynLgQR%2FH4m3Nib0YnN66%2F%2F%2F%2Fw%3D%3DsaWC6%2Fmoo1%2BzZr1GPkgz5wdDc965vmXiQ3U0tQE%2BjlwzIjYT2qKo4LqE9Dc%2BOGkhXDU5oMaCctjnDbjSdxQkp4F1VFnKG7iidA1lw3vuC1mVk32S%2Bm1PDXp33WbYt3U0JdQqTS4jbW8I%2FL4sz6TU8CkbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27MAkPWIee1tq2gAAwLKTkYD9Zwc0%2Fyvah0VhEa%2B19CIsmYgPbHiL5Y5RbCmo26YaeKMwhVwqUiDXjcIFvoDJlDculvJVW9O9Vk6uOo61FuQW49of0zkhL0rjmC8Tv6l78P2tfKoQ0NQPyiad34AQ6K9%2FdVvwtcOUlbNrGLU3RUnqhUAWjE5Cox6%2BqJCGkNJcRFY0AqSJOZMeLCVtoa0X5yiZWSIW0HLR2dWOeax9RxEH5UR9t29pjnT%2BZZoxXa%2Fj1mc2cg3xqNUkKGEb1xg81ndTG46vQxETwQUg5dbhyF9Qqqyq6ReWhaVYWz8fc9LKfnl5boD9F5co1j9oCr%2FcOXkQp7%2BusVynSezas576whhFDFfmxuhLUZG%2BXeSnErmOl19gXpsM9RQXXBvIUh62WKlwpkDbERprWBfZU4SNW9FxPwCXFJiRdosf3os3K%2FWn12z7ufBQdQDt%2FPbeiOpldw04UY540UnvZRDbKIBedgUwDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=32316815398&catId=50000820
의류,드레스,파티복,"[248.97804189095788, 246.7564177725568, 245.54657215441313]",https://cr.shopping.naver.com/adcr.nhn?x=DKZzOZGZNnSQbJzvrHfb0f%2F%2F%2Fw%3D%3Ds0K8f1WtQkJ6l%2B7QCWjFS4brvz4zAqSzkQV74t6hALjC14yCBFKBOqm2o30t5eOZyZ2LnDxPsbnVTLslPyrJ22wbv8Ieq%2FcJteE5xvL5%2F%2FkLarFCupoeuhb6E9sJQz8B3qPnQpRDU%2FtVdYphfVGyVHdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRiQqQXGh5ONIdCpAfAzN8A4M0Wsi%2FZg6Eu4gRhAnTr%2FaL8HJXrXaQz29Kw8GO1BLxgMM5oNVoKYXcJZh%2BYCaWk39ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7u3kEtFQ35vEOffwHnysetg1EL7PBh6vo%2Bzr1Db8r4ssUOI4sfUlMzi7v%2FEzAoSPgK126sGmh8aNXJ2KjRBPSyLBHS7iYdd4BTrgASNQmm8sNkwkliIDCc8EvxRz6ingWVT8uZCrNiwyecOig3CEVcxNo8XLBTljr3lXjeXoR9OMubrxksCDQyCumdXMopjIduIYrq0EPbgcMomCpCGOlwO0eyK5hKP%2BZSxRmp%2B%2FKfbZdrbJi%2BWJfLZ2EvjydEHfwVPwCXFJiRdosf3os3K%2FWn1cWMeqmQzSZpsYUXNfVDp9qqkQbRWDcyhkij4eQRVHRYDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=29234542335&catId=50000820
의류,드레스,파티복,"[74.18044139684768, 83.20310158485773, 90.1972435402541]",https://cr.shopping.naver.com/adcr.nhn?x=r7YWbz6Uvj%2FQLjJOjBk5a%2F%2F%2F%2Fw%3D%3Dsup6PtnFYhXU9cNs22hgZ%2BznPJlSCWC387IUhbDINLleVjSybl1L6gDud0RSj4TeXpyvlrbiOWW3csGZokFSMtHTwStVddpU09XaOQhqWPrlaMPC5D9kvFqjPUaNuOvr7Hj7tDD9WhuurY4o1%2BgH014ZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQ90%2FsT6CMJ0uZ9%2BZP%2B5Bv%2F9K1IpH6x71BU%2BhkpV8EuI%2FZF4J0%2BhwsamZ%2B8HcYPdHajzEy4XQ9wLqY3gViW1gezoz3SyJgsy5UmyMJ0x7Hj4y2j%2FCld3HC%2FEaJx1P5WTfcwc%2B%2FjkR2vl%2B%2B%2B%2F%2BVPNlrhdF0fN1MZmYwDhZ%2Bb3SbPQ9MsJI50dfpIdY9P%2Fz14kB%2B9UEMwi63jafLIzwwY0rYsU8kAN2IuUjMlu32VuztgMgztEhRWS3TyN%2BC%2FdimNLWiRYgXT8U0rr2Dm%2BuxQGAQBk%2FkNABpF%2B9okK%2Fv%2Bquwa9UuPYEMSlR9KSWwZfhQuzTUhqSoyWRbESD1jjuh41T%2FefHQSEzwSeX5DpZkJsZd%2BAu7A%2F0vSPti8cHY4o2fastwngPHQqLojfkRjVqmdZRSYQJZgvcoVjYMQ83j0LkOCoJCHZq2y%2BiH9DYedBHFh%2BKgmJpAl4DLKnJNPYjTULvqilldP5EXS%2FQ%2FNyI79GHjz76CqA6%2BrrPkSkQjk3bFq%2FUy&nvMid=28619882907&catId=50000820
의류,드레스,파티복,"[39.61122416593504, 38.14608965143879, 38.60694882661826]",https://cr.shopping.naver.com/adcr.nhn?x=jIa4RuNsg22dIIVeyoEDHf%2F%2F%2Fw%3D%3Ds%2FjAvcEYfG9o9wk9YglNmP0PA%2B7fz6mBmuHk8IGLaoYa14yCBFKBOqm2o30t5eOZyf3EUCqAyARMhWlmICqZkKY7PkCvlfMQdVek3R%2BYNbQ%2FarFCupoeuhb6E9sJQz8B3qPnQpRDU%2FtVdYphfVGyVHdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZR3lHsR8snmDTg92VkMop%2Fr1od9zvgtZOUc4JWvZ%2FHWg%2BL8HJXrXaQz29Kw8GO1BLxgMM5oNVoKYXcJZh%2BYCaWk39ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7t9m8Ixn5VC7KBnlgrxm9tM1EL7PBh6vo%2Bzr1Db8r4ssfwvcZsIF%2FGrZbKAxJmqE%2BLzbwPY95ileC3lYfwFnP%2F%2BBHS7iYdd4BTrgASNQmm8sCQNEaOZyvVzzo7c24cdhDO8gdG%2Fhy74VmGCIVcMDegMOQq2SFc9Rn%2Fc%2BNnlISvz5p3Y7tLEewZjw7P6zqMWV3hcZ8pgTGru4bgUYhRhw82xHX2fLYS%2BOZ2vp43WUPvqFktnkuP%2BZGLHBpdWrDSQwvEIN8V%2BJL3TYw0vmZINmfwUEq0LqXn493vurDWHtbft8%2BzVvDVT1%2FZTQPWYCkrKFR4dHI8FZtQVGFZJxOyBDKc%2B&nvMid=32643761752&catId=50000820
의류,드레스,파티복,"[147.50301691750607, 144.64118035474306, 147.84883535599488]",https://cr.shopping.naver.com/adcr.nhn?x=hG8y5qPziYxtytzW%2FZa1o%2F%2F%2F%2Fw%3D%3DsfiMAg%2B85Ch0Cnbxs1i9vg2NH1k3i15MlU050nZPUgQu14yCBFKBOqm2o30t5eOZykOWAL3jt9%2F%2BbF8Kef7CnzWJyln7Fp6gSfxthe%2FhnnELarFCupoeuhb6E9sJQz8B3qPnQpRDU%2FtVdYphfVGyVHdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRbWpaBb5y0nPPI8R0PY6idLZJHEtBBtFqNrgEvoEAmaCL8HJXrXaQz29Kw8GO1BLxgMM5oNVoKYXcJZh%2BYCaWk39ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7urznIC62ZocGR8O1otcjBb1EL7PBh6vo%2Bzr1Db8r4ssW%2FvxsWhoABl7bt06cfLrQpdkJruUbJgqENEBFNO6FP1BHS7iYdd4BTrgASNQmm8sBbOi%2F39%2FD7m9oSlg%2F%2BcZ5Nny57ot0Lo4W3Uo6NKUFMkux8j89wPvguLBralQx1hPsAHkX6YrzzLxU8zvzewiwXGbOHhg62CIC6B7DlxmFrM19gXpsM9RQXXBvIUh62WKhVpSJjcMTCAiYuljFmdDGhPwCXFJiRdosf3os3K%2FWn1pTVkhbw17D5RlyjVykpvYRlzf20rQeDd%2F%2Fi86zpMbi4DfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=33317545761&catId=50000820
의류,드레스,파티복,"[28.679438058758905, 36.557201100308276, 39.07893702720355]",https://cr.shopping.naver.com/adcr.nhn?x=t%2FbcpiAnK5juVsS0LM9lsv%2F%2F%2Fw%3D%3DsrTDxqFyyYM7b09aTsWnM4gtxL3V7JyAJdIgDfQ6KzFa14yCBFKBOqm2o30t5eOZyCnKL957pLolHO65S3vlv1fNHHoIM2x9Q4X1UA48oqbbarFCupoeuhb6E9sJQz8B3qPnQpRDU%2FtVdYphfVGyVHdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRhGHFBKCc8g3WhwilWguQpFGUrkD0C2DwZhMnVHNPrJyL8HJXrXaQz29Kw8GO1BLxgMM5oNVoKYXcJZh%2BYCaWk39ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7sn0xukTlbVPf3wIRoOCr%2FY1EL7PBh6vo%2Bzr1Db8r4ssW%2FvxsWhoABl7bt06cfLrQqekhewYH9N%2BSpVBGXiF%2BSnBHS7iYdd4BTrgASNQmm8sGXYAroSBpTvTlE1osYlH8W7pNqQsbjP2WBXTDwFcZx9lTfsXcvmKumSH7%2F1mvSCYP4JYW6BFfj%2F2J%2BzuZQZH%2BL%2FqdPpjTb0JJwvdxQLkIdJfZ3c0MDVCgwL565RxhkYe4ZpszAaQmJ5sO478PNNo0WOv%2B%2BG7P8zZs54SDuTec41jlBPKvh83MhEhV9vl1O0ywB8BzK15pkKs46UG9LWknLLVWGr8fvvH1mWvUgXPK6j&nvMid=33215448883&catId=50000820
의류,드레스,파티복,"[20.00258782934864, 19.335414052687753, 23.496784818058302]",https://cr.shopping.naver.com/adcr.nhn?x=5Q4PeQUeJ40iu28RIl1yEf%2F%2F%2Fw%3D%3DsmpxpbELdq2H%2BDp139K7gvyHcujZDj53wj62vABSdQgG14yCBFKBOqm2o30t5eOZyLaYilr5zV%2BWEiBTz9tq6eaua05UPDIzBlNkESEC5YgXarFCupoeuhb6E9sJQz8B3qPnQpRDU%2FtVdYphfVGyVHdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRIfyhYNh5HbzsFkMKX219VsPfK1zE1caGmR7MsjvnC2OL8HJXrXaQz29Kw8GO1BLxgMM5oNVoKYXcJZh%2BYCaWk39ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7uMeyaQjC0aoXBT8iniPr4d1EL7PBh6vo%2Bzr1Db8r4ssW%2FvxsWhoABl7bt06cfLrQrQMRLBMgpdc%2Bn%2BJ21pOg5yBHS7iYdd4BTrgASNQmm8sBzw3iELpFqHU5S4kjBgIzm%2FBvQiCisOpf1wO6Vh3bVN6oo4PiDTrtyJb%2BDUtk40bJhZJBDPRI6%2Fyr92dWZ5Wn4jUAWadBrvfzNUArS5YVU8SPL0QTS0UoXQJRqW1mfzlnS6sWiQP%2Bct7UAJ9HHrAlJicchwRNwmJ84TyxvjggzFwFNWMvY3gGC0KF1rTliWUCObgLMYnPpzoHYC1eGKQd3HICEQpPL7Rm%2B2fyhjEhHR&nvMid=33213883339&catId=50000820
의류,드레스,파티복,"[190.6566890857041, 194.48751415062767, 206.51594859159593]",https://cr.shopping.naver.com/adcr.nhn?x=hz8Pd7QJw11gRveOAe985v%2F%2F%2Fw%3D%3DsffOmFowE9DvHRramDhblqOkO3aXfu9IFZtF3t2VlPIa14yCBFKBOqm2o30t5eOZyfkSrA0FCf3UvmCPNP4OiutVBZSH027BEDUNmemkuKMfarFCupoeuhb6E9sJQz8B3qPnQpRDU%2FtVdYphfVGyVHdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZR9qskNsYSZUWDunGnhD77%2F8PfK1zE1caGmR7MsjvnC2OL8HJXrXaQz29Kw8GO1BLxgMM5oNVoKYXcJZh%2BYCaWk39ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7uRtxStCjtSS0tmmd4kZ8uv1EL7PBh6vo%2Bzr1Db8r4ssdnxS3wHzfdm08Mt2miec0adSlPfTN1is97wbTxE2yf8BHS7iYdd4BTrgASNQmm8sH2jbjDbIjnlJYBwKcytNuPc2qhXejVhmJYUb81xlCMN5YWpnY1UR428IcVR0DypNltv9Zo8q8IQEdc61EKtAlqOQ6Nd6AdhUnwh00vV%2F%2BCDh3Arz9ixiPrhI2YJfybO1UMzpcet8JnrFOATGFuklwMRpOFzCbaM6OU97uoPifjrJvwfTya2gwN3IvNRCDa3bAso2uV%2BWFXgiVVKWtofVHfNjqh%2FZemCCOboDhnweAmG&nvMid=31484460799&catId=50000820
의류,드레스,파티복,"[119.41823908458387, 14.270292137436627, 43.990464356908575]",https://cr.shopping.naver.com/adcr.nhn?x=bPynTbhXH%2BpE4hvTStKUH%2F%2F%2F%2Fw%3D%3DseweMbS2X5ymjrVcr2SPzKW%2B1RU6VNdHSWmMDuMHmvMbIjYT2qKo4LqE9Dc%2BOGkhXoh3w7AiN9zXuaduDSEB%2BahS616onRTFncLre6h2ttt5k32S%2Bm1PDXp33WbYt3U0JdQqTS4jbW8I%2FL4sz6TU8CkbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27f6gXbf7VtCGxHyuUK%2BsoQX9DiSVCh2TnhWPQ%2FFhqy34mYgPbHiL5Y5RbCmo26YaeKMwhVwqUiDXjcIFvoDJlDculvJVW9O9Vk6uOo61FuQW49of0zkhL0rjmC8Tv6l78P2tfKoQ0NQPyiad34AQ6K9%2FdVvwtcOUlbNrGLU3RUno0aHB9DPp9jLqpqtBVRMTHFY0AqSJOZMeLCVtoa0X5yiZWSIW0HLR2dWOeax9RxEF1IaVX8pXxLOLPib7dZeXgmc2cg3xqNUkKGEb1xg81ne%2FlGWJMTZyc8Io7%2FFLZLaPbBprz487Q8hyjoowpeCY5jGw92xj7qRPk%2Fj0s6l826dMkscwkWycatQLoSWiSpx8JwbtnvX640LEFoHk%2B589zALgMa8KVEpwiugaKuhWf4Ji6gSJAKl2vJ8e4pgaIuztYCsX5DnGlYvtyco3dfCAGuvfUoRAS8U07QIrCMYqJrQFCK%2Fq1hApE881eoU0g7thETyWZlFtQDGfv6Flg%2BUGNQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=32922436276&catId=50000820
