상품 분류,카테고리,아이템,세부 색상,제품 링크
의류,드레스,원피스,"[226.34231021320227, 225.03469946407506, 224.44286154914812]",https://adcr.naver.com/adcr?x=H1ihY64olHb15v3MxxgR0v///w==k1Bn1iAFysCzLXBSDw8LB+tBx9Sm1nDzi/SGrTC+NvF2AODYx2C3g+2PQuoCuAELCalwfGvLkG8k4uFbO2+1Ccjr6uZl9PPScesvwiYoZMuhUPcCsgrDt2X4/QrJbCTBOOVI0CXtzSUf45Hp0aca6IS9+wP0m4mK14anK9REXcB8brAiHh4XJD93sBIpsgZIyZ6Vs+E+Os83n4X3VmO++Ax5eRQXqTkyqDpKbSkx0NrZmqDuqahquEOJNkWYmy9zYLowH4bJU7ST6JtAeP46eZkyvrLNcDauRaOq9yJuohJXA0OQQCi6gijIXaT2EyFrXCvrYWHQtKQAZD0hPe9uPU3g1jTyfWYVJQEC7TU/3dnrTa9e2fW9BW5390j4bm2v42glmmFa96LPb6RcwKK1MBjr53xORcXkarxt1NMPD8KqaETNMS2a8keKbjdpnXiLIOJagFX1YXX9sFl4LO/6m9tkaunjYkBQWKOf+Pk++jNo8D+qhrMnP5j4TMbSvymu7SPH91+8BtuXk+5gD1TfqiBOKWSzAB/VgvAafmxpU1kOjgFwLX4aR3oMKkDt+Bv+DcnC1YDCJzCxfOBRgXt8nW8zPGOM27NeGkIZ8UW+oM9eajQ8avLN2PP6c5tC09CYAZ48oqbg/2OMlvCIfHfhND1KQSetj1Y/YESF783abKIZvpPkpN6hwDg+lbbtxJoKLW0Y6JA2LQStrGUzDAnGQDVi+QA7xb3Ue16papYA9XxTq1pBORq1ROhNmSLtesZ0Hd2nnCkH8AnBWL0pl63u7VoCxz3eW8atSj+Cfc7NAh852LjtSrm7pEiNDjwRIYsvvBmqeatBukkCKWVtj8JsiYiF9YLK3bwMWzWju7H8lJ8/uMc2xtVlucX3a8TWf9DZv
의류,드레스,원피스,"[190.466472303207, 168.45880574452124, 153.1970089623112]",https://adcr.naver.com/adcr?x=c3SRzUNIYMfFEgV8rxe6NP///w==kLLLoDfTnIZYqhXjLXrNuKWQ8SM5+Tu8L/pAVOUneU9ofmF6XzDOqXZMKbXSYh93pynu9NnEvMAjM18Tg9HQmNLQ7/iOk1/yILF/8zmMdn07slpO7B4gkEWm28Yaofj6BQCmaVaxKwfdW3Lt7bYXwJ5N2al30IrYUBmE0r1Ai6lOK3OsK55r/fNJfGqOjHmrG8VsiSmTwyulgHagXN7lsDciqgK6WNv6YcWQl1FyxNsbK9kgBzP9hK58LwYTbktNIQFjio7PZ0IRQrkhA2H5lj8WA3/MVurOxt3Y3+Zv8CSLC5sE493IjysF4YZxswsn53P60sQBR+eu9jHHvf/T0y6LGadHZbp7UQIi1Vco/rXduthG2OgHLhKE3WIma6bIK52LdSEyey8I7ET+1aCXoiq1gc5OPrcIZMRfqdz2kvybNQqJXG9mgH9RXz6SgFFxJ9jozFHZfBjIv5DkyJ0C8n0SD+uhGwvj/eVtvFI8QaucZeA16W5Qbz25BcVFBUaN5AccRBTdhXQjsH0VyugaupFk1BabrlsWWUhBQyKaTFqcDolmlOj+z0AscnBSSzojDdJoRLcyzl1pRV5KnhGlB3RBxR00T9GKueLIqrhbVzie8223X08FJn8y/IZcXRD9upRD4AvWNnSSpcqMqA11WG+aia2w2hFJp8k1Zy6gOZNmIZgqUWD115XfXxaGWxH5OFFLCzx2odSRKZgb6+JNHsqdCbwGe+XCViNPubZ+DftR7c+DBE49rJcT6Ka9rR3RH2xlLngwpMtSIboJ31Jv/EVAU1+c4OBg1xu7dvGKPl4MRMbiPfM/x5kqIGa7PSWfTbJ6RO5+jV06HiNYxzWSARHzxgikfJziyBwEyALeJeOKN0NNgV2/v1Qv4ltVFT3mHZyRYIdekmrI33eR3jTKUB/ALM1hy7QPB+c+sVngPdCXvyD7KImlUOU1huZz21JvdAwxl+HP3/m/V0PCFKbed4gTYZyZxVtbrlXY4FP0Gpfahdl9ut9faMZqKuQhwJyoVlSFgdEzpA5IsGykeEOjRQF1FxtKA57FEA0Zlx6IdTrFnekKEQA2dOfVmlEHC44bO9FUfXwT31nO7cpu6T2uVS7wTnd5pxjP9LdISFCYjz+WGIL4NwoD86zUifKUr7eKw
의류,드레스,원피스,"[177.76366670082137, 154.81685523176506, 140.26693792719945]",https://adcr.naver.com/adcr?x=RKNABHxhS+2uRKs9g8+lsv///w==kSuqmgMWPjnDudiKWqVFmBKiuqt7zUxw+3Z/g745n88+r3KzKrl1xtmhAuyK0bPhnXeiMZxP5l6i35aUhNex//8Pl6ZaU4pU7sSF39azd68gbgqtGWuCIv0eHTuwVPYZWwF3f+WXD8+ZkMvQGMB1DFvOW1+DneOu1+yaWtmSc+XmPaOEnMVT/BfDvVjdP31rYKZXn65M1o9v0Hw/2sp+NQ8QvC0CJbxhKOddP57t6wALrPAOJtI05qBG6vKdzBFEGdW5LjT3VtSLv9BLgz3NUqiikhA2gpcAe2N0OsUYnYncNjCmGkHLDLopm23+HmnNI+qsObz59a3xd46j0osKlcySrYTa28PgLXGzmXnueACewLaRx4t12l+gjcxH/Z03+gVPfYFWhhj2aUg6h2OJWxsUmDRO0UCl+6lrp0TZsXlQ5LBEuiL23iYgbixVQngpd2iAdYeV9G8wXCnNhSE/FsWO7ij5BjGepmLxxnxIdlZ6M7C8vC7i2SJiu0HKQz//2JjJvsKGQ5kSLItlEVDqZHygUAa77PbUXQcrxCGBzCjmi5QzwUsEm5HP25S8Yq3LyCPvXu6U2i38eyC6/oGb3YnsSRRvzAoLWR8bEpJ8MYmdzM1+nDydFx36cprn1wvQn/8N5oPJwv912MoR6+Gg+dY1EWDqt9q9LRFICog8aZ3iTn+6DjczALtbfxuBexuXsEJxZ42zGboppS4xB/uv9alyCtuBOMrx1bZ5iHf+3p3jutyZia8jqDI2zirwjX9tPmLyhvf0V7zG463ycJA47L0sHmLvR40ldRsJLjXwvf9vvi1+/XhJnL5MvV2qQaZ5b5ZxtKpnqncXzu8FpFqBWGLx7zxaZ+zAo0F+OffwHyhff91U/2YVMuvbUTFa+auvbZ8M30IpIoB8PLq7aDr6OvbUeQyLGnfXlyEzlmgZVYt1pCVXSsKMe5G5kBesEedzc0xe/PXcEUe9Sc0LsBYVi+XqBFkHCCQZcLUHssqheQ3mQLR55sKhvRN7qqNIQTRok
의류,드레스,원피스,"[165.99210846228294, 136.01442317598412, 104.4325510477404]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fluous-room&channelNo=100017510&tr=slsl
의류,드레스,원피스,"[194.9570075446929, 197.21036985402836, 194.05582663604764]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2F10gtt&channelNo=100161451&tr=slsl
의류,드레스,원피스,"[146.5495620456694, 130.24833680100804, 116.59292080860932]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fbyelle&channelNo=500254323&tr=slsl
의류,드레스,원피스,"[93.85398938562624, 97.56837276244026, 98.35721867409711]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2F10gtt&channelNo=100161451&tr=slsl
의류,드레스,원피스,"[21.532316092985326, 21.55688806103646, 33.84399479471402]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fbyelle&channelNo=500254323&tr=slsl
의류,드레스,원피스,"[112.86294587058964, 125.73622728583445, 151.09715411979596]",https://cr.shopping.naver.com/adcr.nhn?x=taNwoHU8tM3%2FB8TEj0uD0f%2F%2F%2Fw%3D%3DsN6JiPJoM5eyeyMB7hzJnUzG6%2B36tcvg80IbEPDbTU84clmwbRsdoRuuWLWUY9wceKVkNvP5F%2FZ%2F%2BjNql%2FwkLzBpZ4BzWsJVvHmIVJYAjmkcazPsDN%2FGAQPlWWptlXFXi3OXp6TfOeA6Nf88ulfn3WIZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQONz1z1Ws2bE6FYVx52vyPLYUxiku0SMVBm2uKOpSQP2Ce7P9kJQGoILE9zCDqmSK4PHRTuIH6IcjXD6jOVG6Hoz3SyJgsy5UmyMJ0x7Hj4y2j%2FCld3HC%2FEaJx1P5WTfcwc%2B%2FjkR2vl%2B%2B%2B%2F%2BVPNlrhQe%2F1MJ%2Fv8tMf9rbPFONtxkkl0YXXQbdGizAJRtua%2BYd9UEMwi63jafLIzwwY0rYsSMfvUGjgtUcBG%2FMi8jdR2Aty5JziB9N3ATgZxTskSxPRYgXT8U0rr2Dm%2BuxQGAQBrygIx2MdgsEABsxV3XyTVg4bFvo%2BuvPLLcgNcY2SyI%2FW1iyr4ODa4DUIDyYeb%2BEP9LfxEcRfUETC3sXRJ0hyfOSE8QqE3V0OS5gO%2BBKIdKlPXvQ%2BSzMWEsu%2BSYCZlSCA75nany1Gnew8AW7atvTBttVtf5s714TmdBGBjdUocJ2WhLKJZUtJaMZ9nQktKaFMlrJefoOJbmkO4BD9YMbmM0NUJgJp6CUXauCvW7Y5AjN&nvMid=31860316648&catId=50000807
의류,드레스,원피스,"[65.11551925320131, 61.215255174109174, 77.8578271817194]",https://cr.shopping.naver.com/adcr.nhn?x=wPkhWhkn2Hzptc2no89UfP%2F%2F%2Fw%3D%3DsgKWdbEhnqhaVbutD1gxw0vUSpJqtLIyuonh7k4CyOdGtzFJsacM%2FjF3m8x3LONJ7ijNzl8fb279sBTmtLToGLbbDkLN2bCgOYHUR2QMRe8AiNAuKm01SHMTtP0EYLFmBAGF4%2FbUQe%2B4I2oKlJQGinUbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27BCXDHbAAaJ%2FDU4FNG5ChqxB7UZ2qAiy3GzYzRGjhGqvKw1uNABy1Knf3CmyVTG2g2fOy4WQ77wKPDFlLLln8TsulvJVW9O9Vk6uOo61FuQW49of0zkhL0rjmC8Tv6l78P2tfKoQ0NQPyiad34AQ6K9%2FdVvwtcOUlbNrGLU3RUnr14zuaCKdl3KXioZ8MF6ueFY0AqSJOZMeLCVtoa0X5yodSJ3PEcZvM9vR%2BeQyoDKucrlJRAIJk1RB%2FlWZTs6xImc2cg3xqNUkKGEb1xg81nXKRFAWiptUqPiGyUA%2BMcTYzL%2F8Ny957vd0sr3XuOa9PFH1PDIV8KgYFEHSE2y%2FpTbbvr1oEYHmTbpnCzbSMInam69Yxmi5IDgVLs0%2FtLbasd7tu3j%2Bvd6t9j5e2vYvVToK%2BNtLCGCU%2Fyfo4FOUvVEutqaMHAJkj0DAJXiYJNZCZAY0sF7JGoMyVCzwc4N574jVJa%2FRbbewJ5tNQztTymKJWhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=32093171727&catId=50000807
