상품 분류,카테고리,아이템,세부 색상,제품 링크
의류,드레스,원피스,"[123.07503886193581, 138.48184087804555, 149.56691318479426]",https://adcr.naver.com/adcr?x=M5OWG58FN5LbL0lUONBBcP///w==kzBwSlHFsLPCQuULll6eIFchW0T6dbdjcn40hlMG2Y8Q3hXG3hwJS5bPaewvrlVJb51CrdIjyGJtyZoemnoXzqot0FH+K2fN5NUNbanOPyK7H82qJZPy/nXE9pFPaBzZyOQZxmWyZFW4eypDGi45FtHvZLaK49zRQi13f+dAA0fcsVj3nSmoaziBN7RnAfnGUd01esOwONdtFT903QnSyczUA5wV54AyFHO8yb3UwbGcq4N6bHbyS6eDJHxvL4UYYT+FKAYFF0VwwZellhLRsSQ3J7/LyWvR0B4DVEu9qTP2/qMmSLomsXO94vt9Mew8MwneBTY6jVE8hpkEM4XUiJGGaMY2BgZRKu1TxOZMCssJMpjiDtwT0kWcYJnrzOSndlETdgxxRopVdJERdjXFZjHRwhTo9VuW0EGjEXtpUtG8ph8UOAoHSpGTAcxE7QILVw0FQhtCOP8ysnlxQ3Vs/qbrbWTWuXfGQQAGgAicrdv7JLQJUcAWepmnolr/hDo6Ndyq2k8wxJqLTOqWBI6X1tZWPWd7L2DMi7+LMacvx+LuMW1QJqtp+d3i25pv02tn2FBblyr7wh1Mc616Nt1AvahqcwGHi3AQEVJsf+TT8xA8qm1aQzHCUDwvPy+DQb/qSgNbws6WCbb1Drpb3H9aAHMUBoufZ9ONmNBhtOXsBmyNN9lbW7ko6biUN7+vaaF1OtCmKYi3fV7Y2ul+InCNSeapR03p5kVXELUGVYQOd7jlCB2y/Hn/n20ZSROU9Z4Zv+oQ9YUfVWKUA+V94Pmt0JRPqjspm/lqADjKrWLHleauW+gcPoHEvx9fhZzgluqCMK8R8JwHCyaNu3RCkVBey2LruPl/XGNnBidlR94GhH09LS1A/+CDAh2BPXt7PNGbHRY8XTCgwztY3Tn1Tv1bjVVCQWvF7Mffa/B7HuC9DEqVFUOcGxv8MtGRyYy3QnNHWlFnT2ViWC9Edu1O8fUHIFg==
의류,드레스,원피스,"[105.9951260938659, 109.0682900712691, 113.74090758039566]",https://adcr.naver.com/adcr?x=j/spNgEHMRBp/f3bw287lf///w==kffHHofoaOEIUtyYOoaspglgd0hf4x7KlpX9fiMTxJHvsK0mYqJawLm18qqB64o4kNdU22KAGaDyPt0RH/PFz8vNx2K28poGhWvmzOcORQEfjtDKZJ1NLtOhO29WVI7Hj30lrtdXsdRlclEedl4Iia0hfPEk8uMpiY98wMNmDZpNobvj7IbnqsUv6x5lLrB/OXeLykNpHAWjFEzaNt4QwMuOcJDmVpwhOr67SYLnwMnuMd703IEBXY6Yjy1YzxlHVaTfUm2L88t342M6T/JiOXkpIoYoFOSuzo6XLb8zDahVPdbX06iFZGC4J3oS2+goX105Bdg1jE2cxOBBd2kUvg9ZyvsI04RF48HepF4VLDYCgUtpWZKfv1/zeeOOek+98M1Uf0vmOjkJxjT0ouxFzR6o3q73syzDkNNsxdi3ZI5Yp15BZSc9ui0dIWjjY1ZJ+Um5ST5XEbsZTUorxfLtzp5hXxWwcNlriFeIVpWwEmWNDk9Qjv/OQnZvdJPDIS3p/VhRSCZUhS0crGWyX3ay5y8dGui8i4B2Pj/AFFfRP/9SXuMiCjVfzGEDyq0mmyfX4n837XVUxQYKnKBhh5IT5cgRrU71qhjD7aZ+1o6xJwTm7EKTHzOBgcu3Osoo6wtqB5UjLY4bYxsk5Z5ZdFT/BDlwrtGpQdHE4oPj8tEZGPoWkmkmV1F8NgjgioLHtUMOUtIZHGsMFMCy+B8lqsuSzYafYOG1GbB5kwru94J4BroMmHDQP4Gmhl723fayXMIXrBJDpLQ+wmTs7s8htqPm/JG9szifyvwUP0+vaVO96jj7eyKtxTlQWuJ4t2ODCl29mXFLKQlB7hib0aqrT5rFMh5G0Tr2tuUyPoVW1HDwDi5g=
의류,드레스,원피스,"[139.1501700480831, 162.01835346546457, 199.15245690160793]",https://adcr.naver.com/adcr?x=Marnay79B0yuNacC8Zmc1P///w==kMSRDMZAQh3EAGb5JY4tf9e3USFrn6dotpY5/oDUPNY0BoqMDYZOfMk2XROqJNfc1NlX9ATcLkKq+XegJGwr3qI+06z7tDmFNguvIpyg97D0KoH0YFKl0k/rBPt7TZlg4TM9h4a7IW+q6DNx7DtABMpN/sUgAaMpv59nIraPw3h5WQL5ErgaQYLCzcv1E60eLxkAJP+mR/oN5ucIi9lZytCZcjdWqhwCNsy/WhHtR3mhYbWHcSqcsfszEGnOzkqYNtQbQhm5KYg2k0MgJCF/qSXE6rW+p8/YH9BLdoRdZpOmeGcUWYSkLMfHWwh49bBKj6CpYUYfyewyqNUQP9+iuGXgO1ctAvNPQ3yRF/X1scOsR84U+KxQxsxinnUKqDFsU2LjbyHLGQqAqf9PZIF+cz7a6ckxH3fVSonphDP0aMBfPOWWF1bai2KhLls7WTQCPOK6I6ixIta/wZj2P0aNlQShp8G5fmlJr3AeMFGbjjZv6fkUpzvs5603MFlCB4LgFZX0+q+ohZjpNSC1FDm9IFWyfuS9up4Qo+npoZ7J5A1HlPRGn1lM9PfqbrdWgGk7TrU/XGeGE0KWv4hIxXy/D93TfFLDlinR8F/+aTOykUb2kyUnqEKobgZ/wHCFDcKWRgzn5hLUFahnBpkKB5AsdgWWBQt2lW64cXHqOQvQ9m1BcdAhCgrpng0nvqPIYdqCVdakC05zjRv6rFHH4dS/n+5p7+Njo7iZqVJLONZT3zaMsLNeNIRQkwX9fAflUDQvkKBxvG49Pj9Ygg29mA47OT929i5HGJUg9rs/tdn6ON/Cw8y7cOgCsMr3kTlKgtLzkFge09E78p+I72ISbfQCH/98iJrsSiqEq7S1NUhgZ0iI=
의류,드레스,원피스,"[179.38096829286337, 173.7371352194249, 169.06612460087686]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Flulu-j&channelNo=100119505&tr=slsl
의류,드레스,원피스,"[97.19145199063772, 121.13714010193455, 155.23639619782148]",https://cr.shopping.naver.com/adcr.nhn?x=6MULM1f4iaDrMdcgJIIeGv%2F%2F%2Fw%3D%3Dsvoan3FWL%2FTm0d5VOxoTz3%2F87OIKHkLz2dL4hrXJjxq5ClHpO%2B6vI287CdAjwlNbIznQ6QD5SbfJMlar%2B%2FDabVvSUrK6fOkjvYuAmrax9VNYNGtHa8mgWEAFVKAXJx2YViIRLN3uz9a8TrE6lGcteQkbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F274C%2FW3hwKlBhFsyAmPqTuZ3zl22vSBr2H%2FHcbyRtH4MinnJuAC0CLGZo9wrPh4sDB2fOy4WQ77wKPDFlLLln8TsulvJVW9O9Vk6uOo61FuQW49of0zkhL0rjmC8Tv6l78P2tfKoQ0NQPyiad34AQ6K9%2FdVvwtcOUlbNrGLU3RUnpIpQl9Jq6MjXAMKpbiRN2WFY0AqSJOZMeLCVtoa0X5yodSJ3PEcZvM9vR%2BeQyoDKsWmAfAEVE9loClBNx0Fj7mmc2cg3xqNUkKGEb1xg81nS5%2BsN%2Byjasxn98XHBF5KGINgpNIQkVnZFtlo8yHNfjtQ6Ci2D2D4p8Zivm3A3AOF1lMgHgpqu%2F7XHHeJt%2F7Fztg8JP2X0ivByVYTTOsw%2Fbg71tqtWQablf%2F77SlIExh53JROa32bSX4FGf3i%2BuTK%2F10xmGSoy71oKa%2B6FUYoZzub1NmOoRBMBsXNQGXzjfbC%2BFUQB%2FrDAzm2q1KHRsHkfE%3D&nvMid=31692922084&catId=50000807
의류,드레스,원피스,"[185.94575909428244, 179.5259836674096, 170.6379918337053]",https://cr.shopping.naver.com/adcr.nhn?x=2NLMwmjn2bQUnPzhwZMZSf%2F%2F%2Fw%3D%3Dsd%2BENM2oYXtMMj2lHzmuvtQqvJhhK8%2FX6ZcnahM%2Bfhn2uAJpuOlo08YczfFpFHEAYePx1jNlaavoMYjOgnDt1F91NLjpclAMVoxEdnrdxAVm1oxfKWKw%2BQJjdzqdFCAC4h%2Fw0d5OvBc9taowFa%2FQxNtof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRqnpN9QIkzIFV4rkwUp4jvlnqp77XCvv%2BXg0S2ano09rYgS3b6FR9hYf%2BMBhU9UeadztVG7bVc5Lj7BX1Nb0p0H9ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7uB%2Bt6NBqHwI%2FkUKF3x8V9r1EL7PBh6vo%2Bzr1Db8r4ssY3gU7tkJRiL7%2FLXNyQvK017K07vK%2F0LQf0Vpcw8wRRZBHS7iYdd4BTrgASNQmm8sA3prulxS1WiIIV63F2QOwFt8WldDU6ZLtpAVXM4m5VFPwC25xWA%2B1KDAx60ujF%2FCcFGBF0NzxxXgthGN%2BvpPx9eq1XxOr39IvlI%2FvUa8S4n9rE3rAHNo8Enj5jLWR14OWJxyHBE3CYnzhPLG%2BOCDMWZ%2FwICLSr4Rhp0LTrdgdsT43L7RjHrLuDiVe%2BNK%2FXJp8cgIRCk8vtGb7Z%2FKGMSEdE%3D&nvMid=32504648046&catId=50000807
의류,드레스,원피스,"[136.13006956672254, 141.3776809167801, 153.45899604537732]",https://cr.shopping.naver.com/adcr.nhn?x=hC9OXCF6yxrDvfzKqSPhef%2F%2F%2Fw%3D%3Ds%2F5njt11uyBWUUzvy%2Bjb6o0WjBlnETtTXZ2hkW36Ml%2FquAJpuOlo08YczfFpFHEAYuVdU8J7gOinPW2yLSKD5%2Fcgw4RsptWs%2F9oFvMZDvauW1oxfKWKw%2BQJjdzqdFCAC4h%2Fw0d5OvBc9taowFa%2FQxNtof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRj7DFupNCiP6XDeqjc3dVYWWJPJTtOdSQYUH9HTbwhZHYgS3b6FR9hYf%2BMBhU9UeadztVG7bVc5Lj7BX1Nb0p0H9ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7vJs0nvQ9cZ6SAOVR2s4NSi1EL7PBh6vo%2Bzr1Db8r4ssY3gU7tkJRiL7%2FLXNyQvK03%2BPlY0CamCpWnpvS697ZYABHS7iYdd4BTrgASNQmm8sLJm5iQ8BPBbfyRNTSg8gU04nASCSM%2Bsf8ZtrWumy%2BU2ZSzmvhko%2BWvw8nDTvVQiPAv12yesa6BRr4v7hYPx4eRo8wt7el9o1YhCHS%2FiG3gsiA3%2FU2AzguC84AnoS7Lq%2BYwE5DokN9iSo8cswy8xNMTKiNCZpEmLknCSYp2TUkqW5Hv1T%2FoDPeAT2ZD%2BWCfnsQ%3D%3D&nvMid=32759467244&catId=50000807
의류,드레스,원피스,"[195.60728225716605, 164.3370320805953, 160.53631835247725]",https://cr.shopping.naver.com/adcr.nhn?x=2MDlBJpNZ8nlmWvmgNDNCv%2F%2F%2Fw%3D%3Ds1iACZq0vHO8g0BzsAPilW9N5JUybSzrUNaNZx4J2HUzZ69v2RuF0YtZnC%2FEzQrg%2FjQYP4wg7%2FnTrCrq3h5eOEjfNp2cri7ALUW1AAvOorgwGrSluoZg53vos1%2BujLuJ1btOppK0zCbRdCTxSaUfE6YZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQq5aZE8kgO6p80DeHaAzW%2BEOfr3lkO7heiApkWjWHpkT1PECscqUSpVfv8NiJ%2FXzQ4PHRTuIH6IcjXD6jOVG6Hoz3SyJgsy5UmyMJ0x7Hj4y2j%2FCld3HC%2FEaJx1P5WTfcwc%2B%2FjkR2vl%2B%2B%2B%2F%2BVPNlrhXgq%2F9NMnYlm3fUdGMikWgQnQNqQrJgM2sHp8RSe44jv9UEMwi63jafLIzwwY0rYsTLGFppzrx5yiGJ%2Bq1qawMU7iooeIWW5Ei7I1wLxEThzRYgXT8U0rr2Dm%2BuxQGAQBjftQ4xAyqd0256mtM959dor1gIC2Zp%2FF99jmm3AVR6T8jR8gVF8FlQ9pItE8Zzc8oPJzD3fHGqpLptFT64orPGq2hiBupK3oab3C762iQCqv4YGjJCSIW1IvBxXT1wG97BdxkRilD2NM0y8bvLJvQi05%2FUbM4V4gKrjcDfkrMrSDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=31681272531&catId=50000807
의류,드레스,원피스,"[183.0450595488548, 182.56374746162675, 188.57904172993543]",https://cr.shopping.naver.com/adcr.nhn?x=9YPSXxZRknbzQBi6op%2Fq1v%2F%2F%2Fw%3D%3Ds0pPB7FPbYVUNd6nv%2FOGXJMH1niRTosAMuje3RRp11XGuAJpuOlo08YczfFpFHEAYUoUNpHC9Xe6wgmGz7m6x5uRhZ1qMHv82EoY5rndJmEq1oxfKWKw%2BQJjdzqdFCAC4h%2Fw0d5OvBc9taowFa%2FQxNtof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRBifF%2BOx%2B7K4xzxHFJZDgMaQMpMtSNO8wJ3CASiVfEizYgS3b6FR9hYf%2BMBhU9UeadztVG7bVc5Lj7BX1Nb0p0H9ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7u7o%2F%2BNAKi9U2DIx%2BYwh18N1EL7PBh6vo%2Bzr1Db8r4ssYwUWP5K0o38ot%2Bhh5EitTbj3vqhY6%2Fta9PTB9kobfdfBHS7iYdd4BTrgASNQmm8sJlR77A5ttMWSJ0zEgvlMTvjz5%2F6DKH4gz9IlwaCwzfJbg0D9c0GqK%2Fn%2Bw%2BUPywwCqOuInwfQ1XmfH35WvRpRXbLXVGxMGq6T8kqJgaAqy7z3alUOvCGvUzkCfOrnTzp8PoLRdeTzJJo5DQ5ovPMjEUp0fIjh8PUoJhAWP8C%2BF9DmsxblUbBDDY3JxKTA8i0s4VsN%2FiAcjmtIwlTUFZwg6A%3D&nvMid=31696903791&catId=50000807
의류,드레스,원피스,"[127.78257998679484, 158.11075094543395, 185.7412209616422]",https://cr.shopping.naver.com/adcr.nhn?x=zAJPfVTzSaOjDgDfAekTnf%2F%2F%2Fw%3D%3DsNXN8iqnP%2FuPPa4Y4lrVC6G%2BegTzF2vnVrjl4P0yoZmLZ69v2RuF0YtZnC%2FEzQrg%2FNZiBTw3ZSVwwvBsfOD3bIRcjFisBcYi1WVVw6mp0oqAGrSluoZg53vos1%2BujLuJ1btOppK0zCbRdCTxSaUfE6YZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQ0djOOzuIKyyzG02tOF7Z2UOfr3lkO7heiApkWjWHpkT1PECscqUSpVfv8NiJ%2FXzQ4PHRTuIH6IcjXD6jOVG6Hoz3SyJgsy5UmyMJ0x7Hj4y2j%2FCld3HC%2FEaJx1P5WTfcwc%2B%2FjkR2vl%2B%2B%2B%2F%2BVPNlrhXgq%2F9NMnYlm3fUdGMikWgSPTrK45cblIvKnAONfnDSs9UEMwi63jafLIzwwY0rYsap%2F3yRlHJ77KuJ%2Fc64H7aMe%2FM7EOytL55ou0zP5o6WMRYgXT8U0rr2Dm%2BuxQGAQBt1VXLCREkUSl4nkybaky9lxCOK4wT1p0Z%2BfiovaOYgNTRALL5Q3IjptSjuer1avVypE56SF0oq4wEvxQZv5s42XS0zlp3fwc4%2FzYiHNEq68XGfKYExq7uG4FGIUYcPNsQEr6tEUnRxE5luARUcBKHAYCCkuSJYeR0nJnEBS4vU4FQwuyGCI%2Bg3dUVY%2FXoQXMfkZscZL21FKy5yziYLHhQ73A4M79oEoFPTtbdkJhHEUBq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=31487328691&catId=50000807
