상품 분류,카테고리,아이템,세부 색상,제품 링크
의류,드레스,파티복,"[196.38698842422443, 189.7723478787358, 181.02300739523454]",https://adcr.naver.com/adcr?x=WCIegkmfml5zWsW2POAcvv///w==kIbY6X8N0chps+k88wYdYiJLuxEPGrn4dK9NUgIhybIPUk/fe+BQsnA1VCQg7rO5C62cQ4l9vrmfQJVlaFTf3oQ1me7/qfBeeJ6DxDOMzZzZBlK0hgMzEeJRmfRxf8Xn+xvKYzzV6cMxdoRRwQthGUqi0zhrUCPN3aFruwuEmbJOwPa/mHaOS156xWu2YpcxBMje+fqo5xgEfx2Ir4x3U3NToV7zJj37I3txrg8vvy9wQ8kNI8cYP2u8zAXAjwg1nznftb9H4s4wuQtTBxq0hfjsJMrZLGOfZaVY91DRU4kwsx/zPMUJ8k1DaV911JuYOHDwqqlGS3kAJ++MKC9JowdMH9M0pK7nZrY+K/wj5WBob9jevlYol0A5cLXUEtxuOh2sHKlDtI/0xdiYOa2nib/bFr681rcqxQciAsMiXwV6tfNgWEemTDLJwEWkTqsg5Hfzl/QrP5jLU/G7/EVOFtbHk1CinnUpXsoK037ZefpYsQ4oB5NiSGVeWnaIOmffExCU5Ss1Xr52BOqakRjui0fcQVt6vSuTX1rAYIzrEyS1jLe/J00nD3nkgliVFtqOVi5eDt93Rn55T96J4v3FSBEAl80n9CHQJhz/SEzu+NG7lIHle4iBpslBxYo4i1RJo04kV5ie1wBtpLmpDCWApMaBvTxcBvFRQJewtX4rFJH5UtWwEh4G1cF/vPSRJOEcKR0a31MIeCvEW6+6GKhABkwkp+tOeWT3zHnT6nHnG8+O4qfuXB9TIkZXsMWSn1vFpInS2TzHvW178jnoHAgEpp/zO9faRxv3bJ4/oMCie5Q1S9t873eI5dYdPtu0NEqfoM0jHAW6Uma7szQUeSTWZHu/VktAH5QQYl6jJUkZ43bmvxoeflPbw3iyVk0CRsO/MGbEILcckF0kQT6HtidQ2UBVC5Ygn6HHuChwGc4PvzweVWxeTgVSZmrRnl161jYDsneBAynwlxPSNA15nPsLElA==
의류,드레스,파티복,"[45.82229356764191, 65.78010589163392, 116.25504111749281]",https://adcr.naver.com/adcr?x=A7X37Hu5mxTTL7eYixeh4P///w==kAXOeu8ZffnnbtOr2xFZ1M5JpXeJuK9KeiQ9WluODERdsLEiQTv+cpSMU+9PJGaNHuIJTogakNEqjvWjwVrLRpzo9w40T7GIfYyT7C2mnkgIMbcCIv+da2PKs+VJIiwxAs5bY+Pel90PvTuaf6C+vZm9C3+AjqC6VYmvLOvtY23KLJUFljT1KwlckBAKIo3PMPDaaFVttNRNhNlTAplnVTq9CnfVtLYZnoWhVLl4ZZ/M0YkP7rtaY7OvIlD7H+Ho7GTa7YMQLP2UzutmPso/XTfLNup7uidgyMS2JvhQeMMi/TJ91HJTVSzmmHAncUxE2f8ZtJv7vhjO6V/XVSb3oTk2Wss+OOil6Nhj7lJj6cCK1U53uPVehdLgeFIiq8kNNpNhAQ1Xls/UEYHUu7F+757VYdCXTlHl/jIPVm7G16If2zRV+22aFjPvrxV+7x6FXbTMeDsJn2O5g+Ulm5pJ3LTC0jKPuIYB3xyDPQPtrOeZmVvRUVF2/qx/dVFCcSFYpV1y4nVtlTpVHqzx4MY0OMVMRucW/lvO2D9ARHWghDa/ryvJlbLlf7On7oGF2G3/++8nRQwgdew4At7WBP+woSc0DKAKmX7r3v/h8KDW6CMbflc6+PVUwWPV/JIL2spvgKs8uNSPaJX4641R2AU/xWEMZYqYBclY8pQ7jVGOIEbM6+PrQXmiCTiWQwrKNpa1PFdNUFfwQyA5h3uFmW+qYiyN08cnfav/pHc4Sm2XTNi4BuW2qO/W35YhKyIxZ0/QbU3T/isVzlxLxqFE/eXcEmSHTxbdGNNinlzOtflhQynCza5rnka9Ij0PDzpw15cgCoC/g9rM/cxgvXMjz4vfx8Q==
의류,드레스,파티복,"[19.027613451763713, 20.8878216054797, 15.307096877685936]",https://adcr.naver.com/adcr?x=laf/28j7uHmTM3YggeHXGv///w==kQ7fBNKfMFXqT5WUXa7OGweOcwiv0fkwBxM7IDPDVbllm6TY2fwctaHkAGsTHsXz8yQ60FLaGgDVEx4LFU4GmzuTZIpDiRYj+UoCYISlnHtQ5IxBklVRkzEHard8s8OYGlHtG7eiqnQJuAnP4Pc93veRJ1YnJTYgPRSpT/G6Ml9IdFkCFM+Thfqo/k2QCFCMi6FTrACJIfKr2+rqLPeb92eYOn0MnjJPnTG7JnBUjYzzXD2h4fnf25XCmC8f/K8dMCASBCBaVk6xxfblXJRllZgLPcwaPyOp1DUiWJG3QFJ4vG5o6f7UW7oYja9BWQCe+kGSfdT1roMrnCLw40fhjfeDeOWkRALSDL4zQOtj+ufJYoBao4bVzFSHJZethDuAPMXPa9Tos308J/rtV9TFF2bY1aP+O5VDCpkUcTf/ZNKpOkXOptjtKISuQfZCdYBcREIrnOWwIM0qfE0d0fct0uCL4WpeKJbIcvdL6lWesl959B/rk9w0yHnOmC2lpSjLVWqqLlECgno2KjEL6XKKJ1q7whjLtqqhqRhT0VcqyYUc+A2DCCURZXIic7Zs+GvwyeSdSNJZlg18zzrhthzyV4GF7lTvXpO8amRfkbwrumgRL7pW6ZL04bBlrW7RskdJBUgnKku0TEkP77eBMKRW3FeXz6mqJ3YfhPLEjpaWwa6F1KjAjxhdMtz2Ltb0v5v7FLQkERcThGBIYIGfdAIB93vz48MNo3ebSfeBSjYKj0iwaUc1fld/40Amc3GCnR6YyANNobV/MxUSw0nvvw05o6tnI/+vpGQ3GTOkZdZVcXvt5v6032551K4NtmiI7yC2WQ99SdA/0yTYGLGBjckJ+9IDLIZleyj2b0ervWKk6aYU/x88/7STwFeVLXCC9kEkcIyVAVWsXAor7AnOi7sbHnrYdwfcLY4IlubLgex8Rhk0G9gVwsxxiGHWMu7La23L4y0+fvc///MWz3lGcYJMAKg==
의류,드레스,파티복,"[253.9040905061365, 253.7797712018197, 253.61473679768037]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2F7080&channelNo=100154934&tr=slsl
의류,드레스,파티복,"[228.72711576193518, 229.90477436233178, 229.79008502289747]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fannanrose&channelNo=500251590&tr=slsl
의류,드레스,파티복,"[63.09065547936582, 54.28614932491821, 48.12464329825954]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fnoblesse_boutique&channelNo=100770599&tr=slsl
의류,드레스,파티복,"[199.9900536071712, 199.0972518245858, 197.3961603048469]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fninemiho&channelNo=500203974&tr=slsl
의류,드레스,파티복,"[197.40692615912616, 195.09112764738813, 190.97930738408178]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Flilydress&channelNo=500119220&tr=slsl
의류,드레스,파티복,"[216.77180874008573, 202.73895875501745, 196.25138534027855]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Frosedress&channelNo=101033820&tr=slsl
의류,드레스,파티복,"[176.60643041048394, 174.77799175266406, 177.64310384526826]",https://cr.shopping.naver.com/adcr.nhn?x=uC4nEsrdSty%2BoGuoTB2DQP%2F%2F%2Fw%3D%3DsUTpJZJMcud04tgKZaiblZMxpI4BsFX1xQYfGZOTB1yLnWsI0q3spIqmJF9Xz9cyNP9z0hw8MBj%2FI5J3dEfIQkVBtrLFXKJzvd%2BjG7qKd%2B6Ca0uyOnF%2Fbmqfn7j7v58nl%2FWlve0PLfolD1r3dTdL5R99%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajLcbTRMzso08eeHPwH03x4VThag3F9gN%2B%2BxMIu%2FWXAJo4533rCvIYZQAKy1PxbV9TYMoq%2BkUmYrhUclHCxu7KAk0Pg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpBcxSEJeQjDsWOy7qJRMeqBo6xpXokrpM34rf5%2B%2BOfIuReb3YstaSqJHDaZlTRYUs4vJ5UnSahvs6AoNb8D494ElC%2BKeHxPkEqVvHspGs9jJ5Pe5a93Jl%2Bi8gWJw9T1Uj6FTpGpGUdZEmjfzh%2FLprvslK4rdQcDntBfAZlsRRalF7gXw9kpxNYjxclyv4XfrhGRIza%2FkP%2BkWRuRbA9VVMG9ch1v4Xw55LYEm4UsWaMHlXNgT5k9RBLcq9kiOLkgvXRngyYFwWdRHUQAKmh4T%2BSRLPHBVE1X9hF6ZkrnPWwITppcrx7n%2FTD85bR3y2N8cFl3P1vesEnL%2FLmvyG%2FRYym2hopkeKUdu5q4dSKA0zkoA%3D&nvMid=29781407641&catId=50000820
의류,드레스,파티복,"[36.648116162652144, 34.337129307051185, 36.54489300036735]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fmaypage&channelNo=100953446&tr=slsl
의류,드레스,파티복,"[123.11870293774396, 114.36968395376122, 100.4548467493907]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fve-rliebt&channelNo=100426469&tr=slsl
의류,드레스,파티복,"[227.47999040498976, 204.24083476592352, 180.53252308799253]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Frosedress&channelNo=101033820&tr=slsl
의류,드레스,파티복,"[200.9004996495579, 199.6339445185481, 189.79041848477772]",https://cr.shopping.naver.com/adcr.nhn?x=7MbD3mXkos7s6ZfXKFn8vf%2F%2F%2Fw%3D%3Dsr3TaOT52RXs2IChJNwiqZ7UybDjyCPgsvyZHsyie5y40mIP4KWJR4xG00UX5hfhe2DSiAbKCVaqieD8bY3AlbOMbk7USvweR%2FCOom2g8Z2ysTYNZRUQMwZz8Ys7QIqjHwXM7HClgpzOAcrLTH8tA5sv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKvs95YBdCtSnZWshmgIKi2fPdS60Rct1B0gGNCyJH1uNbYpdFQLnVNm%2BK6tvclfwO5OyAKkUGV%2BjsI5PmCK1EtcOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOq5Ypp2aJ8Lw%2FIToNYtEaNEz1nRJ4yoQ1ByXgZXYF4asW1ny6A%2FjR5bFSzGY976L37stjLqpHL9Ogeoh4utmXjAAp3GmZH8572EBGDELnqRN0kYhBwLtHGLi%2FXFvbL5gxSkblcEQepgAxicVxCIeUZ3ZzgE5WjJnohUMGJcN9uBHgGj0uC1eRqg%2FKV9rwolHdRjkOjXegHYVJ8IdNL1f%2Fgg1DSW0UcchrFfWhVxx%2BEljvG3fMktaKJ%2BheVDtZpYdw7Es8cFUTVf2EXpmSuc9bAhPHKa42RGHjkGr2ELHyyUZeY0%2FWOBzF2tvcYLQKdAGBTzY6of2Xpggjm6A4Z8HgJhg%3D%3D&nvMid=30896259394&catId=50000820
의류,드레스,파티복,"[163.00179105692703, 160.56222905175775, 146.62176134166444]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fanzhc&channelNo=100267108&tr=slsl
의류,드레스,파티복,"[208.19561415540846, 206.27990192716578, 207.16362046498773]",https://cr.shopping.naver.com/adcr.nhn?x=qSGXFyxWm9OFtdiFR%2B7Igv%2F%2F%2Fw%3D%3DsSgzeZdnB5frl0f6F%2BjGR%2F1GaJA%2FH2UF5h7C8VzQjh%2BDo4BdOLVLasOS38vp%2BAClw%2FK0HLeZPxcXryvKsUrCQuPVpP%2Fm9a0hcMpcgNUI9Eir4Mkmw%2BJs%2B18lgIt0tkoOe6NP0WHFWG1fGUir0Bd3%2FM1Vd6Z%2BmZ5fvTALbBBPmfKL392rcVj5mouEkJq8zyckjd8N0D8WTXa80oSOxowPuw%2BikPYu2oaC69qq%2BYIJwyLCgHLkrYUFc9tlftqsNNHkabaKBbNcoC92g4cihtVmT2oBsJjzV%2F3vl5Lmd9HbkUGI%2FzdYC%2FwYAihDQzAs9Z5v9g%2FFpiRAQ%2FWe4clROX35A9xWNAKkiTmTHiwlbaGtF%2BcomVkiFtBy0dnVjnmsfUcRBaDj6X7IkUlcIPSTRicIIbJnNnIN8ajVJChhG9cYPNZ3DqQCttEOBcOMjejfwNgOJwD2J2yFHnumulpGAjkRZLwM2wrnI2%2BET8rsN96wELDXR5tYuvIdx6vg%2FqpOsUgk%2Fmo8WcK9iM2TOsbAlxeNjdeUdtPdM5tzCWwztigzE5x6I55ZtBIyehzqY36mh1jkZEfLdBBLCOItFSOSVM%2BYUrunChIfRhUYV4WH6KOE8TAUyHo51WPwT7vbcqvA3UBgRjr%2Fvhuz%2FM2bOeEg7k3nONczG69a%2B9M6657cf2RfdHDkcPa1EqIeo99Mwye1KaYNuaGimR4pR27mrh1IoDTOSgA%3D%3D&nvMid=29657928697&catId=50000820
의류,드레스,파티복,"[34.95361765682682, 32.811068702293824, 33.344507135759216]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fveils&channelNo=500186334&tr=slsl
의류,드레스,파티복,"[161.0197310513445, 153.59706601466863, 131.4688019559891]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fmerryworld&channelNo=500095051&tr=slsl
의류,드레스,파티복,"[159.42083710407172, 132.139751131221, 129.49135746606234]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fregenea&channelNo=500118561&tr=slsl
의류,드레스,파티복,"[17.12582421318865, 11.696259035182692, 11.115061291994436]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fthe_dress&channelNo=100196851&tr=slsl
의류,드레스,파티복,"[59.054430014423446, 47.760577200562594, 44.89431457432464]",https://cr.shopping.naver.com/adcr.nhn?x=d8pFZgGSesCo7h9lzwKaB%2F%2F%2F%2Fw%3D%3Ds2dhh0QExX%2BQLFsYgD0g%2BWmB1O8hgUoI%2FibAXPk87bJs0mIP4KWJR4xG00UX5hfhe57J0pshKwnIo51mSsi35deMbk7USvweR%2FCOom2g8Z2ysTYNZRUQMwZz8Ys7QIqjHwXM7HClgpzOAcrLTH8tA5sv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKxq4V%2BP4YZYL517GxpqFETvPdS60Rct1B0gGNCyJH1uNbYpdFQLnVNm%2BK6tvclfwO5OyAKkUGV%2BjsI5PmCK1EtcOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOqGOg77kFGYB%2BzI7Vvfs0nNj1nRJ4yoQ1ByXgZXYF4asW1ny6A%2FjR5bFSzGY976L37HwFXJXJBrKJQqqv9rM1E7Ap3GmZH8572EBGDELnqRN1CVDWLKqqkHIu3Z%2B5pXuiZTfB6V5VLL1aslwCvhbneh1xeBamATQSM8SxXzr7FmbuCRVQmNTH6VfWlgmEC9OU0FxWen1VLU7nLX8KAx2iSnE%2B6MQJ1JsVdV9RORG1ZbKLsgir2BDIdffbBiPdyhWAMT8AlxSYkXaLH96LNyv1p9bkanyLsvN3ek8aJa0SgQi%2F%2BC%2F5n15i8l8BTA7woBv0Lb1NmOoRBMBsXNQGXzjfbC%2BFUQB%2FrDAzm2q1KHRsHkfE%3D&nvMid=14637700346&catId=50000820
의류,드레스,파티복,"[88.02897812753059, 80.2202985765526, 63.91859738456229]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fsugardress&channelNo=101401667&tr=slsl
의류,드레스,파티복,"[221.41176470587783, 224.31521268301415, 224.64690721648947]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fsugardress&channelNo=101401667&tr=slsl
