상품 분류,카테고리,아이템,세부 색상,제품 링크
의류,드레스,원피스,"[209.095027666769, 171.02251767599265, 157.9905471872112]",https://adcr.naver.com/adcr?x=VB1nb8A26CK3V8nfWfTQP////w==kFOpRCWyD5da1F7oHMqY9K9Zaz83gvOvo3pWkkIMVl3iSfzEkcBUByAEV3pewVMqNGlAKslyutZpxkqt3auuozr/hPEkTO424BognN6PNll2rGbSzH4x+Uj32xBOBJdBzmkjQEkPj8uEGSCW6O48F6MLW2N0D11Zwi6gXvNzMemQHglP0+lkgvpwEHCDlj0MTNcAUmj55LkeE8TekOVj/B+l+Im1qCHb7wfc9QGw0VmH+ScXvHkkyFVVx0DjnCHhRN0j3jW9l633WKfIYHMpf3oEDEl+p7+CZRCiyL8db2Yk5dkfltpxcFTX+cECeeqsaIRxAS5+bztg6ednA/Y2ge/GrwSULUfUKkXaWMiQpd9ppMyf9+Chr+qQ0LDachPXOJhdvIMy39iDueU79C+Aopg6V4MQPUsXwajyDVyihMysXBLb1JZFuu8cX5DUtpkUrzsxoR5gfdY8nP8vhVFA1WwAt4wwI8FkGf3nY/9lGPMsXD+f9hXd11wYWpF8DSx0O2+gWw1L5EgsH/d7mNRuPKo/ylXIQRNt4+FaYmR00CChYMeq8yIJvjb92BEDuNyDNlJGiTeh/hF/l+1Ostv9pKpg8z6T/FFlhLdn4m2OSzbbqLgWTi50GdK6c22pD6+PvxSZb1V7q1T3g2NxUqnV8Ol6zaFuKD51F4CV6MQe4OLqmvQ+KUo1gCpQcvUyEejxdEEw1G+SL1evGItNiCHhV7Go+6NEhM81vtH3bJAdjJUhIOZViC5IoI1yIk1AiQBdTjFGBAXw6qiER1VP2IEiLmBEpj8/5fVZS1QKKS60w6Had03s+ht4susPntcusSAGnMRk/QdeMR11S7KBoz7Wol1+59buIe7k8+2HQqOXsDXQ=
의류,드레스,원피스,[],https://adcr.naver.com/adcr?x=3bxVqiBzrD2HKMgWQrkBof///w==kZEWGfUtXUXuMQdvu6zGou3PS486+Y5PS7AElAi9cxS3B3Lo5wRC1ak3xOUCnJiH1BTbJw7SPrGYKixqhzBZ41+1QzIa4B565ifNo4ZAkbio0rRs5xd0wzaCmJ8IWR3kGY51q4+XsYCM2j8s/X9MjxTISelyyeLFhVHOEu56r7NeIh+XWxP+dG2RSs4FrWpM57AqDUauDnrM7czrfRXJfDrNVh3g3APOkiIp4tdYAZk5ixMavAIGUy9P84ey2Zmy+MMZ3cD1djN7amJFnZQlEfVlWqblQ8Bb9ropsiY4DYu99k4wf0wUzMwA4nQw18O276T5aXCMV4Uv0mjS7fiLWO0S/ZxfEb+xtqqmTyRu1qnWyOvxgz6QzNO58sqJgnYivpgfzi1AMt2HIb83guKxJhydC8ycrJQxxL6GH1JpynKAynarSUYEPzpkbKMsjnAY7YUbZtjTUV4g/g/pFBNcGM2HKComigDZoU1J9pYdhAGEgmrUGjC546yNEyZdUK63DU6i4exacn18npKrCqeQ6ISKNBkC43klgni95rVw/T5QXK3gw+3Kpll+NrTONthuV9wnFAJ6JqNjpFi1XDza9+FjwCVOCVJyu3yhG2DXVv/8HZ5cG6FIxai6P9KMTH0JNxZ64fToW3bAWxS+stNHASZlIv98/F3c30tGNMOz3PRecgbQT2sit/76c9mxMS4SwHkaDGBxcQ/yhgJRrkQIds0Hr0etI9wMj96QULmc39UbQek38rcGHGwhNM39tvxBUmWO7M47wQx/jLMBt2CDoq2ZxEtVOWh8i9QHGR2CCAHM=
의류,드레스,원피스,"[250.77664803717948, 250.81244809551606, 249.78286535137264]",https://adcr.naver.com/adcr?x=cuNvJhm9b1FzRPDIhUohdP///w==kws4ObzKqYjDWm34DewMWA7mwqWEidBzih+UuhPzFq/egEl+Ddz+Bv4TXnrX8sROgisG/VT4s4UD8DuT6vcPaP1jgKYvcyttYXUs3ZkqQPkTCEPgJ6EoVIaUZlEysg6gBDktWMmK7YvznrDUKUQd+u51bmTLQU38PZQ8yUY6PMQY+3EFeya8Q7OEpaEzGx5R2zpxzPhd5N71PYtJZ5sXnDxPGY3vn/YNip9uQn38ACKpV03PwNnHJZnC4dUz3nVSk9jpOkaz5c8Gk4dsf9vVEI4ieoR7x32Ofrqp1Bww9jUcSWzoSsJGEfapZ5zi9VNFnO/wY5R0v+7qAow9zj6fJy/u2VRMqI/HKKPwVebULSp/pB25T1UPW43dEg14ELVtMJWHDtDfQwvaHLN5J4V1ISKEnp5w4gUbFkvbmOXZt3vC6/WsrYo5SQQdNhjAgpK65vY+8dqVBiDOVW7sLBNl1B+VdYh3FD46slVzJ+HP+Y/xBhZMK3u00+G8OX2jZ8tM647rVVk6Rc2SfOd8Not1MYp+OP7g8YWfLCwVL8sy02sqlxZwHdSux4xXtxw/Gm8+yZOpwFmRMbKv10otvZDFpy8nFc19NhqeDMYlmVKPF43tKJdiiru4t7v9+OyetsAHq188WW4JqDCCKl4IRR18D40aceioANg/uXGBnoxYSdB2vJzIuAZj8SwPVVSij3oKzks0GmGfuiciKAFWhicGU4jZf9F7r26MCH3q7+lUsGpyB3euQAh4WkiTxsVSUbzsb5I7Lx6VYlUteHdYy8molAOK959U0mg98oqWr9mDGLdz0fMYTskEZ93Wlv7RkO1rF50STa8YY/qRpS6cRNWpmRovV87qu91sW1vNCjxTlCQw=
의류,드레스,원피스,"[154.64865037330273, 151.466083849148, 151.85867738710698]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fmelvint&channelNo=100769882&tr=slsl
의류,드레스,원피스,"[147.10526912181442, 138.65782813975494, 139.25556185080012]",https://cr.shopping.naver.com/adcr.nhn?x=M1S%2B0E0LvoDtsWyMATks5f%2F%2F%2Fw%3D%3DsNyBAZqxw0RXcY6O4F%2FRyAbd5CKigUYFV8%2FtERh%2Fwb4VpNz5%2BgmVGKb4nuIOr6vg%2BREzjpS8XACShs3lA6MIdUh8UbdauPg%2BDQOSKLjriyXYoRiWrv1uGeqYC%2B0C5UMu%2FlX0RQGdESJViA3ZFzJj4AkgAn8lD2%2BxrgblrBqYwPdWug%2B9sjA7rHdeMLkY%2BwIMUtlkuQVsMhPZYHcrfGEwZO35J83dB0AKXokfh6sKT%2FxbopD2LtqGguvaqvmCCcMiwsOoruteWvm0tF7Oiqo1WsO6O2wcDT607N9YypLSMH6jDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqqj5LYvyOmaFibHnvX1pHMed6PbPnc9RLVNJQhjAPciPyMCkb6E6MKE4Kx03%2Bbi%2Fvd4CMzP2gKydsyXi856gykoulMSXmodDptJZCDmbU%2FWSixYAsonm2N%2FtwZQre%2FZyFyasMJIc0PWRcH%2BnIt4rEz0p0Fj%2Fh8ADY8d2fNfXT6P%2FgbsTbmSHkSGJgaQWbVdXJXHK3sxoCZfrXCLcN0Phy3ZZTIB4Karv%2B1xx3ibf%2Bxc7tBFtpZCMimjOEYFN6XEFE0%2FAJcUmJF2ix%2Feizcr9afUvtQm%2FrqQw0WpDSV6Vt9EIZ16CS6Be8jBZUkWJ9cnDdQN%2BQsjK6V0FLd%2Fybx7qcubNSE3OzZUT76KyqzckASmm&nvMid=32510597813&catId=50000807
의류,드레스,원피스,"[179.39967258250482, 173.81113963611975, 169.19542731703757]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Flulu-j&channelNo=100119505&tr=slsl
의류,드레스,원피스,"[231.03113181440904, 151.21381791347613, 168.34028226178538]",https://cr.shopping.naver.com/adcr.nhn?x=dOQtYHHfD6nzcbXs0jzsMf%2F%2F%2Fw%3D%3Dsa9OiBs%2BzDfaXwIVnnerA2hSrUnoqdc56O5dGbaWLiHv8W6JcdQXQO7S%2FjH69d%2Bye3%2BwCauBPgpvpkBFRFK4Wv9XJ1UgyDfcdHbMS8cEwjpxqj4Ej59sUMsIOTevnKNhiseuDdkTOPboarz0fdFEHGUPg%2F6PYJW9LpCSumzPJoiiI9aZyW4hhCgmcrsQhWGWG8W7BcQv5ZXUTnRRrFdo6MkmtK9g6v5AlXHJd2rV4FLcozCFXCpSINeNwgW%2BgMmUNy6W8lVb071WTq46jrUW5Bbj2h%2FTOSEvSuOYLxO%2FqXvw%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSeus2lJURPL8DW8smyQxY%2FwpQvCL0vjT7BDyew%2BppTYv%2BBUv3gwqgDP%2BpYGkAC9bdaYCdMAdvjcgEq%2FzstQslItBLXcv9Az4Jm6rquko58j6DbZRs80zzOja3E6I%2FTrwnTR1Ie%2F8qdkfpilaOFIHEj4To2Fn%2FIZDYT903QdTZw5F6XGfKYExq7uG4FGIUYcPNsRCIMPjvuIKgk2fGiQj4hOR4D%2Fh72oBO45sDem6%2BPF4Vn3Af24KJVx3t5woVjGQGl1mMWWuMbfigdlGhEURT9gBl6WUTvX5ZLX6qgI3bc2OuHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=24125402103&catId=50000807
의류,드레스,원피스,"[164.65940225379694, 138.30206761391676, 112.73369916707485]",https://cr.shopping.naver.com/adcr.nhn?x=VQK0RAGKqWdMpfEh5QH3Sv%2F%2F%2Fw%3D%3Ds7WuBHg1evhH%2Fb85cQQpWvcaUkgdqHcMkNCMyRrnbrmf8W6JcdQXQO7S%2FjH69d%2Bye88hSuYS1eX1S9%2Fo9NpjZ%2FtXJ1UgyDfcdHbMS8cEwjpxqj4Ej59sUMsIOTevnKNhiseuDdkTOPboarz0fdFEHGUPg%2F6PYJW9LpCSumzPJoiiI9aZyW4hhCgmcrsQhWGWGbMgliydaWpSd7VQGsSVqsEmtK9g6v5AlXHJd2rV4FLcozCFXCpSINeNwgW%2BgMmUNy6W8lVb071WTq46jrUW5Bbj2h%2FTOSEvSuOYLxO%2FqXvw%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSei%2FAe%2FoPAGnXJsZ0mFC%2FGP9QvCL0vjT7BDyew%2BppTYv%2BBUv3gwqgDP%2BpYGkAC9bdaZJZ6VhipbGuttILY9ClG79LXcv9Az4Jm6rquko58j6DkbTdWW7GRhKOvl2DI4bgSTxWcqqPo0h%2BXIhZc0lQMFOvD2xeqtF3%2BWJxz61BjZtNvyZCdg6tDST%2BrENb%2Fr%2FRiyCA9lRCG3G%2B82gIbG%2FlVBpvP1qu3kU2svMalYhskvq5YXGf1mYGgjsFYM09nCLIb7BLEUSPPAdNa2dUOhGlPaVVokNV8pcqH3MqOAeTNNx%2FEaThcwm2jOjlPe7qD4n46zUWqTCTmG06DghcRukiFaeBWwD1IQdHysDRxloy8%2FRXzY6of2Xpggjm6A4Z8HgJhg%3D%3D&nvMid=25856201924&catId=50000807
의류,드레스,원피스,"[229.5378221778277, 221.20997002997024, 214.43380619381202]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Ftopcross&channelNo=100452119&tr=slsl
의류,드레스,원피스,"[160.142864028535, 158.4130717694114, 167.56485274979306]",https://cr.shopping.naver.com/adcr.nhn?x=KsgsFsnaF0VnW%2B2Jsbygxv%2F%2F%2Fw%3D%3DsD1fuXuzCOkBM29kU2CE%2Fuyo1LKZd%2BXFzmiEpBgZ0lK5pNz5%2BgmVGKb4nuIOr6vg%2BBDy7QNy16tuvs5j3Vl%2BwW%2Beis3mU8DnJhfic06GZJUIoRiWrv1uGeqYC%2B0C5UMu%2FlX0RQGdESJViA3ZFzJj4AkgAn8lD2%2BxrgblrBqYwPdWug%2B9sjA7rHdeMLkY%2BwIMUeL%2BcQvPokjVudXyFaMHLr35J83dB0AKXokfh6sKT%2FxbopD2LtqGguvaqvmCCcMiwsOoruteWvm0tF7Oiqo1WsO6O2wcDT607N9YypLSMH6jDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqlC8MPydLOQjDwgiZRLgZpmQlKoTW7oBR5S4e5%2FFeRPiyMCkb6E6MKE4Kx03%2Bbi%2FvfFhQICWiGE%2BLx5qgzg5LMgulMSXmodDptJZCDmbU%2FWS3H%2BwkQlXfp6nvzYJoAfBAaYxgiErjxAjwVxVWcIQ7m9C4WXC%2Fy7ax7q7kqBT9Ns4bk2eQ1iHRUiSeKOsKSPpAbsD%2FS9I%2B2LxwdjijZ9qy3ByI%2FXocqksMIPUpu5X9LXvS%2Bd7ao%2FJL9RqFlonWSo0ombA61eFotY3BN9DaNL7K3zkvZEixyM0fCd8eNWQNDiS%2F9E%2FNFRILyUfKjPTfhqzhIKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=31484296676&catId=50000807
