상품 분류,카테고리,아이템,세부 색상,제품 링크
의류,드레스,원피스,"[182.90212567157027, 181.1350151833685, 172.91202989955838]",https://adcr.naver.com/adcr?x=hCElgkKL44fU9vq3RJ1ctP///w==k+27EigGaSaRnlbOm/CyuOGw3jLri+MbhXAAj82O7h0n2csJJqYZbaVFYrEE4Hgg83fKeHfXV6lw0TU+Fgq+t145eF2d+DAQ8nr/ih6iPxESiaffEycKW7jQc/CeTzRii2pqvAuFWoRjPStU1zD0qMFEDQhpQUHAz9dGE98PJoiG3mgZkU7AZKXxUYAhcyusPLqAUdqGFmJZ67jFl4C04DgnC5NBm2ykw97PDTNUJtF9uN10TOaRtAXS5opDiFcqOvNsdy8A837ZaKgYNjnUJR8XMdjGkioH4craIiM3oeZUdogasoibFHPbFPteo/HEmq3fR8qUo8r1REbS68r7rztCT/49AHE11aaZBemTFXRPMFgAv4YqoguuQEFKVz6wHM6sZyMX59CIM2MarqCXHqlQ3AFNNlLW/NWU+rCO0FQQ0ib9KMwCluwR5ybeQlVZQmi7qGKxUNW/vWXVuvR/dRzTiWWKK1iUqAbJ5IjtF/r66UyNIxyREZK/9DhYCK2RT68VejyzJuTsoa+8azqTU5kinDP9StGz4m5mPPPr4FLJQ1yr778y/QB4XdCe3qQagMJQrI4AmeiAciOeHSFTWFmCMCNDWTLj06xddg6v0AEquYewJFOhnWS8enzkdikK9SNv5I79XI8omwQz4vAE3o9usByjCC8It6DRIzXdyRI+sNOLAdFYzvKM6Qp30kq4KgSqB3Ycmtnhbsi/ZUKYxUcuqMPljcddpghv06pVGElK0JlOE1ZT/f+eKJCp8U3gd7yiqRkCK6tPhCLR6PR7QIHVxCuh2AsRpsBONFe+atXQkyy9mrIOrQ/SFpx5FR813ZqS/ctPdbEMzucwZF6gqtCje3mNAca2J0ARRYHO7Jrk=
의류,드레스,원피스,"[32.76530986431183, 31.824845229626106, 32.375612071007296]",https://adcr.naver.com/adcr?x=DvPWDMzIYOtnjPEOWoQzTf///w==kzotGGFX4If1Z5Cf3Lqvgt2Ekx8cmfK3AsUse1qXHo5UIoWs4FPHXRhJkwJsjVC2SXy8018G1IX9+efgW+M1lYWo5TX7v5e83UNQH7ZBfoU/YvlW9BDsoJsDLMiX+6mxnvbUZ965LGDgQ6QxO6Q4suYhYgsQPm/x2fg0cpMcZpHH4HdutJCp5slPl/VK+uX4uIV25T0g6VLHn70yPEBIrH3fLXgVHYRHdDgGMBw9ja4RYG4jhQN0rnxbY7McmycwTgN9ojJwXDyINLG/b2FRToINn6IyhX6zkhr4z3uZFEZujb2t71RSLQqs9n9scWemHBD+cpGNwofcE4rDqg15+O0IXGoEEVNt7ymsrNPhM8cOVMrr+s5mgKiLXbMueJymSSuzcsRZOP1DKjYgSXQyyZTnac9E0hRPzYruB5If3GxRCXnD6mkx72JRQdayAsBqD+VJmBtcXR2Rmmhv5Ht/MgMWqo3CCnoAo/xjUgcXh5Z9kh6a4jF7TQcCmZ+69QqZ4Vc8DtNga44LPGxRE+cTDr6fgC7y+RuvHU41yyC4jZl+axZfuVi+88qfcedPOvsAiuTCrrWeuhQdnQUsaw2LPYEcg/5uMnJm/cPA2QaThZALKz26ueGrD06T2x2h/h/nEono1T1i0UMbsCAXks62E9x1jEtM1m9KrqLbyUIKzd0PJ1K/xD/06ijNrsVcdf3Q2fUihICKrVN1oxEhvRUsyK/wn0mTCbNNzAf2tqdFnAmls7ab/uiiPUYABbPs3VPvjERbW2SPNJngfS/zl7yA1T4rWZ7Pua1V4WWVasNWRpFsFwjM5S4LYu7WBth0uVZIx5ATwpfSOjVSOrOtmV6VlMA4r6hhfg+CyoDD0RCVHV3CUL+xqtMfa/sP3J1jxieYUzBZXseLCuhA9cnflIC7IMQ==
의류,드레스,원피스,"[127.62569502797842, 136.324066293599, 45.31732608656905]",https://adcr.naver.com/adcr?x=fntEUJCT8jGpTKs0Z+XWaP///w==k7udek1mO1+dLlqGwpeEEyx3rXn486MKdiS2fzFMcxFtekJhJ1bk9wMX5810TJrtl7oGN78n0n06Lam6kBJu5ZQqq/cnw3vDhePTFCDwBMGFsOrDR8JhHTVCdT0Dk9fbvyjFl2YxlZZ3sjH4D1lnYZ6uRkN2d+sdigBIIxxAWyo01UmO7hBF6M6P2stVRXOmz67m0NM5nDE/2NngbV66jgQC7XN53vRZMnym/9YPweYAKsL1PnFCLLDM+zimcKmLpvGJbvUF7F6S4TIi81X6Ij/DJ5/iPbgLtXwqZkZjyCWT890OPk70Eld0snKw8bB7txC5xEr2ULCDb1Op/h6ZQF6So9EGCwjeihdsuBzY8/zF6sDHUJh8ZAZAcpH+WVO0WPmY/oYRKewkKDzGyteDbJJyvTs7/BtbCc/FaL7/zuLSQyauY+9ASmP2k4KfIr4gP9WRy4unjqp0vuNR7eKi2jnvvBV0CG/3oc3OeCDZy5pXpC5c5Sg/u8E3ZHdHrEWP3P7lwiBcE3dFwiHE4w4CeVJH8HKS5Jgpc23sC9QTg4FJNFgx/IfzbW7Bb8NhVKwW/3liV9rJdmNtU+0wYaKYIpeA3j/hBDMBR2TWVShq3t3aLMLB7UNrhH3LQtoecCFDTIeICqrKSwg1VPAD0Fr2aclz7FBUN3cYcYwIjFVOAB498q/tnq/vQIPdBNE+Hk06WovAZJwyhK8qYGosz26Z1ygsYkJLPdfFD43/LYwRUGE7YOY+6bbumSbKyxcqNA+Gof41LQipouxzjN912cf6w4n8IZ0mY+u2sP3shDr2A0yx+9NGvmH5tKnkqGs0qfM1/O0KqK1EvmXZpfXak4RLjAvrvFHRzGpABNRt2vrDMdK3ajiRD0QE/inLtVWRYuQSGP1kt8hEX9AkvJwup9rzncA==
의류,드레스,원피스,"[134.91729796843924, 140.89127813866432, 141.33073614884938]",https://cr.shopping.naver.com/adcr.nhn?x=K931L5LH0tmLOVvrlEYvvv%2F%2F%2Fw%3D%3DsUdSs2wCQMAJ9Vv9ejuSNyep4HwO1c95EJHadxEpW58tbGi8Z3hX8LjgWiKZLZliJO0IUhMRhBi9RnJ59%2FXIKQ98XeWFVroQiUFxcDsunt%2FE%2BqoNGH6TLApPAiI56%2FwheuBjFz6yx8khvXVyhens7sUbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F273IWn9%2F3C0A%2FqWaYNABGwcsPQeAIuzJJD5EQFd0KyDULdPg%2FO4jEscb6s8iOUy6lM2fOy4WQ77wKPDFlLLln8TsulvJVW9O9Vk6uOo61FuQW49of0zkhL0rjmC8Tv6l78P2tfKoQ0NQPyiad34AQ6K9%2FdVvwtcOUlbNrGLU3RUnoo1dvE4vXug0W%2BtFfkJ5vUFY0AqSJOZMeLCVtoa0X5yodSJ3PEcZvM9vR%2BeQyoDKumC%2FZIuSiqLRlGxVlQLqnUmc2cg3xqNUkKGEb1xg81nbPPU8c%2FioNzXT8F22oPKP7TJfAzvlU6auxnFOtcc4Z9O83kOeusjmIyAQrqnO%2B3CjJroZW%2BBPnYTVuGwzaPxxpBUc5NnINLKJNHaiakp1lh8dhZFt2g6sUi7dAvVA3dLiQ44lqQ7AQSxKOaSKMvYNxkHtf0x29islCXGxYlobzeDWrhHEcp0p%2F%2FKKziu53PdB%2F2zd4Bzc5%2F3WfuCj0qHImogUOz%2BofFaJsI2akgtmvXV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=32756131941&catId=50000807
의류,드레스,원피스,"[164.40174721668268, 158.93558144024678, 147.09986163846102]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fraond&channelNo=500271240&tr=slsl
의류,드레스,원피스,"[195.25457265247488, 195.26857958794437, 194.61809002516435]",https://cr.shopping.naver.com/adcr.nhn?x=BzLnbpGNkzmPFIdIlHY46%2F%2F%2F%2Fw%3D%3DspE44ComU7gFK9VIHRyLHF%2FuOR5nD7Yt9QxG9nl7EvnHBg3PGws7UQ0MypHqmLmY4C4tv7hu0XLyuumZeUMd77yj4%2F6aChaS2msnHSsfF%2BVdOKzEBWNH021T9fbWLRAPfT9yWUFFz7qqe99vQwREOvdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRTrr%2Fouj7%2FfU2rEHEu5IxuEXj1nWgVrwmCUmiOGgQ8lbMvuY2aMLauHRut1M2fbu0dztVG7bVc5Lj7BX1Nb0p0H9ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7toObFQv%2B520LgjXNXYMICd1EL7PBh6vo%2Bzr1Db8r4ssYwUWP5K0o38ot%2Bhh5EitTYHiHb6gSkz8%2BUypEXPUoaTBHS7iYdd4BTrgASNQmm8sIjBnwZiFi47fpF0KZFOXu6k4CgVSiU%2BlzHINcCyuxvNkdxH6pUWztScB2zNV3Poqh2zN9B499zYJopd95Cy5RBZTIB4Karv%2B1xx3ibf%2Bxc7oEfQ0AfihFnnlbYYzWGx%2FE%2FAJcUmJF2ix%2Feizcr9afWIPWyJz6lAPK7o4hoXm8V2h1EpvQXgiKtpsqHdRaPccVaFndIwdNwuWmKtx1HNSCrUkiyUGZ3FpPHvE7X48%2Bhb&nvMid=31674217841&catId=50000807
의류,드레스,원피스,"[135.9779825412224, 120.63622696411288, 108.24076139670231]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fclick&channelNo=500003710&tr=slsl
의류,드레스,원피스,"[252.6320668915942, 252.93947484231057, 251.41302625788097]",https://cr.shopping.naver.com/adcr.nhn?x=iznUYQFo1X9cyFxFNfxu8v%2F%2F%2Fw%3D%3Dsrd9OVvy0vVsm6kbf93h8O5yeMfhxqSDwlWTf2qo6sj1bGi8Z3hX8LjgWiKZLZliJdZ50EbH2hzhOl%2FsQ%2BempGTFh6HkPgA2FdiUpSyJI3CY%2BqoNGH6TLApPAiI56%2FwheuBjFz6yx8khvXVyhens7sUbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27Cr9nDtAtOe1xDpKnRYyxigdLZR1zy9LqT9HExQ5ttCvdPg%2FO4jEscb6s8iOUy6lM2fOy4WQ77wKPDFlLLln8TsulvJVW9O9Vk6uOo61FuQW49of0zkhL0rjmC8Tv6l78P2tfKoQ0NQPyiad34AQ6K9%2FdVvwtcOUlbNrGLU3RUnp8AkdbHgf4WIdXmuO2I883FY0AqSJOZMeLCVtoa0X5yodSJ3PEcZvM9vR%2BeQyoDKtn1wF%2BUITbMoj200snQQ4Lmc2cg3xqNUkKGEb1xg81nYooonaF%2F6Je97%2Fn4cRn3lneEPJnZ%2F69I4a9P4XABEMsX2P%2F6OORge6N7L3r6uLBmKOuInwfQ1XmfH35WvRpRXb1%2Brfd9IhtRPCeHECmKpTK69tSsnfZRGh7nn5wEXAle46%2F74bs%2FzNmznhIO5N5zjVuR0cBO8u0ft0A4OcnxrOqdS%2BoXqz7gmeTsKFrCy85l8tVYavx%2B%2B8fWZa9SBc8rqM%3D&nvMid=27280335816&catId=50000807
의류,드레스,원피스,"[117.272735840164, 109.72561492790685, 109.14765337857]",https://cr.shopping.naver.com/adcr.nhn?x=KKkFO6awMyYAtwu5Gu3w3P%2F%2F%2Fw%3D%3Ds%2FhP3pZSSTPzsLaVXb4nijcMDj%2FnvsVx5tOvokP8gT2vBg3PGws7UQ0MypHqmLmY4LAX09CiApdLRYI1oYlQ30aHOgVJV2mVYN%2BebbREEhg5OKzEBWNH021T9fbWLRAPfT9yWUFFz7qqe99vQwREOvdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRzo3QAMvSVlmm8r4gcQL%2FUS147Q8o6nDgOyyeBWsNen%2FMvuY2aMLauHRut1M2fbu0dztVG7bVc5Lj7BX1Nb0p0H9ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7vfxzlBpo0kZEH3qte61UP11EL7PBh6vo%2Bzr1Db8r4ssYwUWP5K0o38ot%2Bhh5EitTYpjnAdc2YYtj8mXBPHM0j4BHS7iYdd4BTrgASNQmm8sEvuASym4OM6XL%2FHMWj8UBxBCS3PU9wj%2FygMRAcvcL%2BNyhreD1oJdPLPQOGpHOsDWaOuInwfQ1XmfH35WvRpRXaVfHZe7oBiNYgn13gWyUKDei2H3ioza0LwwqnDPpwMoPoLRdeTzJJo5DQ5ovPMjEWUOQysonATCxdjQ6MHEiUzU7YzMV67yO%2BQ%2FPHbZKbR%2B4VsN%2FiAcjmtIwlTUFZwg6A%3D&nvMid=31864570954&catId=50000807
의류,드레스,원피스,"[50.88269405281629, 41.97910626148931, 31.384365109223467]",https://cr.shopping.naver.com/adcr.nhn?x=MV8USNSVO82ahE2U%2Bo4AEP%2F%2F%2Fw%3D%3Dsy0RI%2BD2me%2Fa73QIgD%2FPZ5Vlu5%2BbOClB8t3wQQNAske7Bg3PGws7UQ0MypHqmLmY44O5fg%2B2%2B2a%2BZ2F9vTM6opHdaoebg4mD%2FM%2Bff5146hkROKzEBWNH021T9fbWLRAPfT9yWUFFz7qqe99vQwREOvdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRcmKv5Vhnalm4tXswP4S5u9A0zPJ3cigTsUsDcuoNcIjMvuY2aMLauHRut1M2fbu0dztVG7bVc5Lj7BX1Nb0p0H9ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7uLhWTBeoU2M6TOp1%2FoBYFj1EL7PBh6vo%2Bzr1Db8r4ssY3gU7tkJRiL7%2FLXNyQvK02D1t01%2FD%2F4DO8355gCKmmKBHS7iYdd4BTrgASNQmm8sApAaew6s4D14Sq2jmP7EVGYzeUxShv%2F4adLRRWqOI0F%2BsvFfJk6iLYB7cxpeqdIblxnymBMau7huBRiFGHDzbFtM17iWEri1AOTY9NT9krFciGdaPiBjHd%2FBezG5IsuABUMLshgiPoN3VFWP16EFzFo5oC94YO%2BZms0fwVObsIRXqz%2BtaZAdBP5fWlEuaEZNh0cjwVm1BUYVknE7IEMpz4%3D&nvMid=32311677127&catId=50000807
