상품 분류,카테고리,아이템,세부 색상,제품 링크
의류,드레스,베스트,"[17.939509349113308, 132.0038692948063, 190.6369953203809]",https://adcr.naver.com/adcr?x=4ifAuMUy3OGw4MWAI0CSG////w==kcFXGBWES0/dLJ5m4K0WPWy3VoeN6lkPpaX3EV4ql8IoXoNXa93vFo2b/uEuD6px+duxr6cTc6+6VT+1AkuzSLPzgjBm1B/t8smkR0N/aG272yDAJbqY/JkGfOxdrkIQOFEfWbKXsqe8sFw8CmWmL1ZaHS2LypSPhLyJfm0GZqOwfvLsuZAdKSMk8uIBP3GaoZUKe4UOFA+LRRlvSyCeBlWrlj1iP/Tes25osWIQf2PsVrdn7ulX+fzEzgrYWq6kazWhZlGIuJLOrAUYnR1GTOC7PvwK5nE1+5u+hw00Bao8zLn3SUmU1377ZGkcrGKeLkrcm53NJ6mYVYGsK0K/0M0NuN4eET+a0ByU9OsyFhiW+vJK06XDt66UKtH7+feB+/jr73m9UOFJIFJQ14O93Hu7SmnMVFTyr6kw7Xya1JzzPKhvf/ZGGzop27g+yWwHwfRgTsXRz+RGTTNG7z5Y54AqAB4Wa3W0+GhlkzQmEfvgCwUiGxdGfqeywVRaFOavuisxcyad5kuSKE47heuFzLCVNY4Ier1WAku/cQn6EV4u2C193dFmLMkHRZ4oePuZckTEH5otdQcKDOXHOZnVgm1RexrRm3hkbh71pr8FP0eHZZbyJmFlrxPyPsB8AZy7dsqgQEbv2ATHL0k2I21jVec9LoTyNsfqMHfjepZjYMeGI7MCgy3G3qutQF2T9aGLsdOX/Zfg7zLotH9Y3BC5qpPDEKxF5Xfl096QoyCdyTti6AYKb7PWasfDIs1lfJsYMKNyV11Trk9fUIPFqVSjWw0c8q4zFauQmuTbf5a/u2ucsRotbfINAkYwnWrAgoGJ/QiZJ1vZskaFkm4I7EHvfiamScJyHGPUu0Z8kXbaznljTZ4p/0C48j/XzE+b4KKGlm7cxntGRS2ePPRRPImVgS+4eZSfpYpbHMgRRXUYoJRs=
의류,드레스,베스트,"[46.66727812037075, 43.13589883693078, 49.70587776130938]",https://adcr.naver.com/adcr?x=w8p7UO7RJJ2t+Fxs8tpMlP///w==klvPJqFejhkZ43Sn2QbwSSYTNM/0cRcLcV6SuqVZ8U53uvu7VZtxBA36NA8hV1cU3mhPwOJt4+Cv7vGgj80Nvmv6VUNCVPIkIDbZ9QnuSUj3YJaAm6H9No71U3Zh4qvdxxQE7wduWpehf5myfWcgqPn7Ooy6xhYAkiD2y79z441pF1iOLOOZho/ddiqlDItVnPxHwSdMddAbUMowppuAvD/ZrKT1Ct7kr8sRNEPkZrCZ4YW3qAK+ImGdvWyQom7pMw8nHgrlnaXVduSsQNO2pYzmyOXU60lAkU6RT9nGk8cSXasYVUs/waEMD3VldcTjfnGr3FUKnSRNgOcy81fEd2zgUvVVJsfJ5QhaIQM2TNCPqJfWr8amdB4TgDZEdPc6Ke46+N27ZtDchCLvhmVTSz8yae4bVl/ySUkQqh5xz0gUMmpbKfxNpMkZw5lQ0WaKel/StdSfCWyD/FaCxUi/DGi6goylaeOwv99VvFxyFq8y6XC/vm+wKGcqxGM0x1x4bVoeJPF5+RIuKabXcpszF0QE3w4gdu3OajEfE/AFi7WPomjIeaHcVUFZ5LsvlHZ+awMdYsKT50b8f2+f0GSGAFYEEPiSBwcBeb8xG1btmfaBoLxXpD0h3vUZ6iR8yw85677iD3+BOL1zrSlEPlrXIE0KXxLkfIZ1K4HMu8pRuO0oVEVHemWlryRms0+wgLPaY4qmeVuAUp2PbaJjw5nW2PozPViyt8iawXvd/ttxmJ2QDL5cICY6qclFXcviq05U3ldofjOrA6VWc4f4lGlfAap9mPGWfA6dXENAmeAGx4SDtyp7Kn2TZMCJs9kMLijXKeJBTRJ+ByK5xmBKEVhcUtU9UPPo7CzkWm9GzYZn2eP/X2ghNs9mN9Ku1CZIdNCD4rqVn2yz3SLyif/d7CrnOZk10bcK/9zFNmdShskMT7t4=
의류,드레스,베스트,"[251.60209921918812, 251.7697258946346, 250.91846325451365]",https://adcr.naver.com/adcr?x=21brEviKGCNjIHZNl9QAvv///w==k4czkqQSQMw87YMWkp/P1nywF0FLbYLd69RBnIoOiCZ7sKyfor58RYtGjHakTbfozt5Rg+ANZQEjPxcC3zg6u76glTmlMZkLLT3nzmeIaNmxyHZu4uFr7zRoFkzQsQjU5qIssxG1jeCgM6XiF4iaGzzA0SPHnyZkwrIY0+Q/35zJnpfgcpJu4UUkJ06kFS5DcKc2Oz6dRgODgC5xuSjg53dqRkx5BShMoLAzfButjGK3XtaJ5HbQ+CguRQq4Tcfa4q8UH+65zGxLUi77Rs6I7b0+ieTyGTlUDrH/MJzWgTy7lXdslOp9ApcqhS+Is9jMj05iXqVvnysLofxOx5y0Vuy4JV01dik2lhSLYT21PnIIZf8qhpPkhaXuhrePuS2c/lCYcTDKFMCV4EijUn4JF+xwKB8JMOet60TYFyU6P2q7vGmznmQQbMwq+RHKL2pbEF4PgzRFvTcCe+C/0lua9MPH7aIdk16yJtgIZIrW8eH+a7jIZ218/MFMwnG0mbrzaLgu4IMGYFjsdd/uJNyuw3+SDVj6jaDVMQ+5SH9goHYdb5at+NYr5VXX29/UiDeWZGpoEyJWyQqLPkk1P5WGn8coZJ/rJHZeblyDimoN+yrvot+rD6Mness4NP/bmcxOb0R1gxd6e/A5Y5yyBY/RPyc+cMLqWribJczXR6yMwYJPc/byK/kveeyCJRKwgPKEaj5q25gH4M1Yv2qp+zA0dj6EsJ9mDM3nP1K4E6Rz/c0DwDjBcB4bch2BmWkYQcApYE3LnnJ2oSkffWhis2H7ou+aAv4qSout8QvGrpYeUfsCZr0JRFOioYoF1PHYIRNXoBa9dLbSr4o1G5P/Coj7XqKLzoxAByWOSOGH+0bev2bo=
의류,드레스,베스트,"[167.06355821069624, 153.4262275972626, 137.84668512312487]",https://cr.shopping.naver.com/adcr.nhn?x=EDLJupSUh0Z%2FYdp4TSOHrv%2F%2F%2Fw%3D%3DsOfx1TH%2BBs5CSXq25lShCt7as39uLeLeyPzJLv6xEuzxAVSeJMwVEQZ9NYLvG80R%2BqC5CxCqap89YYvFKjjrSGy00rbIa894zSkvdqPxzRzzbDDWfpEkMbpZMfqpAgpMUAWoa3Njp50x0Yc3bccFxi99%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajL2eHHBJLPHxafOxbL7ukk7S19I%2B2XRm0iIPogjjaGx4dUQedMu%2FUrZqrwqVgEvM1NzNaXEJNDqzR62lnx3aw6AKsJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8Xlvm4gJAXeAyaMj1Ky3svokUfTLcsHEJ5Usdi%2FCwLbBXfqiCwBtPYYwEdSt6i2JABI%2F9zjlmXYUG9YuAe5GJ0JHXiFaGHEkykNnwdV1ciLu55SMQfO4YXDA3m3V4SY7NyhMvF0WcIR9WpdDhsIPItl5PzSCFzRS5Bd4lYS2LynCIWbC7Pqn5ONmX4hML9%2FWfeBQ%2F4G8gRoZ8PJCTZdI%2FkseXT%2BCmd6tvj2PQ0QhkTd%2FvW2q1ZBpuV%2F%2FvtKUgTGHnnIM1d%2BPMBCLDzrQZQiijIbaVBHXr%2Fwka%2B1POiZMwwf9WhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=32879479857&catId=50000817
의류,드레스,베스트,"[211.30433887275828, 210.3966969378705, 206.9941516855078]",https://cr.shopping.naver.com/adcr.nhn?x=qxuKfz%2BG%2BY25LqV2WAT4h%2F%2F%2F%2Fw%3D%3DsWXeAqgZkIQYwzAkytbbQFYd62rWP1iGCDVmDrGA41nMvGxzS%2BFZMaRiAp4AZ2pgxXjWhRI8JFMoZfcIXY96V3%2FhNdBIktAcPdnbSd6aeqv0tL%2BYYSp%2BBACYE870p%2BtxP9ZZI9RHFm%2FZZP95GMFCahcv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKBQkuDZ6ihArHVJHXU5ONRTyTQpvj%2B9n20KCOa6yVum0jLZO4Wx3wF73m9BM2jIO9bkORMgMx07JHY7NFMatuwEPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpAJ3pKibwEsjIBBPCUdM7ttm9Ja603AxIBctEzMJrPol4rZSSVWEufjxpmTdOLFCRobeWSwjUtyL6sfzbDrlW98b9fe38o2Eslxa66FmBFHYQ2V%2FZZOw7bwic5FhlvjtQxwZr2NR1kEi%2FjLIU2Sx52mgwc2GY4JSaixqSvoZ65DPCoXvaAc7cbTQKkQTwFEeUcBiDnkuqbTVsJt4%2FLRcFi9fA0tXigTid27xbPBDGTNB8OiVh0KUaojCVMNDDFdtU3%2FZqUSSDgsqoUshPQ5BEFpiCjSxN4OeflhYHB7EtjSOIDf9TYDOC4LzgCehLsur5hijupcSv2z6jm275JVXVYRjrQ5f9MiG0iO0BGOb5ISrHICEQpPL7Rm%2B2fyhjEhHR&nvMid=32289545725&catId=50000817
의류,드레스,베스트,"[159.30407363218396, 152.4575876370608, 145.3571766755724]",https://cr.shopping.naver.com/adcr.nhn?x=NoOp9RDJkOZKif1Z81HqzP%2F%2F%2Fw%3D%3DsWhNPYCyxONv%2F3MHHAJJS%2BdBoqm3o31unX9WPkcllTm9AVSeJMwVEQZ9NYLvG80R%2B2eeeGM3OTuXrJAMTBFbfpi00rbIa894zSkvdqPxzRzzbDDWfpEkMbpZMfqpAgpMUAWoa3Njp50x0Yc3bccFxi99%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajL4M5IKVr3BnktMuS%2F7qgbnC19I%2B2XRm0iIPogjjaGx4dUQedMu%2FUrZqrwqVgEvM1NzNaXEJNDqzR62lnx3aw6AKsJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8pUVYLFcjDLtQRCLkt9HMlx5lHK6oUH5TPf%2BUryYDig1XfqiCwBtPYYwEdSt6i2JABSa2TosDm9gozjpPwO4L6CeXK9zsWMeyaerziTniPRm55SMQfO4YXDA3m3V4SY7NvHw32m9N8OEJmamOMl%2FarxH3DQ%2BPC%2FK7oCj7chRiUyho9OcWuf1UFaClov1CtfK8o64ifB9DVeZ8ffla9GlFdno3cFkENg6r3QKAFDoaiTOYV1fMsaNts2APvyd9AJdN%2BgtF15PMkmjkNDmi88yMReHmX%2FEthyQvIP6Xv96k3KonPs90OWh30SiOjjmhqlzHDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=32609052006&catId=50000817
의류,드레스,베스트,"[231.34881811704585, 231.3028594442242, 231.263034790417]",https://cr.shopping.naver.com/adcr.nhn?x=ZFb5uyKtKbjCWKyK5QOuSP%2F%2F%2Fw%3D%3DsLXtCpYQ8QT6KiUgPMHfF99N9bsjW7VJTBNuKvUDaQBpAVSeJMwVEQZ9NYLvG80R%2Bw00A%2BJuOtnCCKsKhVbDY1y00rbIa894zSkvdqPxzRzzbDDWfpEkMbpZMfqpAgpMUAWoa3Njp50x0Yc3bccFxi99%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajLmgxhsguxIKEZaZ5UcZE7jy19I%2B2XRm0iIPogjjaGx4dUQedMu%2FUrZqrwqVgEvM1NzNaXEJNDqzR62lnx3aw6AKsJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8qrIuINJ5DOsFHFCUq1sd6pAsy%2FVQC%2F9dirqHoxFUK2tXfqiCwBtPYYwEdSt6i2JAPcL6UGswIz5QmAxfNC4%2FG4RZyQdVf2pQO%2BbP3KFIDEuw8593OR%2Br4qxUoJ1uSinamNlptyCKdFxZ%2Bbpwmdo%2Bi2YyLIYgNuVjfXbk3MN%2BGFlYophjEewHsXkWxn80E7d1LDvE%2FPAn41fZ8YgT%2BlB2HRpixHqOV9LheSo7Jo0IOGgDMJ7W168Fx6Xb2IXbXdxtACi9PDjuAd%2Bh2IKOaqgdQ46%2F74bs%2FzNmznhIO5N5zjVFTnkaqULU%2Fw1Sk3tqwkxl8W5voTBUedFaNxlYUoHtNoVsN%2FiAcjmtIwlTUFZwg6A%3D&nvMid=31691596614&catId=50000817
의류,드레스,베스트,"[193.45695140318747, 165.17124150862224, 119.48224879354288]",https://cr.shopping.naver.com/adcr.nhn?x=p6YjqrF1PujXd6lPxZpVd%2F%2F%2F%2Fw%3D%3DsHkYGF41VF4cfK52bGXUm%2BjNZl9yMit8cQqM4SxgkdjAvGxzS%2BFZMaRiAp4AZ2pgxK3LN4WzyNX5u%2BLuJDc7qpvhNdBIktAcPdnbSd6aeqv0tL%2BYYSp%2BBACYE870p%2BtxP9ZZI9RHFm%2FZZP95GMFCahcv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKVFC9u5Bv0LL8g1Yamm9N7DyTQpvj%2B9n20KCOa6yVum0jLZO4Wx3wF73m9BM2jIO9bkORMgMx07JHY7NFMatuwEPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpG5K4LbFI6Pe%2Fi9FeHYHkTzPlEDfNB6pgrHEXJkTxuHZ4rZSSVWEufjxpmTdOLFCRn2avpmnNDg4Rk4Ko0OX83wZUmNA4gxLTebXdgCfMUNDe%2FPtHdaU44P2wcKKBQ6MQUv6bT%2BKJe7XpCEZ63uU41E%2BX8dw9QAbBt%2FywOciuPKLPX9ckPJGYddScE78bfoKohIat6%2BU78Q4mN8L%2BT7OUbKuz55CkDkZ9C2vGiE5aVTXRY%2BSTOB%2B1rphxykcMN4bLXGfKYExq7uG4FGIUYcPNsahpWhl9Q1GMCJ5r8j7WP2oBVwZTY%2B4kX%2BpXUsbH6xFzB%2FCJVtjRZrSQoTus1H9DXHBE29SJ6jmMh%2FGeL84l9WxTXKVcQSKSlSF%2BUb5G6VM0Bq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=31237796126&catId=50000817
의류,드레스,베스트,"[191.10577917696796, 189.5779626714589, 188.05790420508382]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Forora5&channelNo=101524785&tr=slsl
의류,드레스,베스트,"[17.92256541769578, 64.00719424460111, 112.2558609263973]",https://cr.shopping.naver.com/adcr.nhn?x=LwEA7sBQqZ7Njq6u%2BFgyC%2F%2F%2F%2Fw%3D%3DsGbNSPhY3EnO%2BH%2FMR9uN6rA2O%2BHklbsEB7UorSaXqLyEvGxzS%2BFZMaRiAp4AZ2pgxpzRO39S0vZoYEYmhveReBfhNdBIktAcPdnbSd6aeqv0tL%2BYYSp%2BBACYE870p%2BtxP9ZZI9RHFm%2FZZP95GMFCahcv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkK%2BHDKpzmOyxOerocZ6rRTqzyTQpvj%2B9n20KCOa6yVum0jLZO4Wx3wF73m9BM2jIO9bkORMgMx07JHY7NFMatuwEPg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpIPLS%2BW6oIp%2FWTfWRbcqBvnjnLwOI%2B8qW9421MDPZOqB4rZSSVWEufjxpmTdOLFCROWOaDX%2F9NWWzXjjKhmURtW4Jfup8rDe4spUk8vsQQKEp6a3597d4fTOhHSgBiijiy7foROsfPcE8%2B%2BVlvRe56TGatl8zEpNhwdBcBl%2Ft9DvUzU9Y%2BLZnuzJB3yZw4tFsXGfKYExq7uG4FGIUYcPNsYiqYxGQpz%2B5Jy4a%2B1FiPJXkDTNxJ20blEcZoVuYYNAtFQwuyGCI%2Bg3dUVY%2FXoQXMXQpgVXrW8sDZwZJItONSrZiFRB1dqSumvqa71Cl2tXzQdAiJdwXirBRdnaxfvrBbw%3D%3D&nvMid=31673999434&catId=50000817
