상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,아우터,가디건,노멀,"블랙, 화이트, 그레이","[140.03040997588175, 133.59549438268982, 132.05084994999999]",https://a-bly.com/app/goods/4351707,51.0,./images/ably/Cardigan/Cardigan_0.jpg
의류,아우터,가디건,0,0,"[145.82804494382026, 132.0679910112384, 123.83802247191272]",https://a-bly.com/app/goods/4351645,0.0,./images/ably/Cardigan/Cardigan_1.jpg
의류,아우터,가디건,0,0,"[181.65745269336034, 173.2560292778366, 160.9205990488069]",https://a-bly.com/app/goods/4310840,0.0,./images/ably/Cardigan/Cardigan_2.jpg
의류,아우터,가디건,숏,"그레이, 아이보리, 블랙, 옐로우, 베이지","[140.38961404298453, 129.03083155170683, 122.22159708938074]",https://a-bly.com/app/goods/2497605,45.0,./images/ably/Cardigan/Cardigan_3.jpg
의류,아우터,가디건,숏,"화이트, 블랙","[214.86840717720708, 210.68857750011966, 202.90446897917911]",https://a-bly.com/app/goods/2651804,57.0,./images/ably/Cardigan/Cardigan_4.jpg
의류,아우터,가디건,0,0,"[142.22226050999421, 125.42814151159762, 102.79540546749476]",https://a-bly.com/app/goods/4293476,0.0,./images/ably/Cardigan/Cardigan_5.jpg
의류,아우터,가디건,0,0,[],https://a-bly.com/app/goods/3979629,0.0,./images/ably/Cardigan/Cardigan_6.jpg
의류,아우터,가디건,숏,"블랙, 화이트, 카키, 브라운","[33.80239133948429, 37.5689125868317, 42.42779528196124]",https://a-bly.com/app/goods/4308081,15.0,./images/ably/Cardigan/Cardigan_7.jpg
의류,아우터,가디건,0,0,[],https://a-bly.com/app/goods/4321932,0.0,./images/ably/Cardigan/Cardigan_8.jpg
의류,아우터,가디건,0,0,"[26.93671776829015, 29.71593365166777, 23.541040462443476]",https://a-bly.com/app/goods/3942691,0.0,./images/ably/Cardigan/Cardigan_9.jpg
의류,아우터,가디건,0,0,"[211.99551843225564, 210.7687254035784, 202.84263111396635]",https://a-bly.com/app/goods/4230592,0.0,./images/ably/Cardigan/Cardigan_10.jpg
의류,아우터,가디건,0,0,"[161.3028093172092, 151.17138988892154, 151.02917012831094]",https://a-bly.com/app/goods/4220440,0.0,./images/ably/Cardigan/Cardigan_11.jpg
의류,아우터,가디건,0,0,"[203.56877166997577, 198.73671188608617, 186.4553303935107]",https://a-bly.com/app/goods/4087465,0.0,./images/ably/Cardigan/Cardigan_12.jpg
