상품 분류,카테고리,아이템,세부 색상,제품 링크
의류,드레스,원피스,"[202.57633812780097, 177.89801933506436, 155.20089601508838]",https://adcr.naver.com/adcr?x=psUE4a64ugNtjaOsoyvQov///w==kX+wjM5eNJOptz7L+LKirvmMvn8YRGHA9b42+shBKZQ3banc7S7ZLuugK5FOQB5bveTlESHXZoFtpaK016Gt5g2OEvKsxWZr0GgBubhDB9wJw/GprGXyixa1+0GmnCZGNaVaK1iy1tEyyixyKcIQzJl+G/1GMTpneZSmBSB5UcSSn82Y+AnDFnTTkEQlBq1k5SZ88HJqutqv9AypqumJ1LpIl10KOrLEhtwnjcHpWVhvZbW+0AyNyJoyJvmd8UjwSZCOK1uBkQA4/I8wHfV3UoGvPPIYRsv/3wNmsxf5fSiB/emeHTe/y69Tlt9gqM42nST6Z4kYmHmgD+mArKlcpme73/3hBIBonFYxrvHP0L1UZqM9kwX3pcZ5U8X+4dvYUwedjye625fM1CiC8F7Ti6i0HuzRUy9NRwT1f/nAnbB31UfIR+awCgk3ed7rVVS7BPDKg028Bf5/QUdqHLQFxU8/fp2OpZCTZWylKiNW8AXwzdjjS00dEFbd4QNbe7G27sjSe1NPMOATszr4rxBScTcxka1Xm5e8w16E0cP0QRF6oe/gOh5vPlXU+csJtns1OTG8Qvx0mWQxUTxfNSLgaixgjNPuUF0/z7mhBls+jYx4fERYvnZqs53hnJsd0n6K26zUI79tkFRqbX388VR3brBFZN0DPEAvgmgcvhhpv1op4hBw1hvSjCQSRiC2lwJSVxwmIHVpqHj/Gwi6dstKf1ri2QuZMScmQoSK06AgHaa6x76VcMmMwwiY6Zx5r4s9bSrQDS1325+uujD9lTeQ5B2kLD7+MAfxIdMInZfGIWsOuCc26ChYTrU7D2jR/fCvOg14FYU0RExVmnlgequudUZbZ6Qt+S4EXz3DKRFR8uFc=
의류,드레스,원피스,"[181.91876180787594, 145.00406917599094, 122.8780700479598]",https://adcr.naver.com/adcr?x=bXxxBicv3boLF/uLLViay////w==kkc8+C2lOCrZLVw8AiKWQVJCPgp1YrV6RzhwenUkOp1W4JhlCnCl3EKzJIF7sgZcFJ1IsvsjbFUxyOxPH8HcXXcm/age7vb+Z8f2ChEm3gQR1/CuexAjEJS2oESlFY6nzikI7obIR2s2o9eTc0J2iN+5rlqCmgQ0lvq3W0We5xat/P6y278TWDRn9aFCqCEP9iZwlWk8OKEQW5NbbY2ctE2YQy3LA/6V5d508UlujJa9UYqg06Zhig7AbmhMky2yS2S3DRLOIWqTopesJxhsT/RKg8r7yeBkPdE4MEbUDikya1KMfLvZ03X9M4GyLXq57V5dp1N3PTyINMsFHNnlS8A4lalg/KslGnjYnc1p7Rz3QH15Qj4MHK3n6JAW4oaGS/Dujyk7R3fvR6C/TvBLxaKLoNFR2rRjAhdAtZoep2D+xH2jU+NjpRq6moNJVdR4CJ7x5/wxYXt6U/L/fzOCCjuB57yoi7oV6XCiR+X29cG8AYkbj4TgnUyINiNQqRGz3fZPfY4T1V6eZIMT4WC5wWSmRqS+UqikbgKVHBs0kLrNmJn90vTcVIZ4hZoalU0BG4wRGf4yHlbegqQ1ngCMz9Gk+1a+9H6UrSQQyrOfrFO1ti9unWfObTJrUe64JvejQXilLsSVRWwo2d4Mq9ffB8vkWqxohuWuAdPHrAPyM1QBwg89U3a1Ay56Z+WS6WY9cUeH8+HeBwnv8aeSBZrt2WjdHS+MbSusGf1byi3yRGl5WZDWUnhW2fw0m2L6esLkSkl+6sYlKQpN61CdVF1r0OuBJt5sWKlI6y1ljWi0SJK5u0dGPBJgCQpP+vsDmb8cBaoe9HVXvCUGXUtsaZmj193MquylG8I8Qol1+i5MTOGVMR8aIuUW3ybC4wDFbM/KDezCZhq2vQHTe/BdYNs0d63JFZVc2MLZaqc1eyHmpXSe0h4jvV0pX1b+QUcdo5k4O5WuAMeKIYUOEOxAwLfr2GAeSbZR++0/r4osJVmfBaJpNuOyt1a0hT6xULsfZcLK6vuQUFWD8ypvmWRpKsyC9mmPG+qP9cCm5PX1ul3h5hmmj8Ajlu4EeIS/eJle19O7qGnVnpzPVoB2HxPuB5kvFtXFDQ0OcSF/N+6vnGgVhDdI=
의류,드레스,원피스,[],https://adcr.naver.com/adcr?x=efmhHhOVBxddVY7xxatiUP///w==k51lILUlM1/cIiDnJvXxh8RwH7vrnOc2nJkW2vHw5tJnSMmCEXIo28EPBhpE+v2m/JsS2vEMnpzXEPFXBqOo91U1s9JiC4fQr3FcMqC+Duqu+lTbC1Ow6l4auuk+h0H2pCcxerf6aNIdEuAaA8x1lRnvzb2+7QHC5deECmch6z3gFQlqKirUXRA/U90AJsGFlfKu/Mrwvl+01MjeMN0JDEfuKeEOZjMePN/QI2u5TrVHelG05nuQYoBII8QEu5iplRZN4Gn66DABykQBPBlqdH9aBtSmngtOzyWaX4mgeo/4tFZl3EK4GiBRwuYuVJRWgaHGbEpgund+5d3zwIYDC0YPLs1ylQ1EOXuORdkBYyGn/LosFTpVfpgHAexmIjHgSOk1+BDtaGKiNmhmtXj1nq9lVF68n1ytiIZ9t9YahrO5lStT5dEJEHP+bOfSf0QZm/Dyq851xlwWZLsDsRWnKaPXBy6Ky8kii2IpHJRvxRnPgCewYHoQe7wOYRMAHftk3k/Ip6qZqnG/ou0H+vTZuyVPt2wSbBc74xnr/jxfqIUPzQi0ZV7+wEeEx5jt3/Wd67EjKKzV3tWIXL8GZT143oFOOZky/C+qCf7VowuydNWOXeOOw161gX6+hxUssdC92gKMXzxI3ZPzr9anFFpxMI4FcfSEVGIvEp2t4BTrNbLysHwA4xu2TQgB1v21iqC2hNAemAhwA94n6WpKKy1lgcgfX68WdSdakit2GqI/h2jAIzeQ+BeXaLMOMHrj6h0JRToKMUXyaSMoulQre7RxSci7MPD4W+PqGRBJyPrc06oBvJNytoWD3zjE+jKJh0zadClJ+eTOL7myShJbAJ1DI7mjWDQyFVP9ve3VILjEyOSSYVFiC2KSnYnnAfgiOfR2tdKBQzt203lY0Rrv4GUMVKg==
의류,드레스,원피스,"[40.32729979992561, 39.426271462469856, 50.804406495726425]",https://cr.shopping.naver.com/adcr.nhn?x=9lLhay6Web1A4IAA6MbjwP%2F%2F%2Fw%3D%3Ds9IO%2FBCTwPF0OsDm5HDGrRMHf1EqMNNlIZOLmnLnmlLgryY5BBn%2FpJb23TRFZThj6%2BoP0NpOD3hrelFyyjjmVJpS7kG2spvrFYvWisXKvo93RzmKI1xN8ALCNS65r32v2uowb6n5%2FbifBjnhh4plgr9of6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRno6KbEgrMRkvcekzaQhUrAwuQMTvX4WpUuE0zdR55iV9fx381MSz4wbPaxhG%2FX1odztVG7bVc5Lj7BX1Nb0p0HmbMyZDZZeoNzX%2FKwRy6VA6Vd7uw%2FwXtvbeZOpdIijuwc%2B%2FjkR2vl%2B%2B%2B%2F%2BVPNlrhT1v1obMLPpqimckgsLcW%2F%2Bxlr4BHD7urSIPXX1Hy9bXZCKbS5IZXjkbKBm9wVCukK4mvmBKg4J6f%2FwRWghNsYyrRA9kuB%2Fi5X8dkSTKK18LSrGiurM74EaOV%2BVwtR51skIBLUKTsnso8xneAIQOlLO8%2BuOrB6VI6UBd1%2BiT2F2W7VenkvpMPJVS2DYkqdDSo2RADjjEGUpHR5JZB6Wz03JZTIB4Karv%2B1xx3ibf%2Bxc7mP1fraJdcpQr32zmr%2BLghU%2FAJcUmJF2ix%2Feizcr9afWcntrQHmuBHPvlMmAT25vHsNkO0ZALk7MZjzZ6H1ktmAN%2BQsjK6V0FLd%2Fybx7qcubNSE3OzZUT76KyqzckASmm&nvMid=31670810534&catId=50000807
의류,드레스,원피스,"[206.36315699533722, 169.50513878378388, 151.91179845225625]",https://cr.shopping.naver.com/adcr.nhn?x=pLRBy1ulA1K%2FJCmt87%2Ftkv%2F%2F%2Fw%3D%3Ds2t1giAyC6N6nL0T2xpg5jeTD2hIBeQqcKlCz9jfVCkwryY5BBn%2FpJb23TRFZThj6onmCBXl7t%2BVyNyVyssWua5nbhCXHKlwK0ZZnBiuZovLRzmKI1xN8ALCNS65r32v2uowb6n5%2FbifBjnhh4plgr9of6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRlbXyNf%2F8vGhbi6WsztjC%2Bajv8k%2FkVhuEDgat4U6ZuGZ9fx381MSz4wbPaxhG%2FX1odztVG7bVc5Lj7BX1Nb0p0HmbMyZDZZeoNzX%2FKwRy6VA6Vd7uw%2FwXtvbeZOpdIijuwc%2B%2FjkR2vl%2B%2B%2B%2F%2BVPNlrhYuOxDDKUbd5bZHIUWzekzMFljpVWyy%2F5dJNLihbNPheZCKbS5IZXjkbKBm9wVCukL61IaSCDscBVLxc8zxAITTkX2cO6eelE8YY0FwQBsHzSrGiurM74EaOV%2BVwtR51slLbUok%2FSew8CyY109umI9qopiH%2BwicbNii3u%2BVcrRITaD9SSrVaUveF6fdAyUqWXYbhc9pK0EuCN%2F63O0YwSx4fUuOAFfZFXdpD8nHAfIPjDs6yu15CLDPoFnMOPUOQlA1q4RxHKdKf%2Fyis4rudz3RrDTjJlAe4JC6gNKLGcKvDpivo6%2Fo36MI%2BRnpFnMCWZVdznR4EhPC6BI08fc6TT2xWkbDrUFJ2hBG8QaB8WVzn&nvMid=31866343016&catId=50000807
의류,드레스,원피스,"[125.0566127136958, 123.70554565786021, 130.4885144611645]",https://cr.shopping.naver.com/adcr.nhn?x=tzyCvirE%2BDPFrRlS8YOzO%2F%2F%2F%2Fw%3D%3DsvmS3yRiJauij7r7m2Pn7qhWgVUvyJvifgzEUyrOCes3yF74qBcHnCre5Owt1U4JdcH4qsztF83jkjK7QtnbYaDMus8zCqGDQDNveF3529FGgi5xMaI1Hd8lyiRgbt8PmBfIEWCqz61%2FeWbaLn5CsN4ZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQT9ddZAFTtyR71suZkw4kksO2dbR13ZgMg8p6XZKXDfZTT%2FSgYbkcf1KRCtod9mmX4PHRTuIH6IcjXD6jOVG6HmB1x6TWJDQlHxIluHnFAqqrilkDeG%2B1rLU11UaeFf3disext5K2yYkF868rsMDqic3xpYJtDZ7ww2TilLgcAJnuDt0p0zf82IGEVfpIseLkV36ogsAbT2GMBHUreotiQG0cv5fWV9XBm1cKqfzL4sLQDIeGOQlEpaCtwem2J1MQueUjEHzuGFwwN5t1eEmOzZaNgtUtm2HPAglVLfSqUDOO2ZXQsSuPt0gocae7R8nThNQoD8Zsf1u5hYcXeM6bF6OuInwfQ1XmfH35WvRpRXZXErnbZc9mFJes0fHCO1p8fxtQeF0ivdbTgLOEtvdBoPoLRdeTzJJo5DQ5ovPMjEXbusQYqSjdKLwe8MbwZtfHKAOMtAdKAfCwGoud1utWq4VsN%2FiAcjmtIwlTUFZwg6A%3D&nvMid=32436329688&catId=50000807
의류,드레스,원피스,"[190.98641887062135, 190.01697130603512, 189.0392729500662]",https://cr.shopping.naver.com/adcr.nhn?x=UnZYOLGvcBWUjX7iZQGWj%2F%2F%2F%2Fw%3D%3DssDeRC0B%2Bo9WDNuhc%2B%2Bxo7QhDtA1zd16bjzE%2FqIsbndvyF74qBcHnCre5Owt1U4JdFwyWKY2guFkstxUtVuVPOFBZ%2BxR%2Bhll0lFi%2FyHhq7ROgi5xMaI1Hd8lyiRgbt8PmBfIEWCqz61%2FeWbaLn5CsN4ZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQyR%2BRqK8V3Y0nHgYbzsYwpcO2dbR13ZgMg8p6XZKXDfZTT%2FSgYbkcf1KRCtod9mmX4PHRTuIH6IcjXD6jOVG6HmB1x6TWJDQlHxIluHnFAqqrilkDeG%2B1rLU11UaeFf3disext5K2yYkF868rsMDqiSEkLAxIgi4m7ZklYVKxx5nE56LUeVUUREiszpkVOFq9V36ogsAbT2GMBHUreotiQKvxWTw1SqMOfE6qNNO5rdVzPiUwQbIdl5GLqE%2BY50ICsPOfdzkfq%2BKsVKCdbkop2kTZSfyBLlRDQFxszRdmXtsmXmJJerRhP4cpTDH3TfuvI%2BQkYHo%2B0fThgcFLOA1cBPI0fIFRfBZUPaSLRPGc3PL2txhkr4eLb%2FIvlXg1jy5aBTZur04SzEOsrAzbz4Srjb%2BGBoyQkiFtSLwcV09cBveX9HtOM0ACvHD%2BO6spjEmXuHcPaKGjugNjjEeWokynGQ4SwcLvxUEucVmH%2BcOht40%3D&nvMid=32331388371&catId=50000807
의류,드레스,원피스,"[130.50900289272937, 152.52547375877947, 183.9241395595941]",https://cr.shopping.naver.com/adcr.nhn?x=c1wBGGSRYGYSe5HojOU%2FAv%2F%2F%2Fw%3D%3Ds7r%2F2IxvZYbvItRwqtsFwGudMrPwXhDfro9LhOZgsAmNoRmGgMq2kYyZYUxqMsIue8yIcMeIvArCiPDfojs%2F8LcssmTYUqFKvTr8fpIunQ4uUWPkfiOlNEbor3SCLLrMH4XtwiCDVPux7rCRnWf3YlUbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27A9vHqMTNLRGhZg9qxSJGCBOlRcB0optnBmQWLNGfHv1doXzJL333xZObwP4hZQ3a2fOy4WQ77wKPDFlLLln8TooFchhczEuAejDoBJOhtJEAvACIKJxjG4214KGLTWdwa%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7v19VDMfu1clr1M%2FyPPPu6gULwi9L40%2BwQ8nsPqaU2L%2Fie9EXIzWwzYRNDcjWDAeRVckxkkUy4MEOIqbxIejKgKS13L%2FQM%2BCZuq6rpKOfI%2Bg%2BJvUUc8MFdBUx1mbNAmNW7ohWrAwhR8OVheuhTB%2FdRSTkpsSdHW1VyjZYnsJudpA9Rt0LYmWxQ2vXGV06abT%2BMw80a%2Bo7rHjQuifR%2FPG%2FmZ71tqtWQablf%2F77SlIExh5%2BJzWs%2FjX7BjJ3AnRqoua8eg5Csr%2FSNaKxBVofzpbHcsb1NmOoRBMBsXNQGXzjfbC%2BFUQB%2FrDAzm2q1KHRsHkfE%3D&nvMid=32168460047&catId=50000807
의류,드레스,원피스,"[27.16208498963789, 26.205755556796078, 29.47740887968618]",https://cr.shopping.naver.com/adcr.nhn?x=y5jeintFiDqLt2gsyXJaov%2F%2F%2Fw%3D%3DsKIOolA3AM0%2FQu0whkrvUE6R2cHJWUOdXUDgBxDAW2W3yF74qBcHnCre5Owt1U4JdZHYt7GBjfyoidLgBfLk4wh7m6AsAVRLclnoFhCCFEDKgi5xMaI1Hd8lyiRgbt8PmBfIEWCqz61%2FeWbaLn5CsN4ZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQZXrGUixXaxOjYF8ZEKCOpMO2dbR13ZgMg8p6XZKXDfZTT%2FSgYbkcf1KRCtod9mmX4PHRTuIH6IcjXD6jOVG6HmB1x6TWJDQlHxIluHnFAqqrilkDeG%2B1rLU11UaeFf3disext5K2yYkF868rsMDqid97Cab5ywb4IKUI47XnOlU%2B95vtVDrf9%2Fk2TPFcaNgsV36ogsAbT2GMBHUreotiQLKH9e5xKDxPkrnJwtPWQsSXdiBpVLK40a9xoYJvZ%2B90sPOfdzkfq%2BKsVKCdbkop2jM2DHFJLZGFnEsIiSmANDrNq1OGFHw6%2B8a64ccU4xJk0NC4llgZnBy7VOMzPMhDqRr9Gq3Vm4xcAkkV95hmI6KQEJouXLWZVgJoF9c3nbOUABZaqDT0D2AnrrGnFzdGzDCnSmoXAWYFSpEJoZ%2BJ4ThPwCXFJiRdosf3os3K%2FWn1oOaPw8DGreU834qq9fiJG3GJgaatKj%2FjBSsFn5%2FOW3MDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=27125446334&catId=50000807
의류,드레스,원피스,"[48.70642180696129, 47.783635567645064, 53.2209267494767]",https://cr.shopping.naver.com/adcr.nhn?x=Rnh8DgndIswRVIDz5MYet%2F%2F%2F%2Fw%3D%3DswypzNxWwcL0gJmymfignHGTkyY5QMTchfG2kWf0BOLDyF74qBcHnCre5Owt1U4JdY2jdtL%2FxUhpXAG0k0Kc8TVBZ%2BxR%2Bhll0lFi%2FyHhq7ROgi5xMaI1Hd8lyiRgbt8PmBfIEWCqz61%2FeWbaLn5CsN4ZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQQGuN7ZQ%2FSZ45ELC4PrTnEMO2dbR13ZgMg8p6XZKXDfZTT%2FSgYbkcf1KRCtod9mmX4PHRTuIH6IcjXD6jOVG6HmB1x6TWJDQlHxIluHnFAqqrilkDeG%2B1rLU11UaeFf3disext5K2yYkF868rsMDqifHd3zbxl1yG%2FH3cE25DnyY9owujBuT4zzJpaCmvtDDvV36ogsAbT2GMBHUreotiQMiONO5EG7q8O4b%2Fi1hyiQVUJmQlnRvArRLpPo1yvAcQueUjEHzuGFwwN5t1eEmOzUvHd31oSpaEThAHUdqBbv77mP5nvTb4wW6FWjvjYbnfv71iyWhfvLVnZ%2FzIBXuJ26br1jGaLkgOBUuzT%2B0ttqx3u27eP693q32Pl7a9i9VOTohQhL%2BaTwmmACw388ib262powcAmSPQMAleJgk1kJkuw0stH4XKTSmehJdUIdooEaKyrSAAcMpszc%2FgZhuy31aFndIwdNwuWmKtx1HNSCrUkiyUGZ3FpPHvE7X48%2Bhb&nvMid=32104605807&catId=50000807
