상품 분류,카테고리,아이템,세부 색상,제품 링크
의류,드레스,원피스,"[110.52419837095256, 69.2649345293195, 65.4874935560422]",https://adcr.naver.com/adcr?x=DmNkwJPruMQX6f7pr8FXKP///w==kjNYg6FD8RluM+BMPDFVGBH+phJy7hkoyyNWS22T8S0KNWem0uiYJJE3thkkiqIDz9+MU8FKXSPorbFCt2DsK1q3pCyPK8FnvpSOoic6rDT+EuGBATjs9h1pP5u3FmUm4UlBHWK3POhYcVsL6vyv0yxCInd1fdY7FmJXoZSoru9fD5tvVN6Mon87/tvUf+G4Q7awoZDKhY6LXs/bh7lm1tX5wlGPZietRB7c6pkSD/XmVBjA6QkOUS+MdNh5hkpmtr6EKRE6nmZGCMrYYCbnbjBJOcuES23pwp/1oi/psJMil7zAuTfjOGXguil2sFB2HEuXnEOF5ueWm+VbNKEqklzXBl9LpGhXSpK6/NAfu6p5O/ltfSDX7V4MmbAfIK2xEcxWj/cMRINK+PuLAEGdW32C+bdfg8Q7/3+26RcvqeCJqBkR5+hNwcusnG3P/hPkrrID2uMfsJlJK3358WByKnVdZj+qM2ocUZo4QC6hjDwfT3IAVenAk8ne7wvBtQraHNp1070iH0+aGIe/AplepW0TRRfwqCs57g0Rv6Uh7njBDHv7SwtOZBYUFx+pQGFsvPqodpyd41FROmYMVsOH/Y3IlQB2zz9VLjOe9bFE6+mQQJqOxTD6JW9pIP6QBqibmB001FbIAE2H1fPa51n0LFYmHcjttYaWPzKmsVz8g5Llc7OAdGtl8g117AInLwaFyu/RyQB2o0vR+Oz/fddS00G/ZnxRf7iXDxgPOb0p+yiPgW+zky1MMzpApnSJ4sRQEwR9m9/nZaw4njZmzD/GQ1aPbs1o7Re9NNJdrkwt3qLCjTvM3HPb1Z7kC91o/Ouv6DmmN9g44O0yxrPl4A8SByC2Jog5KcFZVbASjqwvYAVhyjytYmb22KgePT58rJ+hT
의류,드레스,원피스,"[206.6605033184829, 191.81951770177437, 180.87699254559564]",https://adcr.naver.com/adcr?x=7LyGzSnGJQWrrzxfD9+Vsv///w==kbKbbcLI3VB9h+1zvwrFwXllpibel/alQQ10q3lV34WIYMYRcBHHEc2I0Z6n6jCFBV5o0+Hx/Z0PPL7fnw7pBU+MAeU/4m4r19dVe65+psnO4eiG2p75qbf4+R8dNPC6W5Cd8VCHwt+9DfjEKFx+ts0iefyUVuD97YKsWa152vLGfvIyKY+MZ2a8FiYxfCiG2187l8VepSJMjT/Li5OCqfb9TM6ns5c7YtWa/3ua4NpbSDNMihmgu9zQC3FsvD9iV9ssjqT4ngpdNhir3CAbN8Krb1nztyJq79SuQu32qZNWBkAfjU+f7D79BG1udU+J/5Lyw85rEMeWH76kxUcm/pzsi+kGCMpu+aaHnD+iXGPFEvDX22Lc2UC6ZkKzvEs5XtQhqsPfk/cqZu9Rsu5SttRFn+dCkwRes3w2bA/+8gzThw40IBaivG331khCJTaWuV8cUoYOE/l8J2MbGKfW+YSG7agIQR7vb87+eo8hVPfPift60CeeagCTyq2aP5hFG0z3QosmyZ7Zwu90ciNtbOzAZgW7/BM9O5Vnz4LVOSQAm3hx1s6KhsSqeDdHQzmEVoxw3yiEyp3USoNrK0Gk4q3Zc4dwMpURgnVaIUQQ19gaSXy9Tes8EWOjVqgUQPBMa6dVlyrav2U9xyrfz4fIzgYMYLeK+EuanOyFpt8KdANzqgVdt0E+Zh8v9uJxyQiT1DV5yhn/6fNRnG3L9YOM46eeAHlmj9cJ2K0JtZhNtZDluU09hGL9dQBJ8yn4JdxjQkyJm9H2wUtggTFtItwQE6LwK4KkbfJ1PgCpGKn3cEGtChz6ULqYqsG03ZR2qwJCSYFB8XaSq7sxaPzcL3cuCjVzjW2sdwfLMbzRcQapF2ox+J0L3QcUAQP2dvJQdpp6pPykMzfzPeMIDSJDrQOm896LzoxAByWOSOGH+0bev2bo=
의류,드레스,원피스,[],https://adcr.naver.com/adcr?x=PGG2rFoOJuuuyawsw83qFv///w==khY0q8oRxR1H3IiS0fidkDiEzwvo1j31EPjWOEi/tuyIYn35GOeWCE/vXkuOYtzccMknwABhAhq6iItx4vMLV8rHUcLUSHU3LscmakXvhWnNaB5typauNjn0Jar/r6M8vIaqATpIUtE/HIpeVL91DRsiJxC6eQIhDK/CygtGSTNxf8CGVBc9mmUevGh3KRRHgfw2lJEnqQ2667Cm5msvoSnJmKW6WcUoCqMLjMkbiVRcRKGVzT6bsNYnPMFzpYBxrDoPlLe+HdSAPeZhv1d8aUSqWrJSxDKQM+HgCc48jaIO1xsvsBgeJNZg4BprAUhuOEgiMxM0c8XUm/yS9Lj/Z8J4gEFWGuBwm2JTKc/QdbPp4FzDUhLKq8vwLg5A/lMXIroUYrLR6U5lNBcUSqiqFIf+o32O7IrA+kBJ2oD1vXbBthUrhI5HUIq36HCediapYOMCTda4AkShxcUbAlN4GTA+6pnOliU4dOM8O2J4iDf4paPjUGAqAFeQTfCX0cnysGY0mhUSW2pIfMNg+LMJprFDyWgeBOn0m7z0LfdWdz7DUzrB9FLjT7zlqNJoHR39umUjbS7VRiMJvXQ2gJwcW7KFC3Tg3brTR9+PDiFsQE9jsSkIHAg6VbVQqFRcgi5TknyfkoWmWinr61CfM5LB+95/+VHudJ8I+XjD5sXx0pFiPnj6qs1zNbK+LVuCL5r5mPJbRAz1h9bpac1A63zy9ve9IOctLLRU9uY3mTyX5UUHjClD7dDLXI7nwO0o8AoEkXZ0uQHRx1kHyZuGh2OFm7brf/qXkJuD3mXc95M6xjL0pM0kb5oWOF49B4x2wiWUuRuKP62VziqFfukdjYgBjogrBgCArN85Zt6Bh33ZrUqjVVoLTCK4ZrEmeCt1eFiBEyToJ1G8Z1xMfltQoGVAOfxHEiBIVCuFDjKNoY1rsVCZFjqpL8kk9+PLjibzvYYieZgz30UvcRiEYk8Qmx+qsvA8j0WPLP9PaURCRhjxCUtw=
의류,드레스,원피스,"[27.742369055560346, 27.439285897501975, 30.981890935214977]",https://cr.shopping.naver.com/adcr.nhn?x=ovM54%2BpDRMD6VC5YqvVDk%2F%2F%2F%2Fw%3D%3DsylhyXdrUNYdZuLdf8RggGl4xurw%2Ft8%2B00CmMRyDv0PjQI56o9rR69kJwKuXQsI%2BJ59DpAT2v8y0zzd0CBSkDGfqiiGqo3LMTlO9Ky5srAzAzUSZSMN6kBK02UovDZLwTle64Ez1CtJC68tyaS2T1L9of6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRBJsm6vuylA1IHNZDVCqgvlZlgpbreWUWLZ7u2Vjt9PC8mHzuR%2F0nVC1U0Nw%2Bmp8WgMM5oNVoKYXcJZh%2BYCaWk39ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7sSsoI8g8M2ZN%2Fpe6A5zosz1EL7PBh6vo%2Bzr1Db8r4ssUE7pSLgJhLPfwFSjey72UjEn1EqlWcS7Nytb2y1sYJdBHS7iYdd4BTrgASNQmm8sIxe8QTlv%2Bjh6DOc4eC6oGElSToosSkifmKk9RaIA%2FNGs3kK5plCoUs7bUdWkuVtKSNQBZp0Gu9%2FM1QCtLlhVTydNEe6yB9UwrRromlovhXDRwec9ILu3e7ovTSxe3WpQBGk4XMJtozo5T3u6g%2BJ%2BOtH%2FNivYPhu6bw4fpYYqbrNtqu48n%2B4ydbO8lEZ%2BZ%2BN%2Fc2OqH9l6YII5ugOGfB4CYY%3D&nvMid=30233825937&catId=50000807
의류,드레스,원피스,"[213.2294113542814, 198.42126194851323, 178.54420075818567]",https://cr.shopping.naver.com/adcr.nhn?x=2rQWYnHY7Dy4r759nCo6tf%2F%2F%2Fw%3D%3Dsmh%2BPOFqhp6m6IRWxIQoF5DLLmiDk1MKPrMvVBDrKs%2BYj%2B2rN1zbD7856AvZb%2BCDRXfx407eiLqx%2FB1Q5VmBDQct6thy7YysxE22RukAILKg%2FQU6pAyTFcokGNFAf%2BY0MRMyvP6OZvFXsJa5UnXzvKYZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQMMXnMmQvuea6ANI0eZYWRnCJpkpAIxRhzWobWS85OqoJTu%2FStQSdHMexF%2Bun3UUUjzEy4XQ9wLqY3gViW1gezoz3SyJgsy5UmyMJ0x7Hj4y2j%2FCld3HC%2FEaJx1P5WTfcwc%2B%2FjkR2vl%2B%2B%2B%2F%2BVPNlrhSe%2BwWnuWri%2BrdilaYJI6sAHpOp9NM9tiJsgPC8o4rHB9UEMwi63jafLIzwwY0rYsf8Ee%2BKs82kNGpCaRqiux2bV%2FwXfyZoZHzlJwL%2FaRZQZRYgXT8U0rr2Dm%2BuxQGAQBkZRAvnkVyaTKP8gdtZA0SiM9VwUvvw1RFlyqif9Ug2fxwUUuEKwPuiHjRReB138IhcgSVm9Y1YFDNuygaBxxQ8AuAxrwpUSnCK6Boq6FZ%2FgwTpzzR3mpGM0yUaLGDebItRS%2B58kjC09Ebj9SGAxNzCm5aY9SfiiYO2Fx34mLkQazDsGBrcDtjjbdYvtbFN%2BTLPyZrdKJEv%2FJ%2FBC%2BnMQ3fQGruH08DlKshetxY8KUEZb&nvMid=19367989622&catId=50000807
의류,드레스,원피스,"[109.74171789264955, 68.44865712282794, 64.84937497422396]",https://cr.shopping.naver.com/adcr.nhn?x=Mf8PPB2rSyd%2Fa4B1XuB1fP%2F%2F%2Fw%3D%3Dsc1Dge5ivL5Mk5iKCaEDGeey1shN1QD6GCPfv0DbcbSbQI56o9rR69kJwKuXQsI%2BJdflSRxUadQ2OWTbILZrHWf43vLiiWigNGoeybUM3%2BtYzUSZSMN6kBK02UovDZLwTle64Ez1CtJC68tyaS2T1L9of6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZR8Up3iLOH1AgUF48i6an0GbDgbpH3KDca9yBGbcB7Pb28mHzuR%2F0nVC1U0Nw%2Bmp8WgMM5oNVoKYXcJZh%2BYCaWk39ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7u2DLjoPzcB9HzS2AB5jpkI1EL7PBh6vo%2Bzr1Db8r4ssYwUWP5K0o38ot%2Bhh5EitTZNTzS3%2FAJehwzcmlfzr%2BnIBHS7iYdd4BTrgASNQmm8sJiSeaYxuFLqKs%2F%2FLUHQetSYZjPrMFioVT30Kt8xLHNlltm76C98T85n32fLc1jGlr8q%2BGjb81mYw5KS5M9MSKJCbyo9EPk9DMRZ%2FARtT%2B%2B4nSCRYKKnDo35cuRNYiv2chGk4XMJtozo5T3u6g%2BJ%2BOuG08jqzpIsc1umPpWpXiGCkcgmQC7jMbCS8cqaFEHEGc2OqH9l6YII5ugOGfB4CYY%3D&nvMid=31692026793&catId=50000807
의류,드레스,원피스,"[135.2644789264007, 128.99922415600898, 116.34290207590638]",https://cr.shopping.naver.com/adcr.nhn?x=5zgcrjYTRF%2FXJIi5jBRBpv%2F%2F%2Fw%3D%3DsZKMnJknmlYzWwqbkvK1QlUt9uJdZl96%2BXlVT8nTjufv%2FQea8%2BZFJr5voSCWvRx4eodzR2%2Bm1Z70%2FJQFRSCWnaIbvDg18W9cDQiTk4DLe2kN%2BlR9P6vWqwzswF9bVcS8%2FXxgDLSmdGzytI%2BkN7ebSdEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27IbAgwbqcSG6cBXpYUOhuCgs7yib%2F2%2Bqi1VgG8LC%2FH3EI8zKLL5cvACw5fk%2FyTJW4KMwhVwqUiDXjcIFvoDJlDculvJVW9O9Vk6uOo61FuQW49of0zkhL0rjmC8Tv6l78P2tfKoQ0NQPyiad34AQ6K9%2FdVvwtcOUlbNrGLU3RUnowrt9urlErOqkvzuIYCbKtFY0AqSJOZMeLCVtoa0X5yodSJ3PEcZvM9vR%2BeQyoDKs2JawCQapf6msdNnJ83xjsmc2cg3xqNUkKGEb1xg81nf4DWrnjToQ04nrSflGfW7DC35lQJzWlL%2FLl4F7GYVdChRZ%2BCGCoN%2B2Va57OkzQ0ivxtfIPcVHwkt9zm2cO27dkgdtTBQ%2B8WbbfFYdvaIqGa1bzBSJEFT12IgzzSIl49c2OKVQ9v7JasQlQyDPJMywmtqaMHAJkj0DAJXiYJNZCZKTcVJQZ2tNylP8ceKQXdR88R7WvxiYXs8ayEb5kp33VWhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=32528280424&catId=50000807
의류,드레스,원피스,"[211.71888484034736, 108.48108639371723, 106.11261865950188]",https://cr.shopping.naver.com/adcr.nhn?x=557%2BBvO%2BR3AOUxv3oVVnM%2F%2F%2F%2Fw%3D%3DsAmTLF%2B%2FE4T%2FWLdletFe6bzmn5nVw8eAeeB%2FBpslBYrnBmXRO76iqBzJItutMAQ0efEChOHZnFEOnX7ex6u3P8w%2B0LNM0hmv8du6LKyOmALOlAUYNs82JN%2B5JqrZG%2B5cgoYhiYmB83i2czBqNQ5ORd8v%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKfWM1mwTdk2o0fnffM%2F0qhEYVKzD0jC3jd5qT3ACHTKkBdJGSsFLJ3vWeJuJDAMJOOd96wryGGUACstT8W1fU2MzWlxCTQ6s0etpZ8d2sOgCrCRdUxvA177jl0VodmokhNUJnit2TyE8yh3GxJ0fiPK%2B0TQUG9M8UZUT7FC7mhGPJxazdOMMdW%2FhzVKqxe625yMCkb6E6MKE4Kx03%2Bbi%2FvflToaArWLIuw8xvaoFP2c4ulMSXmodDptJZCDmbU%2FWSQP1bGaAEagM%2BGlKL%2Fi4%2Bik8RSrl7WgJjLbkjw2HR2S4hJWx%2FonMiqggbQIfBXokB4ZDyFgRRHf5TI%2FiImJz3b9mUS%2B4R7cVGxLBearSMqO2%2By1kY%2BdWK6MFuyM%2BmU%2B7XHYS%2Ffe75Izag9ltmMMzG%2FykgQC1sVuOz2zpk%2FwK5gqlfjkeNlkXaCPp3iMWXcRuxBq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=26872782028&catId=50000807
의류,드레스,원피스,"[165.81464123172307, 159.7801684903651, 145.77807688583277]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fhyoire&channelNo=100393025&tr=slsl
의류,드레스,원피스,"[197.73581431788506, 198.92944863382178, 158.417647634898]",http://lissoms.co.kr/
