상품 분류,카테고리,아이템,세부 색상,제품 링크
의류,드레스,파티복,"[237.43615384615657, 233.93624999999827, 228.63788461538442]",https://adcr.naver.com/adcr?x=/8EqAoBGezqnjDArMHkmBv///w==kyNO7CAb4mFtAlTpErwRyD2iruny7XIn3bMGr8UUfdaWlWTIdlbgpiWYv+SF+ZgiDcNS9E5VFrAqbSqymjRv+89x4+qEJckTmmPUF8QMfPogSR+66pvL2kjdvJTxJHdNZ5yJXEInLtb9E1jl5pXuepjn+wT/4cPMTzXXWkLusUv67vSATb1FnEHNyRox4FaIdpGT0T7tQo7yvCt1Qb0ioK7SyhJ75R9QWG04IG46PfZdbgAwa1U1rxb1vncxPGXunUb+MsC2pDfN/SLCmQWFeRi6gaObrIdbF3gHR/2wIpnsgK/w94/Ttz93goFGv8pv6FKIzb9N/rCcFuSbnohlyB9GwgDLhZjeEn/wMu+9AkLu1MoeBwwTy6bFtBONHg0clNjfkw7fymThbPAcI3htGN40i5IGFVvEhGjDRq4+V+CaoFb6QI7rz5M0imbOfz2CuoB8Vowc9E9bfrGsCXlhlnQ+bmjRYHGxnsVlh2+rzmXNoWQ5ankcfnLYN9yeVv2lddvOX8geCyjYqUrRtgCvORpPGaoGb94jzm2a6eFn9Ps9DrTM5xkfrNn8vtOy2CnzIwGCbrZp0OwSZ9fo/BXFPMPrr1Un4VFXUthLWSlC8xzvTuQFMxtDvCmNk0QJ4BbU9OMFwHqRM0EzUSqyIyCM4Ms2SFkj/0XCb+3WCVibKeLwD4u/zcMzE/7eVm09ez5T93YRT4QYXZRA1cmQ4ORkD7g0rbHcBmFGi08DTct9UBpIxs9t48LQQd24cllrSa0eRRHqGx/ux8qQDHQiH6ZRqH3ysGeoL3qJVjhBUZ1QwTUBsgaKn0wX48Rp6Brp0NamD0cneCNYxTDmaj6se5fig60GaYUYufy93W93DSwSrPIYekpCKE38J4JrLoiRXug+kRtP1J4azy2mkIYVNly6Lehwq3jfq6YRlZM/gv/9W29GvFifXhYXKUfASrPdhIErwaxUYq3dO9DOLQq29WI900Lt6kNRYgo4DcrBm3OWRA3lRuzQKiwSg4JqJU9UqghTu
의류,드레스,파티복,"[182.7912222630852, 161.1390216991518, 142.55927424298443]",https://adcr.naver.com/adcr?x=CIGmz5pKPNGW6cXyx0reUv///w==kMNb5soBh80YILeUg3MtmCb+NZhSEYMozYFp/+Q9hTIWVjVLb8tVXAjWNkebJi8Z4U2MmgM2LTK31JbbV9OXUE+ZWkcwkhmGi+IswtkamFiO6ocyVvvYGvGjxid6Y0uOa8CRTpZ3DmHF07uB4sV7wR3xrZtQMfy09lGPgP4Q9VqoJ1NI8Y/OLN4rMUP5cX694Pj6gUJ6yzQR+vvAQXHU+QBI0z+2kKIPzWi0inQ83TTbQ7SBkjliMyjz+rbKf5nGCkl08lUVknvg+Dr60n6bnGEQEaq92OAbFM+g3n4d3dq8wvNa5BoIcocnco3JAxogosvtO6MCa46fcnEkmmJdl6yfnbnYmesOTrfUSIYJ3Mlq07fb+HAxt2Ll1vhQMPtWzSZmIFPmEE02N+B5SUWYWJ1u3K5yB/IKiB8AtRyI2ZAdXlgWZUwVQ+ftfK62J+tUMOdXsm++GjK02QIP35c35cTxz9dRgVvTDKbJRVhh0eAQ9IZY79z5mdfpGEo+KlTrFzgLakalDo6PR9l7kqWZURnB6lMXeGg3FAAok+Qs6dsCQm4YvE47kkOaeGKbK3gIo2DeTJinbf0tape+eUQ8MbA42O5G4R0zqH4Vgcb8ucA5osaCgk/CP3FVmEJBs8DwsFVnqoGrV3sFiGwZTp1vA4C2RuTg3U6x5kmijccSc0J5YXFsNGpNRwIeCkEmHgCIoR20NiQ/7NJLllQsdLjum8TdEyYuOdR4QB9+vXFf7YqbNWSSA89A39QlKbX0Bbdj80ARi6O8QmFzxNzDxWC5WmCaB7vF0lWbJD4zXXoztpXwYn+xLnKxtfj4h2jWxhqFrkBcxs+MXGUJ6QE9OeKuJB/ioxEhrCEy0BNtu6Bhz9/+xG/uXSVJ29AqS+rKv3NZmIZMOEqgrUL/uA4CHC3j5tA79uSrE2F18bYY0VPsUeCvImFWsKE/SeJ0PPk+BP3Nn9p27PpmxbXq4igytfrSb88xJqsX5yrCsuLi1SkyCzlZjhkY5MoEu5omNSS/jjqaE
의류,드레스,파티복,"[192.15967688002758, 161.60319248165257, 117.8543848225078]",https://adcr.naver.com/adcr?x=kfJgptecFTLWpK+YMbrg2v///w==kWjNzxbdb5NxacPptyyDm9BnILb+FDwyh1vGEO5U9IVa88uZ1n6bPBBXST/UrBQIMOZKgaJD2aZAlPwXPambK8QsQxy194HZtNle+VuAb/JsFIgjVUQrX/zq9Aj7T1MDcL7uyiBW9mnluIh++INdvC8ljrtl/DQT5HrMFwFRmzClaYElIk0Y6iX8QvdWqmt+khQLj10p5/1VzcI0wDC336QC+PB+p8JwAjbBkeTX9Ozy7NrtA2NpO5MRAX4gXIDkn8/lBEObXNQSA5ddKaRyGwbUrpTOv4z34cpoa1tbd9ILIcdXHfqq0gDSoC5pqnIAImTICLvse8yWSGAQ9BqQQJwtPVacBXQWIEK7bs4h1RPfSAsaDJscJouzZqO+ooHZUY6cHE001asc5qUK3NCzalZkYhNpETWBFu0ZXld8gGSDClTeLAlWOFWNCXKgWLxOvFU69mDk6sDMC3fCtLBRH7GYHBWDOEfals0uFLxeZhGPvxqlpFBZ1NoK1i00g0bRRoxV+cHR8qT3yJ8QntdzTKIQM7dCbsaBK5/xTBkp5PYkm87PVLE/wgz3GI5CqIUOcxXDSWC5qssF/HJL8vQTSjaVERL1D0bf0/gONzp+9tpifl0MZMcSOrQAlb1JPwq0gds5jCuZ9PklVTD3xrx7S4UayyZnctM17OGPEpt8xxXSRTVNExNqPXF3Wt6UwtnLOQ6j09rsyxqOuQr8p4mCfKtF07+qP5jmJf1JIF6tJEEiXjoLxsOi8rgYbh52RAAP/dSYNaj62xbIvpDrqwtH/mMUuqZm645k3D3DDJTlA7hmAP/gSAjUat30yOPb0CsMrifHHD9Ch3EA7cBJ26tf5aA8AI2rJxBWEEfz9+MdkhZv5NNuM8j9YFvzbLQCrKdmSyfJnIbu054jIS64gtI3S+X6cucN7wtASMXbfAuFmZFRnmRJxVBE+8r0Rr542CYJCg4JE04yZqcRkphPue/UjAAqGFzqsEtTD53scafviXSQDsVMQJv40hEoym9pTI2EfovOjEAHJY5I4Yf7Rt6/Zug==
의류,드레스,파티복,"[122.94564382400341, 114.21066991603026, 100.33752748271621]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fve-rliebt&channelNo=100426469&tr=slsl
의류,드레스,파티복,"[28.03645555398677, 24.502850723195706, 20.446454149696166]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fmaypage&channelNo=100953446&tr=slsl
의류,드레스,파티복,"[230.9555910883687, 227.79742031766006, 223.6409764417445]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fblancsumi&channelNo=100367012&tr=slsl
의류,드레스,파티복,"[218.94851597779908, 218.6372677444947, 219.53895342824833]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fdel_luaju&channelNo=100596684&tr=slsl
의류,드레스,파티복,"[64.03361207424457, 64.61268611054331, 36.43777279215929]",https://cr.shopping.naver.com/adcr.nhn?x=gHxsQrA4wob5I0SGqJOneP%2F%2F%2Fw%3D%3DsdoHDE3JLxdFbTnh6nIG9z81zxfX9%2BMLXsrKe5L1Xcs9fu6UgOEAR45lpRCw4RaS4JD824S9XH39YKkYE3uXYFA53NMt7H9EbiRJXrOqPXxZnSD%2B8YqZ3sRJnRZZXUh7OqaFQ7XiYgrsrHTaLVnactqct8KExP6FQD0Axz9cZoTNVXemfpmeX70wC2wQT5nyixFNNItSbpRnBkq1d8Pz1j8XKx9eYsYgDIajvWu4KTBiJo21Jz1l80kbiXqqDHQVXZ5yK8FwaSgGKWzzAsJ%2BYhT73%2FfRaXeDfqlz7TFDwDKg533rCvIYZQAKy1PxbV9TYzNaXEJNDqzR62lnx3aw6AKsJF1TG8DXvuOXRWh2aiSE1QmeK3ZPITzKHcbEnR%2BI8CwX63DAp%2FQG9Obfa799Rl6eZslysUAKyLZxZcO%2B5aU5XfqiCwBtPYYwEdSt6i2JAexbC7YXbkxitMVsv5X2oYftJ%2BOTRwUQuU8OZaBjfrXMEc05LTibBt%2FawtKKLwCqnXRJZygDd7%2Fgwe%2BAEclXrPoN7Nwq9QXNqA%2BDqiq7oLyxo2QRoKRROM0DMEMSkpsVnwqHIpG3NzSgNc9XIwhWkxPjRB4MkPnDZrzY%2FBdMy%2BdZ3RCtDyziEAnyy67NlyUkBrZLeRs8RaPxBOErZbrUEixGk4XMJtozo5T3u6g%2BJ%2BOs95nHjSvK%2BXo08eHdj4IZRD%2FhhnHzFfb4TL35%2BeUZWZM2OqH9l6YII5ugOGfB4CYY%3D&nvMid=32517302193&catId=50000820
의류,드레스,파티복,"[206.9285739473836, 188.92781578390262, 195.54661823824154]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fovely__&channelNo=101000917&tr=slsl
의류,드레스,파티복,"[192.35712129705786, 140.98490793842223, 101.83159415290164]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Frosedress&channelNo=101033820&tr=slsl
