상품 분류,카테고리,아이템,세부 색상,제품 링크
의류,드레스,원피스,"[202.95969990019594, 175.90769866125464, 151.66520976012922]",https://adcr.naver.com/adcr?x=iGOk4+yCsiz/lV2WYv7sXv///w==ks5Zh9eoctzS2HpzAMaunSP5ykwizrbLusuqdfKnLfpOAArswBr0WzcoQc+UoVUwDsSGdHyktzTgIlr1KbX4NA9WfynPB8Hw46cs2Bw2WaWJEO5v7tIRkyksgAvYxZGF1stQwO2rFJV2PPY4UrvM51MM4DkRGHZrhQQrMtjs7oRo/9s2+bV0LDkjz2+bo0QcN/DGRhVkfOrS7ThZuBeMiKES9Cl6T5pSRTQfrTB4xaqsqPOK9a2dxQTz0S31mYzOxKYuXah+wBx86j37pW1aYYdoozKHm4A16payIA8++bSm1hc8UBkYrhJuBT7BWnQRQ8j2holBjkLHwHONCBo9FzPIDpk8Sd4yAPTS88MsmLDnMU94TUQQ3YQKTuxU03YL0wPMaPVyJ6dXL0VLY4g4tQyqWJPoJu+uDmH9FP7McJjkTnEYt2oggO3VFi43EDxhdAOpIB0AXBLz6lD21Q7Zxo1JXCeP+y4clBQh3ah6VaHglOsuEM/udhnqyWyNXZAD95vi0WH7CaTc5vThu2TUrADgiPwkLQeIyDNlOndbamX+L+Mu7WZbYh+CeQK/Umfi1uHXBv7AtMi/ILOqlfk7OkahOhlAcgzp1gg/4SsKg9DbfDw/M4UuadJrWy7KTK7afslUC4O5mC1hn1/edpWzuqXbUwWgM++RTJ1S/exmC+o+8d6oC3nHx9tViMvOhX7Vdndn1oKmN3zd9agf2LJUqeV9BTAEWDO8jPwL+i1lhTxERPq3pO4Da5C+ZiiHDcHuSKIV0ZYqs6KMtiMWvKhes0g==
의류,드레스,원피스,"[41.94074312813751, 39.63124453243765, 39.58773424190534]",https://adcr.naver.com/adcr?x=3ImFcnbFXYEeHRprwQUIUf///w==kkWan7MCmh3EeDp4L6pPNOVxed8CQiYTnsWARcHRGWbXrcYu0AQ+ocp1iTjde/XoNXDloycPNVSAeNKloxVAGnv6VbxTLdK4PxJNPM6juAm3ex1xq4lw+hA/nwPA+AAgnsK6IHkxz58uszvnXR35q3j7Lw6b49D1CeTIhrPZ7R0wY5Al4/7G0BzwzE6GAocI7zKjlD1EOnpo9qKwhsGFY/En4POzsuM/3d+bfZn9UpSnUwpkLNNuOXkrovyfbx7KimE6p8LM5pcpb3FLSBsaZGtDSjQdhq13yvvLYIKOOXlGZwFV9HdDp/VofBzdCxGhv7BN9N6DwrxN/ukha94LZ+XW9rR9ts2aKJsmXcuqexO3IZ+r+rU2FWLbP+rD8TA2Ev1AvRVXhMFTMworh/MzYmNwadJFQfduL8UvY1SyzB16AEh3DTXtzpH1tCtyi2YZd3uqsWYodllE5UUUIhixDLAs1ut8ExvA01NhzRAi+xl1ldT8yplOjMVPgYz4VlkoxQ0bywWi3iLC++wmC695iu//U0raQMOm2MXyglGBrzG+TPDlOxJIUpOSQ91+K12i/6YxEvxmTkFzkXNfqKXbrIApD8yAcF8BYVX6w/j/lnP0nn/sIRbVQaDvfklb8XGidpEopjfumFAdUYZSeTCFdCiZgfw11euAOhAl4mR7VJwdn9fB+3PEJ6ed93ta8p7A0td/8XGZGQA+a1rGqrclZoXKaSMiaG/8doFObti4O8Ggg/0FN5LXN/465Y5jr0Ejjpha3YxIik5+jDbXL7+HoCDdPlKtaUj+FNxkARK4aN9ghTYqa0MIR4CDFZW5Iv94g8hYZBVNT8Fn4wAxudbpcvobg4dOt5BgfOX2IXozRiXT8y/sBPX/09q1EczdFFJid6kO065GWZQzhiDk0rURPeRnY87G3+JO+whmQxQ236lKqeRBZkKoUSAE+UY/SRj1XKC9caNica2UI9mgRQpJDVzYNIZUfwFmpb6W5bFMTGDG5FNQ5JdLuphFziipdbzu/
의류,드레스,원피스,"[195.2683131017163, 152.07210129761646, 129.3282754290508]",https://adcr.naver.com/adcr?x=Zl9oa6HiQFHLa0PVpn4FVv///w==kF4DO2OTcDl7kkGvg5aXgSAe+3rDXGASNLv3a2iBRKjYEVGpFkN+IHf4I/qnToSi3Og4nQUAbLPopee2f8hMz0T17ygKwVtGrm+yMIWU7gkoawXTqvhNQN6qm1Rsj61nmhW+w8kxh41WMAV5ZBmYYiTSAmcKK1Zb2Z2dqmd2stoRy0fPr39WhxfZ04owJbyv6sOz6cCdX0R5xzZK6ApNWeRoIKkJ4yt78f68TdQpdntQTjv4Tzc4vcM/zbuhHen0/DkeqcxJkqhcl4W0rIByTEz5SpzQg1N2XL6buZuKJO94/aaPBkznZvCzVmTwLIhY8NhoO4ce96QIzGl8v0/dE0vDGnUt23IsHB5sD3qEjUk7XxqAx9PvHiUhjnV7JbZs6PrEFKkQE34G3WeRsFXxYCIqD26kWR4G9V/yyF/hNXsLhniK3lMruLs4FMtbAxYDZQJdVrW7Ug+AQEmJ9dtPCoXRpOi9qoQMdDPrCXD+2w6aV341HHL7elBtVZwRkuy8iYsvF1wsAqyuMfYppRVgU6DOOMWyEQJI9WoWuyXVo37XiepGHDIxw7q8BwXdyX00KUTlddIPeUazjie907ZpaecIY7aSfeYpbs3ZaaBH9ALJZC3p7JmX+1nIqjm8+lwtOkK4yMOWOF8LAC+PCoVAwf7UBWHou5YgILXKjHg38fXlj5lira4+7eXRv5M/AOemVorH5zRYU4cxyVJW5vP82drnqMrUFoFKe/qaOpLQh1U2mz1vx0cu/g5XELKt1XXOC2dgqTjxfjm3XN3XrEV3NVck8crDg4umslR9HVtiPvtdSB0vwBsNPaGl3LSlYCEuYPhKfDf4ccECo03FeP6S/1dXz5NnVoy6TC1W4axFPZdDxjBAR04jchjMwlUbBFd4aGOnLww6MmCuEEVC33e+oxhAvpveefoQKIxSGMcD6CkO5k0NM8D9Bq902LfNQdo09
의류,드레스,원피스,"[182.22807017543775, 180.30458619374377, 168.4434591914546]",https://cr.shopping.naver.com/adcr.nhn?x=sWXOy9J3yQS28yQrr%2F5FP%2F%2F%2F%2Fw%3D%3DsXYpCyGh6rOzHqjcXCVeqx7iBuLn2n0jECxmBlUNyUCVXY%2BPGpnOVBOMJ9qyudiNcjDcP1scSIYZaqd2ze3JA%2F5CKBMqf0WfQDScLxnSakywE1Kbmo2pcChgIje9Tj7r6fLv4fP2TfxUdD5GMv9mrhsv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKXaGc%2FZHfwlpW2EyOvozXpIL915%2FYSdoCnKbPHq6M2MyTvVQfF%2F9LYfC0vEQTz%2FhM5OyAKkUGV%2BjsI5PmCK1EtcOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOq3%2F7T6MAvrkmEx6GYmOkyMD1nRJ4yoQ1ByXgZXYF4asUmu%2BJh9YUySz0EqYfa3KXEzN%2FvGkDN4Iuutl%2BWvOLLxwp3GmZH8572EBGDELnqRN2yjeW6yezajTX%2BGBjwgfZt5dSbRMzqz8oqF83ZTuc%2BpEtCt3g%2BSpgy0cfsMnnXuBgboJp0jPl9cq7Zfo6naJXqHn3dE75A2g%2BYOkhGe7VC6f6hTH3oCYchpJ5riK0pEc6tqaMHAJkj0DAJXiYJNZCZuYwAjxlkgzPPRqv02EYWBcQ4jXP0M5AHl06Kx2xP9VlWhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=31877978955&catId=50000807
의류,드레스,원피스,"[128.48211812472346, 102.29855616901497, 76.55273493084688]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fsoon169&channelNo=100597302&tr=slsl
의류,드레스,원피스,"[27.555848285266478, 27.580558709977936, 37.382602770842624]",https://cr.shopping.naver.com/adcr.nhn?x=0N7zgx4kRsx6x4EJ%2FjkrZf%2F%2F%2Fw%3D%3DsyTz7yEmWAUKl9Kzq%2Bs%2BLkD0XzYHzkD%2Bm4GgNf6TljbhVD0UW3I9flfMOJdPx0rL8x3G7J97%2FIHEMVRR840p7qe7ZT7J%2FW5%2FJR3WFHF0EVK2SEOovbA1Y9AGjLXT68mo%2BeJMkx%2FYqli2Gi43wysZE5FVd6Z%2BmZ5fvTALbBBPmfKJ6LYABWm6lRkxVNeHofoG1Pf53xRFDCMsL%2BYCqRsjJC1JBFgBHAQ%2BD77DVxaZu8%2FnPW%2FdutF8cBa07vmr2ye2ubaKBbNcoC92g4cihtVmT2oBsJjzV%2F3vl5Lmd9HbkUGI%2FzdYC%2FwYAihDQzAs9Z5v9DDby8lJ%2BDvR7ykwpOSla5xWNAKkiTmTHiwlbaGtF%2BcqHUidzxHGbzPb0fnkMqAyrIAcWA7OM94f2HOG8ZTsvdpnNnIN8ajVJChhG9cYPNZ14YX0WJ9T9AIcnUSovksZ7mCRllI2bkTS4tTPqkv0A11dZ9s%2Fmasp4t1qGvn%2BZ74ooP1By5v%2FuoQ8xQmS4zPsco64ifB9DVeZ8ffla9GlFdqsceZ4q2vb89%2BTYUCpPDxinmRyvObrIgU%2F1ZH13cxcmjr%2Fvhuz%2FM2bOeEg7k3nONfTIMO%2FXU%2Ff3HpYtaXKo8sE9JT6u9yxRCmxmgKvp%2FLVjhWw3%2BIByOa0jCVNQVnCDoA%3D%3D&nvMid=31777101562&catId=50000807
의류,드레스,원피스,"[31.808994284419356, 32.6753246753226, 41.56463208922061]",https://cr.shopping.naver.com/adcr.nhn?x=2KR0kNKi%2B0hDnBxdnLMrnf%2F%2F%2Fw%3D%3DstGyxYXYdWO7Cf4JBv8MXqmbh%2BMistXsFyIWELv9NollXY%2BPGpnOVBOMJ9qyudiNcgD3f0%2FIU6KX%2Bjobg%2BfHnAZCKBMqf0WfQDScLxnSakywE1Kbmo2pcChgIje9Tj7r6fLv4fP2TfxUdD5GMv9mrhsv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKHxh0DGrT64%2BwpjwHpvrRfYL915%2FYSdoCnKbPHq6M2MyTvVQfF%2F9LYfC0vEQTz%2FhM5OyAKkUGV%2BjsI5PmCK1EtcOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOqef4hvJ%2BrIJS5c1NomXXk0D1nRJ4yoQ1ByXgZXYF4asUmu%2BJh9YUySz0EqYfa3KXE7E0cxjShKE%2B8BThiJiefLgp3GmZH8572EBGDELnqRN2ccEw13gLf5dBdooK5MuLB%2B78ejjQ4CNRq92wTMd6egxZ7Y0eu9ZKJi9rZ34jnOL6HrUN7emlXVm9Wa6jCyBO5mx5sm09B48hQgiNYIilEJrJ5pHqsQgReIf2q9Ur0xNYSzxwVRNV%2FYRemZK5z1sCEFGvssfHBZdZpzJTfvtVGobnNOIVaALl9XOWDMq%2FAwyRoaKZHilHbuauHUigNM5KA&nvMid=23355211587&catId=50000807
의류,드레스,원피스,"[147.5748649975468, 139.13507798043926, 139.64929572145815]",https://cr.shopping.naver.com/adcr.nhn?x=mqS4HJ3XG%2F9uJQslhqFXxP%2F%2F%2Fw%3D%3Ds4zyvYBzDP000fZ17d3kWdiN%2FyFHTNeyXxaGrFIiV3JdVD0UW3I9flfMOJdPx0rL8tzX%2FbWKy4s83jGyxjaSUq%2B7ZT7J%2FW5%2FJR3WFHF0EVK2SEOovbA1Y9AGjLXT68mo%2BeJMkx%2FYqli2Gi43wysZE5FVd6Z%2BmZ5fvTALbBBPmfKLEU00i1JulGcGSrV3w%2FPWPBqi7h%2BeUDKOeyDVDobbk7FJBFgBHAQ%2BD77DVxaZu8%2FnPW%2FdutF8cBa07vmr2ye2ubaKBbNcoC92g4cihtVmT2oBsJjzV%2F3vl5Lmd9HbkUGI%2FzdYC%2FwYAihDQzAs9Z5v9cRFNTCj0ru9PRhu7MjAtphWNAKkiTmTHiwlbaGtF%2BcqHUidzxHGbzPb0fnkMqAyraC61yS5OLAcgvTTM%2BHlQ75nNnIN8ajVJChhG9cYPNZ1NGSVfesmylOpzJ5IlVZgXWeApwicTkiAkDQ0FKr9X7H78w1ooxXugZeyWd8lgkTyYzxuwcnAKr2HxohLYI0eYbF35XQClnJyzEsIrrSmslM1xBsKdcDGANy%2BwGJVu8n38lIK2u8YJvwjRTrFr9YGLYnHIcETcJifOE8sb44IMxexbS8AO58Y5%2BjKaobe1N2a%2FreyGmuC%2Fvn2s7UTUVOkgzY6of2Xpggjm6A4Z8HgJhg%3D%3D&nvMid=32510597813&catId=50000807
의류,드레스,원피스,"[205.68370375255668, 199.1715139923934, 192.92840027259396]",https://cr.shopping.naver.com/adcr.nhn?x=jhsxH1ThX1v%2FvJzY8VSUlP%2F%2F%2Fw%3D%3DsrvU%2B11gqti9IpTx8D4NztVh8VA5U%2BeO12BdFgYqCCFdVD0UW3I9flfMOJdPx0rL8pWMejg0aJSgVaT8yaOMhcO7ZT7J%2FW5%2FJR3WFHF0EVK2SEOovbA1Y9AGjLXT68mo%2BeJMkx%2FYqli2Gi43wysZE5FVd6Z%2BmZ5fvTALbBBPmfKJ6LYABWm6lRkxVNeHofoG1Fo5cTkBhG9L6FcGhJDQqclJBFgBHAQ%2BD77DVxaZu8%2FnPW%2FdutF8cBa07vmr2ye2ubaKBbNcoC92g4cihtVmT2oBsJjzV%2F3vl5Lmd9HbkUGI%2FzdYC%2FwYAihDQzAs9Z5v9jQtZAYlITYZKCE3ftcKRWBWNAKkiTmTHiwlbaGtF%2BcqHUidzxHGbzPb0fnkMqAyr4vlEYCvfQsqj4R2J9JP7NZnNnIN8ajVJChhG9cYPNZ0nU8Z3WWWZ1aRjcvMq876Nd385%2F7XlaXhmdzKfEEJJyWrGOW8A7r9hHZMLbGENkP9cZ8pgTGru4bgUYhRhw82xlh1j3xwAGlfsaIerSrLttOQLg0fUg9Kz7brHJy5Ff8GYTXW2s9umO343n%2BTztTUYmmZkb2ESn%2F9KWmh9Z%2Bh9S8Rh7LjGgwC34ZDlTUmCgNQdHI8FZtQVGFZJxOyBDKc%2B&nvMid=31682744569&catId=50000807
의류,드레스,원피스,"[61.314815857648185, 60.89038743101733, 54.871747944578246]",https://cr.shopping.naver.com/adcr.nhn?x=ss2Wb3zQ4B%2FTW%2FGm6jEMT%2F%2F%2F%2Fw%3D%3DsA0s4DRXbuL9jZtPu9dtDOJikB%2BrI91N8M1GrT1XXURt4aSMo2xNf5zyHpaBzHWVGNVmWZ5VH3d%2BHCfq3SDfvxrTweHdXxHiozhpDyR4vOxVILAD5P6TlijWBS0wQeMOIxe2E655M35nLGAode%2B%2B5ft9%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajLdPMyaaHYMIVWJW62RLFeDXkDmUjnVdL5xm6dWONtNJy2SNNQYhA5dBsVTpYwOAK9Moq%2BkUmYrhUclHCxu7KAk0Pg%2F6PYJW9LpCSumzPJoigK7CtQzZWLlur1%2FFge4%2BEpXKaAWzDd5HRORlXC4d4iKywJCItbzRwH5pgCq6XP8%2FSReb3YstaSqJHDaZlTRYUsNxUxGR%2F4aofZw0Ctb3lOVlqvRTiM1BB9CLtT7arGFejA3W5rpR2acM1kpnC%2FrLzTU8BnJCgEv3Gr3WxdgB0%2BkAfA9Mg0dR0JdfPJ4LhmbrKjU4WituKKdhCAaKA18TqVQFfPQRPnj8L1J9%2FYtE4txKOuInwfQ1XmfH35WvRpRXYL0ignunIjEZDwqWxUFbgXMWyMK4I79pXMC7UpOTv4i%2FoLRdeTzJJo5DQ5ovPMjEWIhGRHPu3qfnZrd3pIOiUL0W25FUNrWKJRf3TacgdMk4VsN%2FiAcjmtIwlTUFZwg6A%3D&nvMid=31236190674&catId=50000807
의류,드레스,원피스,"[198.9616467859472, 201.93944665341473, 176.7989010382163]",https://cr.shopping.naver.com/adcr.nhn?x=BrLLTHA%2BjDjcn9RKo8oKwP%2F%2F%2Fw%3D%3DsK9e8FvyGaWfy40C4DBJatlKSuX9mcTfpQu6sFvlVdPFVD0UW3I9flfMOJdPx0rL8%2FVImQaCMxRKJIS1tT4Dk0O7ZT7J%2FW5%2FJR3WFHF0EVK2SEOovbA1Y9AGjLXT68mo%2BeJMkx%2FYqli2Gi43wysZE5FVd6Z%2BmZ5fvTALbBBPmfKJ6LYABWm6lRkxVNeHofoG1cSYg7U%2Bg8ERfcmseAhf9W1JBFgBHAQ%2BD77DVxaZu8%2FnPW%2FdutF8cBa07vmr2ye2ubaKBbNcoC92g4cihtVmT2oBsJjzV%2F3vl5Lmd9HbkUGI%2FzdYC%2FwYAihDQzAs9Z5v9mSWlu9eu7Avh7YsNJroFdhWNAKkiTmTHiwlbaGtF%2BcqHUidzxHGbzPb0fnkMqAyrj%2Bvp0W24naDA3hIJbkyymZnNnIN8ajVJChhG9cYPNZ2XOl6BBHr9iur2fT%2BlxfrMjxBGcjhomIEaCKkgjwqymRROCDxMFtyXK8BmfCoTbWZcZ8pgTGru4bgUYhRhw82xMr7WkGAWoxBzRmNXOXrc6iEg0J7fdhs27x4ilipVQverTzIgL2r0NVY5gNPJXB9c%2FGkIIzseX2TOv7V%2BA3ii8zzgvpU8sD9dGXYFYLybX%2BaCqA6%2BrrPkSkQjk3bFq%2FUy&nvMid=31685631877&catId=50000807
의류,드레스,원피스,"[102.95166056662677, 97.88119831910059, 104.52964619764231]",https://cr.shopping.naver.com/adcr.nhn?x=yuupTZr6aSEKNaHAbh%2Fw9%2F%2F%2F%2Fw%3D%3Dshdkp4Oh4F9swMwFg89jivXmc3N3mgBCjj2RAkMJbWRtXY%2BPGpnOVBOMJ9qyudiNcysLXSPi41PPHykL5zXrHAJCKBMqf0WfQDScLxnSakywE1Kbmo2pcChgIje9Tj7r6fLv4fP2TfxUdD5GMv9mrhsv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKCGJ7Z7movZmsevamH%2F4RQ4L915%2FYSdoCnKbPHq6M2MyTvVQfF%2F9LYfC0vEQTz%2FhM5OyAKkUGV%2BjsI5PmCK1EtcOmY27ZGze0Q%2BtXRlM4OxtarJoVrbEtunAYIkKGowOquhKHCjKdtb6htFI6sYa5VT1nRJ4yoQ1ByXgZXYF4asUmu%2BJh9YUySz0EqYfa3KXE11MoXUhenw3mG0HJ06CyVwp3GmZH8572EBGDELnqRN3eLj6FaAJu32DP5kLkkBLHAuyIhc0BBNknGdnHB1TT46DMCdBuRxLoJEApjv%2B1Qs0YdetdsZbPWu6NFXHt4yxWzRea5RpbkSrUvLvSowM3WLh68zuZ1MKcqUShf7UVSL0jUAWadBrvfzNUArS5YVU8lCHlM9ycv4yUWWv8J0UIpAU%2F0dOmmYTLW2zqiMrDdugRpOFzCbaM6OU97uoPifjrjrwIxBi9O%2F%2BEfnAsP7F5QmxOOrGZmoXYdbr%2Fmv3XKCjNjqh%2FZemCCOboDhnweAmG&nvMid=33213041757&catId=50000807
의류,드레스,원피스,"[179.14223583349818, 172.84977257488686, 167.52425565844558]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Flulu-j&channelNo=100119505&tr=slsl
의류,드레스,원피스,"[229.5378221778277, 221.20997002997024, 214.43380619381202]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Ftopcross&channelNo=100452119&tr=slsl
의류,드레스,원피스,"[157.91381272044478, 136.95947585997504, 109.89921113512732]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fjayjayroom&channelNo=100411756&tr=slsl
의류,드레스,원피스,"[156.56201815468836, 141.2690717483224, 128.3300484954018]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fj-flow&channelNo=100230803&tr=slsl
