상품 분류,카테고리,아이템,세부 색상,제품 링크
의류,드레스,파티복,"[211.75677691745366, 205.55370063703674, 196.96883438511747]",https://adcr.naver.com/adcr?x=+6uE2dpSR4S+s/X/AjYMxv///w==kG8QcxeXaIcLyZy3P6xnwndBgOR42z0zGdswl/12VbR4jmsvGT06xK7CN+kZMPmPgJ/ISf0Rf5MtFCjtVtr/gtxGgXhkrgJoTKFcScKVV1qvpJehSQKORjfXDAY5Yu7X1tkApD5XZ2X7wYzhaZzEwMd8Hw0rcyCZAwN/Zf/96z9fO/ARIIv2TB0/q8058nEa1+Pq+1giJsD+YxurVgyE18fcceBGPK7wbzqWvcYpdxO7+eHTv3Z+L2ZhfZC/eTixy/HNkbP23iy5l5XIM5l4bW0juobN+TI/ZAUP2iN6leKtWpp7PEsbBML1AG+qUgPBG+gvBC04hELwzhShCSI/bJhOZNPQlDSIhV2sjzaUiDL1wV8y0pOE7z36mC2XShflDr/Aa4Pn+DWU2yUIBtE7XDD2Lu39r24DhxrNXQqVCH2mislCvUJXALtoHj6/N7q5BeC/tozRbGPb+4Ntop55budJ3uy9IPbr1xonyRGFfKEZ7Lp2B72YvSS9YpcpA4KaFFCoSMU6GFUxXO8nWsD2R1Hdirfxm7OFwpc4h5W9yT7Am5XHG68bxoJpLXj59m8cwiJ6TrMS6lygPZnr0zyQxmASTnk886+5i+mjmIaEMocCT6LQ7hpq6I0POcf5CWroxNZjaD4OZvSdeTy/Pjh1fpoCI9OjTZ6L/mNl5BghUkB+md+YDILOwDqVg4GeJrIohcglbN1I1uiDFMH6X2rtZUzU2lmctTIl7ZQRbi0CGjce0Qey0PsdmdLlFggTyrkBp2gCVSzG0yvgxdOKIsarCA6RiKODYq4j90BCmkfJSuesQLtOUJKsnBHqCY+pr9noljwJqHWvIv9LGqRqgOdRr5Y85LLBEUhOi72Ja1DxnI30=
의류,드레스,파티복,"[220.03126237951054, 221.43321669087203, 221.84756701439375]",https://adcr.naver.com/adcr?x=y42QKmFgA3KrwPG+VEJLqv///w==k3nNeYzdk2QJMY0B4ZDtgogjRmxVR7BlL9DEcPE68YGpJwcSBFpDh7DzPNKest5in0ES3n4p3OdTTV+BPMMXpUif5U50ksVSGvtMZX4b7xKaMFKZeijSRK9ZbFoJh07uNpWr+u1UxlmS+pmXqPCGXuqwP1NVY4OcFVGMxsuzbNKlu/CmizwQxRZ5Yv4vQbTUhGP91ZsNx8aGJx/k60zw4N/z9KUFYuvLMFS6DRQBfAHQRqM9DmCfsEx/255l9Br5We9hOlDhwd+1wjmejU1SvyMh2gJvudHGF1XQEOMgBtacJ8SKloOgaFvcZqskg3mNcKzezIpsKUOxhwyVvy3OctW+QVkL/s0sLqiDGcU/bkBMmiF7xSlRhsiJUKRA621eAC06XhhUKWy0eXLmL2GJ3Y5EVNKyrP1UHcfCnKu0WAIWK3XJlWYJ1qYBNjjoib75AmssZ4iK1LS0QfbtrW2UUgShRAYmpojfsQ/FJaHbZBfzlIWvuA8Pz9esgcOJLD3Y4jEXiJIA27B+Zyg06SP+lVkQPwntQGHYoVOMdOfNHkijin6vlzqLMMTaBwaR84GqK+A+137vR4QQL0B5deDluGeL3PWyC7+ccyTkwF/4jAbw52xve3gQRzvw+NevwezG8FW9++hmvWYJJUb2NfekpsSkxt6rLbT7ZGKlwYOujwtq7M10k0ea2m7VfIfiHh/ZgkzESaOcxXQSyc1Ce0QNWUseVAOAsFfJmjItkppLOn3q3IN8mZjsWi8ea0AdrFsezPHP2kWx/wHlnqmY1ULom4OKD2TJyQ/u5/SLQzaWN9LVjP2Xt4iBumYgMGPijevxmRDivutfx33XrOMElJF+LosYkMtVmadi3TVcC+4pmKfv8lAq1GWPn+k/U2cIxIewGp8MIpACw/Uf5+B2+5Zpujw==
의류,드레스,파티복,"[155.360420315236, 145.19604409189233, 140.51787369939163]",https://adcr.naver.com/adcr?x=LHorcwB3w93x0V6IHXd5pv///w==kUDCm8WrUAhF4vOpv6rJnoGOccKY5LYvwaH5s9QB6A6QYl08TZTGL8yHF2eAmTweFoRwc/qKPojiHnWv5ZFN0u5/wwmQoGcxjZGCmGzbhj/4ux6mp3vaRpJJyyRcuLGLRYKTxUnNudZI40+kKXEx1dC8tPeyYeyZf/dM1Z7AghW0fI1J9ZQ8/c3sYPgsIGHRLihnUWvV2k3Qps78CuJ7XNrvO5tLNixUDnG0R2yikNIaN7bIvgTgp46xQ5krAKGzEfYIx7VHkwui4B3kPzD7sXYJHus4mT5JnwbWQ6sIpTquPvxgDr7IyYJ6mSnWmP7mSubvNQQKiWHRCq0Pac1z3ZMrWfZHWewaS+sdO+F4FmC+8SxsKR9zq7S7yrOhllMlKojtPztNWa1Ct5K3fnff4rXYzpMc4hjMuRqlURt6TztbDxRqB/PiutUIyM3QCF0VaCDAXDHy0V/cgLyhdLRtBYQ5YVS6elsFMlOtolR8vg4lDqTETBdkoyV3QflOdtOvHL52ub7PWngbkg+krxzDow6+2oVqNceDM0E+oFd2rfvjXb6PdjGjMA/yB8DB9s8k19dQGk2xT4cpnql2afoIkkOXIJ7oxqopw0fh93wVQnByEywzjRE7o3su++Kg3U2mIFn9xADXuoIudu0o2CRPWeVhT9/JmXm0JdHDHVHr8/nvhhF6aPC/MhVvbUbyCfuLe/s7m6TsSRuOu3rSnTVYauvA2VXtCrcZYoYiYJnDmL6LHw0oUZBIdkdFwJiYD/R8LZGV8/iZnvUQAd228uJCBj5bnFtSDQ8aw18n653cnZHe7Wzw8j4yyuIND9/4CELsUu/xUlVUCImTucR6f1bJycwmUOEudBUFc3waF4+0CEOSNigVInz/QjA9tmuOS/nqjs0u7dMA0JlAC5TYxTSh2hw==
의류,드레스,파티복,"[228.72711576193518, 229.90477436233178, 229.79008502289747]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fannanrose&channelNo=500251590&tr=slsl
의류,드레스,파티복,"[156.1260474125231, 133.51193734472955, 105.71565118531173]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fla-claire&channelNo=100160092&tr=slsl
의류,드레스,파티복,"[227.47999040498976, 204.24083476592352, 180.53252308799253]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Frosedress&channelNo=101033820&tr=slsl
의류,드레스,파티복,"[199.9283043197828, 199.0230174081278, 197.32098646034456]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fninemiho&channelNo=500203974&tr=slsl
의류,드레스,파티복,"[169.97066674159146, 138.58585035542882, 123.62636621617884]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fannanrose&channelNo=500251590&tr=slsl
의류,드레스,파티복,"[197.37835210703494, 195.0482303161914, 190.92838355537245]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Flilydress&channelNo=500119220&tr=slsl
의류,드레스,파티복,"[163.07249184339307, 160.64165986949462, 146.71245921696573]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fanzhc&channelNo=100267108&tr=slsl
