상품 분류,카테고리,아이템,세부 색상,제품 링크
의류,드레스,원피스,"[28.975411072564498, 26.733142253729085, 30.296047669326896]",https://adcr.naver.com/adcr?x=o2wlNvxr8uIrUIStXlaBAv///w==kX8bnqIPLt6nftq0moPlGCKHS8llt4wmdhbUXxAadlvpvSQyyTd1Qyn4w/BUy26kljNdIjbNmjyzN3rS0fCwk4X1ya/z/n8vPN8zwgyoQpcYNxKfBOWWuJulOIEPIoaxkwcNN/IGXE/vOPWzwzD72lzTl3wp/m/z2ilw2siQjcVvZfYySF5Fq37MXRcWDU9+yuQKvMfLBZAISqmaQpybbCk+llR2BUYrwTQwIePoqng0B3mjsMtqERNZI9LDweQqMTWHNS/H8A6zQ3xvXdztVAPP4wn1dTc+08PbYeC5ln2BSjVB2JBkne3kezMXmBYcG1Xf4GsTK9yY1/9lwFwtCiJ8QcAKin5r4+qPr9LeN7Ud2GCFZNQLRSRDO8Hrw3IDvmGJWsXkmFjaObG3s1AeP0CwGWf1Q+E2PfgsW+1TK6ehvOOK0G3iNU9VlAohIEZQMHEuikw7U3tEZmrNow6vhKUgKjMYrGOMPauODxEn1Z0dqwUuY/XAmBrsYjNofExSbwPPhzFdo1GrK70e9SPh0piUPUKVTAYvuc1p06qEKo2uW7jdT9n08RcIzv3ESh1Pn5E+QZVAisHeNNzcROwNa4vqGGqehEXr+YI/RMrHlc/M0Sm9rkWod/7QAAgBU2kh0Pi3ys4cvltWWt32pTDKM5pF5UB+/BjadTuHOdsCXfw+50tW93qT8KRVRcHBwyb64flpetJHOl7qJmYQPaavDxuft8+wA3NZn5W49b2R0b/0ENX66Kq+eNeudUDk/Y0sqcBhAExgX7cqLi1Rnj3ZJqlUBAGbBi1EJxRLJ4EiRwv3y4a/0SAko67Y7tm1iEML3
의류,드레스,원피스,"[111.00153179800378, 46.229875343341774, 120.67562856538096]",https://adcr.naver.com/adcr?x=Mtg9QheAgA9fGHC66v0XGv///w==kr+ROHk6vA9B0Xmuog4PNPu/GCcSMLIIR06MnlmCakDCl6bvGMoEOehgwkmsKTBzJ1bT4At1j5L6uDc2FQkoKYPY8xu/aJr29naR2bfC+PClJftxRUmxzXgA2tUxrrHvP5+QJZjrkXz/f5ptidZ6KH6H+YwGhPeOIRvqLMWm+nWtnNKO4MG860ZOjeD3DEggagLGPvJeP1rk9BrNS6UmuVdk8At/rdBCoKV5gJ302MaflLJWwgj+lpPC7OoB0bh8O9SvymQD4et2nLUlty4OEv6adT0+iBsCrwoqzToFh1k4v9PE+RjCxSQZd8/QCMKJMtBB6xj6fplWcHGUITb9L9PdTlnAdfEYcnP5qCRgva9C/woEF7UbRNcHPTKigcN7W8dMOyMMXkx4P8obzXKfcF3QkOK0rO6pupyz++iBhM7A7hyeRauYQez2/cJOehvbkTOztHvL6eLGkZlmjODf3sCeT1e3olBURaUVv4WtTyEzrwNfS91u6mxfkS18XGlaXyq6UllsBTy5LfntDXSTSxxTgJUaAPyT/38CGHFmS33he4BT1LOUVAONh2Gc+rIXSTU8yAtkMprC2al8DhRlJAfx7WcyY8usg4O1EEzbQRfiG1yukw+lnwwrtoT4FD/nhyG9JfybNFNkS6gELpBtG06AVm2yQY9wkxNKHL/+5N0VUjjTmPUuWUYEC4Y9GS+S4UeCDay73GKG4zL5kHR46GdvYaOLU3AE8n56pYYDH0ce/D9rx6Pzdq9+RMpj0DZKaGZfJl6gP9h/Wki9Jk9Epi3c9r3Yoc/Vq9RVEKkHgac7SQmyadej8qM68tRi+4LjXrX7Pkgd3P2gMi+5YIb4p4A==
의류,드레스,원피스,"[34.956592726045386, 34.639004616601284, 37.71636077018758]",https://adcr.naver.com/adcr?x=B21qdCjsxzuQQEKiKc/koP///w==kpn0w2GY8Gq/vEoVrG0VVnIoXszHffB7l8wMcUnog0r9ewbVONyNDZ6PCkEWQY1HmDdavSWWgJsY/sH7s6Pma8a19uv5RRfG3PiZNOJDeTITBP3i+bnmluICXpcuX1KSDAyPEUy/8IHGyvOzncb/u2m+u6cSVHhkQqWt2jMLFjfVDsNL2iot9gg2lsQIaTP4TUmL1bfk+4AWIbCNmmGbIqgBr5B0bwb0ExeT7oNZoLTbB1ocRK5lmDB3PjyRFo3KdN3VlbkjmRo/JWqDTnV1Fj2w6IdrPrjC02alxT8FKzj0+NC5aH0yzXpsr892Crmtyy36o1EkXk3Qy3oPH2E/QZ6nL+nOybw5k4l24SpANkLgis4CYV54rxPNo3OoiXqX0FqPLFFAfOcSiG1o9jz1uj9HFKiENtLYCC8vPbRX4UpDNdlGff8mESxSNuh3QAE18lWDQ8ICF6sPjcW+0PVJRXZfNVfiVJ4mCECM4ChyWcPrqbqGUh+jz18TwL6TedY8H3SxzCEQXKXuLXRr0UIxNbjId3kLM20wsIRMhRSn4+7HHFDKw0sMnqwaRwoRiiZwNNw8GP6aMsUTutJJbTEWBj/P6I5aFtu/9eb+QtjEUj5LepRQqOdx1LN3Pc3T+Yz97SiAWUHSlF3QZ+N52DatJmMzQfI16sHQIIUSo5V1MQqNtYveJrS1EznniIcTMFMBkziLYXBdT64qzmIfPbHgoYBN5jHCXYk6vvsW78MTdpRPq9rqNp1ePaO2rcbEOWmK++OwhmY5skwAv1+LdgkrJmqtSAsU+wAXTZHxoTKfp1n45JFviIjZ1uHYI1rZSWPYL9HyvBNtzYMbn/34cPDj2fw==
의류,드레스,원피스,"[47.98098088432283, 55.96720731158916, 64.92273283131463]",https://cr.shopping.naver.com/adcr.nhn?x=J%2BcLg3N43hPrW5apcmTtFv%2F%2F%2Fw%3D%3DsaePsNDIZ9lCRX66LOsipBg6Sey23OLF0Ccswd08GpGOrFVJNY33ohPbxY44VmpO%2Bm7OglzoCXZlYf2aDnzzvCSyyluiF0ScRUSbjoZ5ZqsfchHSz5goAGyQrVePkPtFNc9j79tvWkVtDGV%2FGgRVYVdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRRCFitkRefy1XHkDdGIT2DuWhxUIuCygKD0hrj9Ia5ltmGZtdzZioTKv1Kj18sd6IdztVG7bVc5Lj7BX1Nb0p0H9ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7s1%2FjKYQ3VkbjdLPIg%2Ff4RU1EL7PBh6vo%2Bzr1Db8r4ssTHZsa%2Bt8X%2B9bFEdU9%2BJI7hFFNQHBmjOmogQI9kHS8WpBHS7iYdd4BTrgASNQmm8sPHOgJ8HIAJ5j48dzKAuzllH2Qj4n2V08ewBpDDm4e558jR8gVF8FlQ9pItE8Zzc8lYMsrV5qgCDxTjLLh4TI9HpV3Fl3pipn0BQ6t3y4lbpv4YGjJCSIW1IvBxXT1wG93uDQk3MaPf3bZAPIDdGhbpJJeWGX1%2BYl4e3CfupxH0sDhLBwu%2FFQS5xWYf5w6G3jQ%3D%3D&nvMid=33195040504&catId=50000807
의류,드레스,원피스,"[187.0873033912168, 139.10619147195027, 106.02857077915988]",https://cr.shopping.naver.com/adcr.nhn?x=Zn3vJsHtljAJLLkqWEQz7f%2F%2F%2Fw%3D%3Ds48%2FljvJOevpZ3bMe0VhYd%2Bj6Uiu9tQ8gM6fomCjmiBKrFVJNY33ohPbxY44VmpO%2BoaW09Trb1tng7VzQN69oHaq%2FsP3aKSXFDdLfQo8KYXvchHSz5goAGyQrVePkPtFNc9j79tvWkVtDGV%2FGgRVYVdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZR6WFNWXVqsJR16ymOVZ%2BevVbhFNnn9z7aIYXFqvQ4uSlmGZtdzZioTKv1Kj18sd6IdztVG7bVc5Lj7BX1Nb0p0H9ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7usv0vDgQM5oc0xnZT6E%2FKD1EL7PBh6vo%2Bzr1Db8r4ssY3gU7tkJRiL7%2FLXNyQvK02t6mlE%2FdSD45qLf0%2FKCNJ6BHS7iYdd4BTrgASNQmm8sPUEf%2FoOdk1c7qRn68iAvvOvm7CUedqtKkz7J63AZA34ROGZOtSsKsUARq75XKccfH63nvo%2F3MFcuABXDipLZi1%2BlA%2BQHudH7WpWYQaAWGbejcmD7qK7nfGRCF8%2BEWh7GiW8vUbLS0VZNcyEq6eeKXYNauEcRynSn%2F8orOK7nc90ZA5Yiu4XbkJ6nf2WyUlazdNea4IMGj7qtBI9zQD9FghXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=32483120751&catId=50000807
의류,드레스,원피스,"[49.04626033025032, 56.61596253137952, 65.30818906950657]",https://cr.shopping.naver.com/adcr.nhn?x=0rlLjS1VSfTnRU%2Fj1nc1lv%2F%2F%2Fw%3D%3DsWV0YnkhKlHLwu3peDLyqIw0xtBa3GMVRIfSFpkKw60QQF8z1paEaF0D2uUsDeSrpnYgyrz699BOLBIfS5VzRhi1BP6EX6ctq%2FiT2G7x5dSsuX8q3jc9W52nrCeq8bEFjzOyXCfFzwf37Sqjdmx3pckbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27j6JiSurtDd4Y5kITjxUX22N8Z7XIT0clE30rO4qGycJyKVHHs91n9Uf1uU%2FWMXTC2fOy4WQ77wKPDFlLLln8TsulvJVW9O9Vk6uOo61FuQW49of0zkhL0rjmC8Tv6l78P2tfKoQ0NQPyiad34AQ6K9%2FdVvwtcOUlbNrGLU3RUnp4F2Tmv7d2YJSjHpHMe742FY0AqSJOZMeLCVtoa0X5yodSJ3PEcZvM9vR%2BeQyoDKtMzvHPjxEcSbITCUDlEH4qmc2cg3xqNUkKGEb1xg81nUwteRxWMa%2Fon2iuhgJyu2y0EIe6PedkQkpW3q7InHW%2B8dhZFt2g6sUi7dAvVA3dLgkOBUXQJ28sejVRvbHVBiUL8FGho%2BKNQBdFcq6zf0pgDWrhHEcp0p%2F%2FKKziu53PdFi38RN3zd%2Fo1NlQv7%2F5BOiVsbQuOyVRDjT4DYiPZK1NV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=33195184275&catId=50000807
의류,드레스,원피스,"[35.63392389463414, 36.87083654290376, 37.931844091813474]",https://cr.shopping.naver.com/adcr.nhn?x=T2ZtTJyMz3fz%2B5IHpLoBu%2F%2F%2F%2Fw%3D%3Dsjr06xlxtOw0sVKfTvMt0EoyC2sWtmJ5%2FHlgatfwU%2Bs6rFVJNY33ohPbxY44VmpO%2B3hKxINk1uJfZqI9Pxq9HnQ4s%2FKqopBSOS6eswci0wLzchHSz5goAGyQrVePkPtFNc9j79tvWkVtDGV%2FGgRVYVdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRGwqs5yyBkQETLNKq1y5VT1bhFNnn9z7aIYXFqvQ4uSlmGZtdzZioTKv1Kj18sd6IdztVG7bVc5Lj7BX1Nb0p0H9ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7vM1m22JMAj46uA%2Bmz%2F7dr01EL7PBh6vo%2Bzr1Db8r4ssY3gU7tkJRiL7%2FLXNyQvK03btzeYRdelo8yOZ7JRfz%2FUBHS7iYdd4BTrgASNQmm8sEHWm9iVKVTjs1REjHhTl7ijxzI%2Ba77616h7dshOhQ6Z7TKV2J7T1lcB2h854GuKs%2BzMBQCuBUGodrp4wICJCxzDHzeKqBMDIxIiKUZn%2FPkjd7tu3j%2Bvd6t9j5e2vYvVTsEXC7jwo2BVZLLE8ILfqEtPwCXFJiRdosf3os3K%2FWn1DBQoIbJHCy4aJpdPqn8Spiu%2BwXiYdDUPkF3Wa8HxzaBWhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=32899511241&catId=50000807
의류,드레스,원피스,"[45.28303870306917, 43.8753146872606, 48.79771488643503]",https://cr.shopping.naver.com/adcr.nhn?x=pbP7dNuIFF6bHXqfeHhW6P%2F%2F%2Fw%3D%3Ds7Dwpg6oskJROj26FM%2F04POFap8%2Fmp%2B0TqbxVT8mezfirFVJNY33ohPbxY44VmpO%2BbPmckT2JMtb1xIx7kzwLcKc5lrBjjGgqTb2UEmQ%2BdvzchHSz5goAGyQrVePkPtFNc9j79tvWkVtDGV%2FGgRVYVdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRyR%2BbtbOhWgrLvFsJ4O4J%2BuPJTjzpMLiHFC3FZpum6JBmGZtdzZioTKv1Kj18sd6IdztVG7bVc5Lj7BX1Nb0p0H9ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7ulcN%2F02zQou2yuMFo6iC5z1EL7PBh6vo%2Bzr1Db8r4ssYwUWP5K0o38ot%2Bhh5EitTb53EVKqeakRVh0scH0hSgCBHS7iYdd4BTrgASNQmm8sClurKl6vpTISyFmqY4soD6QkayrkZB8Urj7rdS6Ea%2BobaR34UhwIehdawcDl3haKVsN5fA8klyjLk9VhMnDNQCaHe%2BdxyHvGNUlHt08CX5d4ZDyFgRRHf5TI%2FiImJz3bxmeIok%2BKQMuB3HonZ5gOqM8bjnrrJ4Zs9QC5VsyQQv2HYS%2Ffe75Izag9ltmMMzG%2FzSCxNlavjtWbTUYatd6vJxH9KPWX7w46SHbPZJV1ZtuBq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=31206093237&catId=50000807
의류,드레스,원피스,"[215.4722720707299, 222.59780277498183, 231.04188733750559]",https://cr.shopping.naver.com/adcr.nhn?x=aQ0e6Iwb9B40UmP0B8iA7P%2F%2F%2Fw%3D%3DsNaLiNJfSX2Re25UX3wwPm6s%2BzztKzz6sHCOjqk8Z%2FzSrFVJNY33ohPbxY44VmpO%2B6oPG16rHB%2BLAMlq2ygkmf4iZyWCMV7ecxxJhTk4Nng7chHSz5goAGyQrVePkPtFNc9j79tvWkVtDGV%2FGgRVYVdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZRfOMD6P72XvtOSEW2e5j5wrWnP659quZVfgPLnuBwVdJmGZtdzZioTKv1Kj18sd6IdztVG7bVc5Lj7BX1Nb0p0H9ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7uRVyP1bQa90qGDfEjM5zCd1EL7PBh6vo%2Bzr1Db8r4ssYwUWP5K0o38ot%2Bhh5EitTYayBGBOIcqwIj5yDbNtdOpBHS7iYdd4BTrgASNQmm8sBNZaXnRrKWZoU5Yt1ezKsDIUWGOKoy1abL%2F314kTVHoxR5nSDIc8JJ21EpOc3bI1WXaFJzLHeC%2FlVMsn1vqEV0AuAxrwpUSnCK6Boq6FZ%2FgifJbwiuVgM5RFH77Ku46LcpplF%2Bl%2BOTuRtyUkZgzNsTvn9Q8cHhj6SM%2F%2FfLhiQn31hTbGgxKNGkJ7tKLHkTU4jthmfljiEHZSdsAW7EQ3H5B0CIl3BeKsFF2drF%2B%2BsFv&nvMid=31893801220&catId=50000807
의류,드레스,원피스,"[157.97910341620832, 135.1362107163364, 111.21925002051229]",https://cr.shopping.naver.com/adcr.nhn?x=jwUs%2FEihodXqBv2C45eXdv%2F%2F%2Fw%3D%3DsySaSTKKlOa6hihJ%2FcuVQ460BCPuykmVUgf3m%2FCyU5nurFVJNY33ohPbxY44VmpO%2B0Y32HpQonALabH9XPe0sIWFWcmHAFfhK1JB5DV%2B%2FTpPchHSz5goAGyQrVePkPtFNc9j79tvWkVtDGV%2FGgRVYVdof6jW5jHdz%2FbROY2pgmykLiAfJ3HXoWmLy01Zq2yZROnDB7vuQHqCYJruDQSzwFrWnP659quZVfgPLnuBwVdJmGZtdzZioTKv1Kj18sd6IdztVG7bVc5Lj7BX1Nb0p0H9ZmPTZwuzJecK3rSq4yrQcFmJZfr4Mcd0Qy%2BgSKYMba%2BpHa6ewb0%2FDpcGez9%2B2Mmaf7oVVn%2BbTDsruUdhAA7stuFIBTRnLwIRygD9y2BP91EL7PBh6vo%2Bzr1Db8r4ssY3gU7tkJRiL7%2FLXNyQvK02aA7Kb53jlLBugy9aFNCOfBHS7iYdd4BTrgASNQmm8sEHWm9iVKVTjs1REjHhTl7h7Gd%2FFsBXgPUjBzuErZxqiHv%2BtqBQGTdrQBnR0ZKSvueMoFOKJ6vvH%2BJii9Jjph6vyNHyBUXwWVD2ki0TxnNzy7eUMOiNaSDIem6NU728OrWSXatFMn%2B5eNF5EmCqyquq%2FhgaMkJIhbUi8HFdPXAb3MUr9oY0MlCY7quuX%2B55HgFL1fLdQBEVCQ%2BUZbGuuDhoOEsHC78VBLnFZh%2FnDobeN&nvMid=32186681290&catId=50000807
