상품 분류,카테고리,아이템,세부 색상,제품 링크
의류,드레스,웨어/잠옷잠옷/홈웨어,"[26.105074853579325, 25.492614578970276, 32.49513301751428]",https://adcr.naver.com/adcr?x=sooR9+22wxQv+JwcDMaOav///w==kwPgnmorgQBGBqNNmxMecxyegIWDD8JRhzVAt83PDVvZoFb0mIvl10E7jU5XIg7ZVxPb64EOjivfTclpk+mFSpMOCZmWPKQSvpO0lGijScKN7vFLvD2T0Gh+2Zh8GaH4C27FFgtfxFmZ9TnEt6Z1N5tyg2hFBKggn68E2UA24y4dblXqgIZua5Ded9hRMR8605y4vNNVYBJzA4q4Mgusgx1B94aH3k7li5qwXeHnc1q1k7pa29PTShD1pe7qDNwaGw/JS3JwbiZCATPGYROQ05l8k+0ESo8lc8xc+B9xZzXH4QkahRWlHSH4t+FN5zaQbSUn5MGiC/ANGqedbVxe+1a2k5kGLdVWdgiZh5llRy1VrrEpmDfY8t0nHXid76KUi9/nRFLoZ1MgXagkmbEX6lFqp2+XUmK8bgBj/jsjOLBVYj0OC4ZgUr2LEKTbxEnCU9TTarOP1uwNlyF90rf532UbPNw7CcpCtv9gZfIH976h6cDeenkKg8+FfjngCXHveHr7Fr3S31KGPLzIvVQ5YE7anzsf7OFim4QMD2lx8pw/w/GH4/xct81urBIHVa9GfLjYVIn938sgcS3oAdDXErr0AHN7fsHPqnOE2RmS/YJ8/F4Ug9vZKeD67jtz8TeK8McnU5fJ4gBxrAUcfq6t8A181D+FqbQypoRNEFJkhyzabj1vvsdYo8bxGNTEJ6CtE7rgYl/03lNbhuGWAeO8DYLmS+kXGEjeUNL9e9Wb3cOrSpm0qovBPVitJKj4qllTD94/0FesVNO9Ha2fz2ApLy0R4A0Ol92QvMbxx+kP8Rd8=
의류,드레스,웨어/잠옷잠옷/홈웨어,"[63.20699367089557, 70.1488924050548, 80.2644620253128]",https://adcr.naver.com/adcr?x=m73YLpB7ybk7nBCyfAFY+P///w==kCNvnLTiiUSbsByPfKWpwpiwHBet3VXYrPRE8OOgPP8T4x96OxJI5vi9hjxZdgPloC3z27VHeDr9a8qSuB6OJjTcEAoOoKOoT8qjiKjAsWGe6+buS7p0EID6xXJ4HQw6IIigWq7IsMJcU0fvj9w7dqWNtZihugEVaXwriYMsENRpXGpfY9qEPbxrhS5/A91k2CkJPNVty2V04eCOaN14bSxJcE09ILnP96tYH3OfHiyZ5mKCI55tl/d3B133awLxFimTkbofqCeDtLFjmsxUeHsPhL8qu45sovwLH2SSW58QBzON9RE9VTquD1cXGuXzrT7eMZs/vbmwvWidm55LxXZPQcoxxP7Hx3jMsyoBSy7oBPGGDIEWWSZB4ewoVISCj0VgdkgnygbB6xung4D0oa3a8YXSm6F2eH4FFNuQNkxZaCpUOLQ4+PNuqIzz0rb9ChKcZJD2CJSrQHf9xSL4Y6KRVEVtHmdhmKIy/ojXKi3cDIKWCgbGwVLVQ2AzkvkhFgytPja3evyaNrhdattdUppMpRqq91M1vcutBOgJl76gIB3pEgqjxx7y+LtvAuXFavZFLInaM9LH+07rio+cObCsa/d3gtdi0unfVxmljZhWmqrx6db0yzGvLdS+4EL+JRLNVqWpA0wyPDGUo5WEXfIai0TqC+GiabhUMkuXPMqJuyjjng/Z0tCJrgrLXHG1lNxFaMmlgXCLPWCE21hYVoKRA5Do7qlF5VcukL9cR6pao50mCx0VeYUw9GLTMbuF7zyfjt2f9KK2IVyEooTZbW+ypDrdGK8EQpbdp6xqVUy6gayckinXSKAk88GVnwuQLstSP1yQEhz61TmKzpDyb0GR0MgA5gYk91R70rDBibMs2SzI5H2VlwSWe40mxc0dA5cHlzlTTbJaPavEXt+xn9IybA0uNDossoU7yJy8a50vTFO0ZCCYTLd3zqDfy+rM05992R1y7D5AG42fNa9gxjlPYXjag1YVWlSYax+u4YUc=
의류,드레스,웨어/잠옷잠옷/홈웨어,"[205.48926258754955, 194.97715409012613, 183.37153098982745]",https://adcr.naver.com/adcr?x=52usaQw/oQXOZ9w+PnAoe////w==ksfNyXtHOmAB8C9eXJYm7psKDDO6/6vzcI2k6KwzjiuC1RNGAKFLFNRdF8MbWjivfw014rhZtslEgaOvQ3Y2EWghrn/ilBG7L+oI0G91BB5f8Ri/QQkWO9s7UJmFep6+XI+1y18Uq+IzwGJ+KVSDWJ95Df+gM8WrxC8QAb9vFzlvKVnKmxnKr/ZPDB9yc4WJReFIm/JJ+S1Rm1SiyvnZJyVnCVBBDVB871QzLPhDdeZYLCwNKZHw/FTny5BAEajmhahXdgkmgJ35Wnmcs9/e9hmTi2r/ptjiNWP3X/9v2Ai0C/tQJA+mc0GWQe6sLHWRiILr6HHQxB+iS8l710rqFtAch6Sjp+8IUPYDbGeFnuqrezP3bWPf8oAygFAgm90w1Rpu9zgrZ0l5jh+285gidZKJ4JUSrCN5PdRt+oLhcbjNtCy5Kw9ECjxWLBvxhk/RIKX/R6jqzTlRoTt2i/+9WhkrvpthE0EYsU8dbnhhVizfBE1nbvf4ILJu2bo1WSSiYgC7BX3Oq5oSFxy+VdO5D3QKUH3JpaRAh3IXW4R75mvZGP3oU3Nh7o1Gf0cs/XyDIbEJu6E0Y3v8P+WYJ5CDXcsZpWrI7TvqP5LSt3eej/FA1svToWbgtTlEPTOGte8HgViG3iIvmoXmJE8y7xY8FbghOpVsZEiyvtI1y8rjM66GmQlB3/2R+NKENGegOQZK4/wHljQRMhrfm5NCfJtwXt6mz0WDX9bEyqi2yUEqw/aWp8RkSB4AI7rYu7cz60HU1j3ftGaNhc6OlZh0V7QeQrao2QMa1wHOFHqvSYw80z80ixp2QC1JqRB6JZ6XrohhkGfFdl8Hd5cSaAIpUMhp32On1qo7n4w77W0m91jnXqwc=
의류,드레스,웨어/잠옷잠옷/홈웨어,"[72.22093023255567, 41.7547906976624, 34.03016279071292]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fbonitaropa&channelNo=100631973&tr=slsl
의류,드레스,웨어/잠옷잠옷/홈웨어,"[78.91060617820669, 70.91908568768565, 55.320804874259196]",https://smartstore.naver.com/inflow/outlink/url?url=https%3A%2F%2Fsmartstore.naver.com%2Fdb7&channelNo=100439716&tr=slsl
의류,드레스,웨어/잠옷잠옷/홈웨어,"[210.32510201580143, 197.39944657524399, 198.83716002031193]",https://cr.shopping.naver.com/adcr.nhn?x=PZSHxTAl5fVBsZEXEqKpdP%2F%2F%2Fw%3D%3DssPtynI3UPSwFApqXXpQNZFyrM9pHHXOIs%2B0FUJNfeJSM0%2BzTgh2QRLhjakkeM%2FDQkFlkD0dNpN2NU8bHlAsG7vtDYReQv4d%2F9HyWh7Db8LwCifVHs%2B4XHgZeGz4Lo2ZSoNlPL9VONdZSAwP8oLF60Els1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YynNJ3vBBVIdbkKsNtFqYvdTsXqO8SM7%2BkE1hHz6LKB3bfZ3Ios%2BvEQkc%2Ft%2BQmt%2FBehTRsk22wAHI4W8IEacMeL1oMT57tH4d1ArirspF%2B23n15fQvkLkFzpKV%2FJO4rz7vq4pZA3hvtay1NdVGnhX93YrHsbeStsmJBfOvK7DA6onQWNFMqoBmkyzPM0A9yOKR%2FZKL70KIocXFcFR7dGRR3kqNGnYP2mQGFwl2o9AJeROpwJTgwII7oJ24WFCCqKuBqHp9BveU5g8G8eiabQThYgtK%2FlJjOKzlJV2IEBfprxG4e%2BnpHzxC1PGJwx%2FqRhYWv5sY%2Bmgp7BBRbmA3oxtcfLnPyNBVyQkzJJe9pCplyJPpRN9qm%2Bty%2Fiw4G4bOAQNTxJyBavLpzSPbUymYEC1FXFbD5ynEGspKydXelfFWfmhkxQK64FMUFkEevaszZfXqKIlbB2Yk809ARnsAUQnZNYgN%2F1NgM4LgvOAJ6Euy6vkYnrQMaFgIJcGpqchpQ64ynBltxQv3Xuo2FQfIIKyBQccgIRCk8vtGb7Z%2FKGMSEdE%3D&nvMid=33194236512&catId=50000826
의류,드레스,웨어/잠옷잠옷/홈웨어,"[200.54342556816843, 202.37677890038273, 214.9319158127161]",https://cr.shopping.naver.com/adcr.nhn?x=IZTrzXApZziwiQSLa%2BQsUv%2F%2F%2Fw%3D%3DshnS4pquAV9D%2BZN1J7rEaQgEz%2FWU2nn5rUCkSzKzUAcDFbqzSISCpLi%2B0hKIHTy0jeltmku7z5zKPzlExaAnKqQhpclaF47uR6UK6VebIM8N%2BpcQBk5FXSDyPRUaTEeDO1RgM7lS8SXvpqQ4Vtb0ZtmedW%2BMyCIcyNsWGbi%2FX%2FUA%2Fa18qhDQ1A%2FKJp3fgBDorPCE%2Fx2gNGRQsJq%2BPvsVbEjR0X3hKRcy5ZQr4Vvjfh8rRUY5oR3g%2BTgxTwZmuARVftJhAHUkDrhBXlvpC3OeQe48xMuF0PcC6mN4FYltYHs6M90siYLMuVJsjCdMex4%2BMto%2FwpXdxwvxGicdT%2BVk33MHPv45Edr5fvvv%2FlTzZa4VEOnKSk6pZmBmpZwGZXBENeTwa%2FAQqNbpJ8mfoHlrhZjokh7KNEkkbwBBKOUFOEEpel6gG92G0sWSkN4CwwBQRTZckWouVUvYuUAa3aE6zNiI28QDIftdPo5sZ73mZF1T3WHiOjN0sZCktnxZkY0LfKxQKm4Lh0QarUt8RpwwO8Zg87DFpPuh42bqcq%2B8Ixr34cWZuh8q37WFEnBhDrUlUMuZJLnozqHWXgeZrqYBZkrxVLCni88ed2hKLAyWms4EUsqiq%2BaRdh19ZzFGBbFc8wK5IvvuXBQyBDZOK%2BIQItwavz1UJ5a3mGs38XGIixQNvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=32966564908&catId=50000826
의류,드레스,웨어/잠옷잠옷/홈웨어,"[191.80155853570213, 189.6100036245046, 195.62923937244065]",https://cr.shopping.naver.com/adcr.nhn?x=aBUthjo4Ensm0kIUoEiwRv%2F%2F%2Fw%3D%3DsB4FrlTtaz62z2VZUzu1oeEtddM%2FX%2FMsRNvJYPFS7RVTdiJjsbBRYPP52wMiK2sOsrKOZuW4OwziK6jLZ2QwXpBRkmwSADmWw6D9yPyB88mq1q6qbGiBMZVt6LOurz8qpdBgxFewoG%2FGJ%2Fvx2IbxK1tyGaSr%2B0dRu37W7MMIB4NFk9Io6iZoAfEBQfsbkhBMBbttDF0pDohgK%2F3DN7nofbN%2FmRHXvyFdgXjDeKsA0NipS%2BEJ5%2FeVUCDtiy03qZKXIicJmfuHSjOdWG557GpuiWDnfesK8hhlAArLU%2FFtX1NjM1pcQk0OrNHraWfHdrDoAqwkXVMbwNe%2B45dFaHZqJITVCZ4rdk8hPModxsSdH4jyIrxjN9z86p%2BJYLuDn7NO%2Bs0N7mtDbKoQTlzCfTQ%2BUoJF5vdiy1pKokcNpmVNFhSzRPZaaDKWqC4VP7YiCV1fVzr8MRXpE3J%2B0V%2FUoqfiPOnmwcqED4EPz3qpVOPQ7ZXeX%2B1H9o%2FNJswDFtsQTaNRq8Ep6YTDCIXbDr8Ux6r693j47MzPRLrq%2FJ8ab1LQMJjxInAPrMvLWaBRsM2L2t%2B3IOTIHQAzCKHp%2FWLnO%2FsHp5eECcezYyaNhJz1Akp1jyZBbSW%2FJlK6MDPXCDrvlcl6IramjBwCZI9AwCV4mCTWQmRGNLPH2aZ2vz2MfOTewJSwgD5L6GZM0D4s2ogvnKtMhV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=33212306003&catId=50000826
의류,드레스,웨어/잠옷잠옷/홈웨어,"[164.59872835212988, 151.59700706080636, 154.0316858116375]",https://cr.shopping.naver.com/adcr.nhn?x=ASBUU%2BvWqb7SJsrMHsMjb%2F%2F%2F%2Fw%3D%3Dsfm95zbHhdvW%2BbGXD%2FNOvzm4LOpja7hFfjGcun8iwHBiM0%2BzTgh2QRLhjakkeM%2FDQ556rML6AWm5vIG1a3uAyzcLn%2FswY8aj8i6yPxcGaBO0CifVHs%2B4XHgZeGz4Lo2ZSoNlPL9VONdZSAwP8oLF60Els1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37Yy19cwgaILe48Cevv8EZKNXSs%2B5nZMPQmpwdcjR7l3uVzfZ3Ios%2BvEQkc%2Ft%2BQmt%2FBehTRsk22wAHI4W8IEacMeL1oMT57tH4d1ArirspF%2B23n15fQvkLkFzpKV%2FJO4rz7vq4pZA3hvtay1NdVGnhX93YrHsbeStsmJBfOvK7DA6olgfW1MYgSSGWtp7SWDmtY7M8x3TU2t9hZyDJUMDGDqKkqNGnYP2mQGFwl2o9AJeRMq%2FPmtNz%2F0kpJLLTHxJUZ%2FMYYQ7rTMUy2as8akq1exzgtK%2FlJjOKzlJV2IEBfprxHYE%2FMhnoK%2B%2BQA517baC5a4%2FgGNthaJO1k2VNAY6Ita%2FVrxWmRyTAhQob4OD0uPfj8kVgYz2w1NxoauiGxmUcI%2BMuZJLnozqHWXgeZrqYBZko6TiN9MdCz9QYh45fJqAacUsqiq%2BaRdh19ZzFGBbFc8VbX%2BbO9eE5nQRgY3VKHCdvVc6Zhb4QlYWgzDO9Oz6XNvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=32881788076&catId=50000826
의류,드레스,웨어/잠옷잠옷/홈웨어,"[212.35319572626716, 198.60332018534325, 199.4930685865229]",https://cr.shopping.naver.com/adcr.nhn?x=kXqJdFbHhPZc3xzmLjmmtv%2F%2F%2Fw%3D%3DsEl4UFPomgM9Cx8nOmNt1Gn4ms98T3ab7lKA0zf3P0gzFbqzSISCpLi%2B0hKIHTy0jMmJSgYB0wy1AZkvCXBt%2FtoPuyuoNFGia6DUytGXQD8R%2BpcQBk5FXSDyPRUaTEeDO1RgM7lS8SXvpqQ4Vtb0ZtmedW%2BMyCIcyNsWGbi%2FX%2FUA%2Fa18qhDQ1A%2FKJp3fgBDor%2Bh4Ii7SdQZSMwSqhbh058abFzCcFZsdjo3nXluHpgU3RUY5oR3g%2BTgxTwZmuARVftJhAHUkDrhBXlvpC3OeQe48xMuF0PcC6mN4FYltYHs6M90siYLMuVJsjCdMex4%2BMto%2FwpXdxwvxGicdT%2BVk33MHPv45Edr5fvvv%2FlTzZa4VEOnKSk6pZmBmpZwGZXBENwMA3lv58tUqkfkuZeaMI3Dokh7KNEkkbwBBKOUFOEEqznYHrDAtX58gZokEwT3%2BwwUTsu663Ki8A%2FOhg2IxeZCI28QDIftdPo5sZ73mZF1T3%2FRQ5MzfIDyBrnQA1eoxVR%2BnfRT7bMUvHxUEvCs2faRctTzjuq4MOsA6JMWsLGOKjriJ8H0NV5nx9%2BVr0aUV2xzMx4iAY4o0ciNFGnmR1NDRnBgwD0N6FFMgBd6nrOIe%2FhgaMkJIhbUi8HFdPXAb3nWqPwhZP31PDTPtiblBDlZNS29QJZDEJmcBtDJG4jBeCqA6%2BrrPkSkQjk3bFq%2FUy&nvMid=32341434180&catId=50000826
