상품 분류,카테고리,아이템,세부 색상,제품 링크
의류,드레스,원피스,"[174.8127531168124, 167.59213451917734, 167.38455888191848]",https://adcr.naver.com/adcr?x=bXfBbZ5eP6IBYWUI5EYIUP///w==kaHD4WP7iJS3kXHrX/uusM55bSZcrVaoOosivQ31WAra0tT3NoftAZlPePCYwnxUQLuq5kJ+o64OINI/EsU7mL41W9hWKYZDubfwllLusV/Ivn7HV3Sy0AaDM9m81vzaYqQJ7Z2EVWxe65gVwoLSICKAUo3hRVn4AiVS+2BUFiex95adDAs8tPWLLZ8teY2zh+e5Chwqe6GCV27KDeWkKu1eeRWw2B8t7hYmYrHuJ8Ed4G/HODUOypQVtF6/3l7Ic7vUQxU/ebw+5Y1yo+raYV2/7e1eny9t7ywwWC9ykLJ9KrB/fNKYII8gFmXmtxqvGAVfN15sAY7/k0wbmc4TDCMIkxduYytx/5/bE+sRYrk1eiPvmheiMilVq76LF2ORdwvc9Xl9ZDiUPELpTq1wziDXXEpDnaPlu+EM9DNS1fmOd4+E9Y8MCMY8n3zgBxZH6qsMQ3ccXrWWe6heRgrcizKWucWuspku7+REQq968t66/Z5KKHqigfwNsFrxQeAugsfY/gGD+Clus98T8eYGakq95MSukl78WZVzxzf7lQmyhxcNO3A1bmIxOvAiPOXzU1+v+sMUSxKfy3jVFMVAQQAYqeV9SC7oLMgcWRsWM5ph87f9i6uBo1IHtT5jIsX5il2QNfGEM8AdwtLwmveadfwBm8Yj88khVuADPQ41Z7mM4eeHygjpzR/d2UDLmLkTq4R6l2IUPx0KCXeoPxFcTn5fej9CQqGYEaEKqeb1Hp8hAKgfsM+wXySmYPvDyRaMcKctmXzLi9q540akAIqF1jB6kkVhidioaWsmsrDUvESYchpNJgapyM9+Wb6udTll1xuu0NAnqDZjOYhiANq+4KkcQgdFMcnRiqD2bN3n7oCE=
의류,드레스,원피스,"[37.79636212822308, 33.446853892647425, 34.42522810758891]",https://adcr.naver.com/adcr?x=kO1JXrtGGqqhzNKSKv3FEP///w==klyL2uN10zCJe7HnrXE5nlxlLXqcI+sGHBpbiuKStpDAxuJ3kVcTZbT6ikJ1uZlV8XjBgQEuPimL+mKIeNNkvBMEEJz6wWZE/G68/scZ7F9OnafjEgCdTeTH/nzQb3Put3Ta3aGuA0LHrqf0A0nCAnzos0xUTu90vCU50PiStrBWH+zDv70QwVFVlu7s5xpTVnEuCooF11sjLDb8euY94R/hvfft7HMSbYxqTNoU1A/CswyuJkWP8feWHaUxCJE6zKwTyyWuz8Kg2hw1LP5qd+LOegGJ9lVrOQxhId8zucQmBlllqIRnwL+y+Nt6D5XAdiUfwf+20NyrL0Vn9mU/hZ1zS5r7E8FZSqNCeRH6KqEF+9VM3Znq6mpOffoGSoUDtJtlPx4E85IzQoct8TbD1HluQNLpF1F/zELd82TrfLAf+gWvKg6RQhROEfs1Ev3MgG7apMypiML1w17HAGjuoJ0dvwCv8KNV1muMbUtKGUnAvs5zVnCUMB9Xm6fm8Xj6THkFtTv3KMOk9UsJKZM6X9J0MZa4wF82dBfXfbVwP076jCmxVIGMwVRlF57PLRiwFSFiRzOPsXbqWyjaTxaJJ6d7hewHx0/15aRNDNhD5noUiPkAl5z41Ym2xy5VIYep7gOqUNHYZ9Zbhi8hGCKIgrFGGRHl0626cDjBkot5oN6Tz6QGLD5CQqKgdQeJ4vWNZu2J4E2wTTSZl4zVj24Lo66/UoeQofaV5aQe/PTYONWX351P3JVE9M5LZzCV+rIKT2VxWOgY5dN18NGRcasGkA4nWN5JA1kg46rKppNjy7DV7mtmyQkRgpcEYG7fNOo8owOjck5RiYTdHGYzskvrLzTWI6kPmBTBK38FP0FkDSO77mAwiRcR6r4Tc4h3KyQ4cnhF5m0s1WzoAcGjv0YvqXdo0Zorh1RvW5BSpzXkJxDzlXKUxMxhnkfyZWtajSWqZjSVaEjyQBgUITraYTYHkCvnI3JEUj8RW/O4rfV7Pt3A=
의류,드레스,원피스,"[205.8667331339304, 203.38189874819935, 195.0705217680276]",https://adcr.naver.com/adcr?x=oak3gbS0ea52z3Q8V+8JsP///w==kWd+mirQPyAYndVRl3wrbdK3nvVVLUUik7F2jdh0P8Hj5n2YHzb4N1tY2thMCB7wdNTfcPg09Y+w/ggENmfWHxc9zpfmLsXDftKj01E0Avd0BdoOA9750ecmtfbG1WKHSucIobaCmwVGH0Esue4zRBjUzBkNIpGQxf1xRDOae1yeeQOkea3WeBpu6MRW3T5t85M9MJcvR5XUx2700Gy61DDmsILV3O/48XiFYkeFPszmG+/pbP0x4yvzem3M8EnuKFDfFOWXIw+UDLZzQmUTpTmVeTVGtjIVpB6fRuW7xhoXXiAU71NlEhc8APPKJJN6iqFiGjiP+ybi6exnNtBvuCmElNI3PYVlUfohVWZ9sNsPbfC8T0bXtXeDB4wuLh6jLwDvQhfvU3AGpYUSQ0sgw1ZVv+4sYsiMgOH+T1kkc4um2esjgEeXRovuESFXPbqC0y7KcI1iuhZhlAeldi+lZ5lcG9to9LbW78XoQ/4CgRiLDeSJrmntqPnf2qMXeMXXkQgnZecizmdAVzkRgGgfBf6x5IT0UkxRauit5BV7fYgce1nJkxFPzDrh/68b5h4iN7pjK6hX+hZRP0P0KpU+8fUIH5FDQX9PJuDaBj5Hdit+/aDEQoiH7Pnqpge+dSTZnjN5RIltkUTLrw3Sqw9FVdvO1gf79gB020wuop0WAzio4g9jPErCqhlyXOqqwHaWNMjtCJbUzO2Jm451q6B0+alOaa5QW0le8lLyU7iupY/m93l2d8y9ifjAQMIt3IWkM/e77pcBV7z/gW83hJ8QMufjs/yPvJcRP6PCPIihuTA4ydIaobtWr4Jnz5qIaEIQp544taDLav1ehTcixPluEmdRprR/WqoMNCevDeeC4Xbq+EzW0IXzoGdmkZrFaaFt2xlYJVJTgANWpRmHg4+OIQkwEmDgaqhlNXLqzAdD7toCQN8lb8ywwqk6EWj8XwH7vkpCyks0Ip3C1CNB+lih2Qw==
의류,드레스,원피스,"[168.77864100878188, 150.8594394310667, 138.46229008545998]",https://cr.shopping.naver.com/adcr.nhn?x=cBmzdpzo2tUQgtrT5y%2Fmb%2F%2F%2F%2Fw%3D%3DsFwni%2FK5z0L7nlwRzlQSzPu4w%2Bz8jFJqgSnvn7VuXlRxrLZWpj7%2BmniVu1sT4RyN44zlVISFjaTAyZDcKUwnJ1HuxinT%2Bqn15IYcNTN747lLiRwcX22h0q7K%2FIeiYgtr05D8Cfm6fIXmnEFLzw7TrxGedW%2BMyCIcyNsWGbi%2FX%2FUA%2Fa18qhDQ1A%2FKJp3fgBDorb3l%2BKkgxdnIXYYmbdMGsASUQZRWqQJ3PqMtqXndxXUNmJsZ0n3uZYo8cX0H8z60SXvv3EWvmOpRxJnYwFllkLY8xMuF0PcC6mN4FYltYHs6M90siYLMuVJsjCdMex4%2BMto%2FwpXdxwvxGicdT%2BVk33MHPv45Edr5fvvv%2FlTzZa4VEOnKSk6pZmBmpZwGZXBENpdQV%2BGb7%2BmpF0tBlZOtV1Tokh7KNEkkbwBBKOUFOEEpJjLQcXDhROSvG%2FucVnVaEHMShAfiXuyn0%2F02Mra%2FfcCI28QDIftdPo5sZ73mZF1S1Qg4CeR3pRyKi36UxX2gwiNTGI4Tu1m3aiQaSQjUY8D2Q%2FwvxUvdm2ekxdKbvF2HLm9kpis0xg23I8X8jVxfmqcZzqqPXnZwgDU2FpJ69EK2powcAmSPQMAleJgk1kJnHrMM8vz0%2BowmLgLwZ%2F9PPMZFMWUZwocYOiFbOjV%2B%2FtVaFndIwdNwuWmKtx1HNSCrUkiyUGZ3FpPHvE7X48%2Bhb&nvMid=32936138214&catId=50000807
의류,드레스,원피스,"[32.14908694466868, 31.1344598891541, 26.31207413463332]",https://cr.shopping.naver.com/adcr.nhn?x=fXbTT9dFlPX8iPurqgvCdv%2F%2F%2Fw%3D%3Ds7i81QX31Rg7%2BNuPURh%2FNl%2FqXZ7rxzQ8P6mpjw8Hq4UOi0d9b8om7XswxWsl%2Btru3LjRfEWplzVEe1%2BpCrqMBFPEP5LzqzpFyz0keEtYPhnXM%2F08pjse9eeNuK9F3pWYB1Ty6%2BReydBtsHWN3wL1pq0ls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YykCek70Ee%2BZ5zeAPo2xWr%2FnoYJAmX0j4F4xZ7PWw3qgrA2e4WUx2ZAAU3CzKvvDYrBkVpilYKGTD0CHZp6NC8QVoMT57tH4d1ArirspF%2B23n15fQvkLkFzpKV%2FJO4rz7vq4pZA3hvtay1NdVGnhX93YrHsbeStsmJBfOvK7DA6okFWVDpWEFbleUgH%2BNC%2BB2JDpvHvp5Ihfw0LFBWiLFKJ0qNGnYP2mQGFwl2o9AJeRPvgfjijhyPcEJS%2FQXe7RNpHdr2x3bfoSU0%2B8rDO%2FgYBwtK%2FlJjOKzlJV2IEBfprxF0izQgjTqntgIgdsPeMonVeUqfvIqJq2toC7eMSTX4vtRt0LYmWxQ2vXGV06abT%2BNXFC7DfAzfdZRZUdMHBxtXyZdaeqrCP%2BejhHYkqILvxxzjTcXwoVM8lrhL6igy83LYaWM1VQTKpWoaiWchswdR86euOFlqYxGW3xtmz76xsQ1QmAmnoJRdq4K9btjkCM0%3D&nvMid=18558082894&catId=50000807
의류,드레스,원피스,"[216.239059200466, 175.1498580062628, 148.01529163329153]",https://cr.shopping.naver.com/adcr.nhn?x=WpR7%2BgYyr8DI61R1emetCf%2F%2F%2Fw%3D%3DswpiCk7qve271H578gE9Zwn4f44UJGGmpA6w0LqgFkDOi0d9b8om7XswxWsl%2Btru3CIBYns3qFP1aIKdYrPv7BT4qAguUFUWXiUJRsvWG6X7M%2F08pjse9eeNuK9F3pWYB1Ty6%2BReydBtsHWN3wL1pq0ls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyxJUJwYdDWO63EOoTgWbpwz7j7FRfKL84OH1h%2BsIHQl3A2e4WUx2ZAAU3CzKvvDYrBkVpilYKGTD0CHZp6NC8QVoMT57tH4d1ArirspF%2B23n15fQvkLkFzpKV%2FJO4rz7vq4pZA3hvtay1NdVGnhX93YrHsbeStsmJBfOvK7DA6on4YiQ16CgGAF09G4vU0PUNaWcGfxnZFKs0SkAu%2B1EthkqNGnYP2mQGFwl2o9AJeROcCCQ0b9YRvLmN95ntMS8rtYl5wZXzeFiT8WMYRv4mngtK%2FlJjOKzlJV2IEBfprxHlMAuUKAnCa600kgPcdzWLNWXiwiY0tnArbGr4JMNSnUeZ6RZlUH1cRctJCxzeoZEto9oWJlaff3d0viyKYxhVWUyAeCmq7%2Ftccd4m3%2FsXO1AgBomcC7V0fWp2KAsYWKzvW2q1ZBpuV%2F%2FvtKUgTGHnUlc87bFClN%2Bs7UgnRtqm0OwMR8JKbVpVZp6EDqVqzl5vU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=32901531304&catId=50000807
의류,드레스,원피스,"[77.70730298128697, 64.61035359370211, 52.01941298820667]",https://cr.shopping.naver.com/adcr.nhn?x=v4dxxnVCw01l2p29y1WzSv%2F%2F%2Fw%3D%3Dsh%2FMRqdZGqdxCWzcUYlUSXWBnz2y%2FGQC0A%2BlB2VPvlqSi0d9b8om7XswxWsl%2Btru3G8%2BFhbiReMY1gdFGJ0wFIJO3kX%2FOzPGRHOAgjWIaUcLM%2F08pjse9eeNuK9F3pWYB1Ty6%2BReydBtsHWN3wL1pq0ls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37Yyq4yrger0yqXIJJ2S6TWKfKVKHx9%2FWMuCBFFaj7AlrYrA2e4WUx2ZAAU3CzKvvDYrBkVpilYKGTD0CHZp6NC8QVoMT57tH4d1ArirspF%2B23n15fQvkLkFzpKV%2FJO4rz7vq4pZA3hvtay1NdVGnhX93YrHsbeStsmJBfOvK7DA6omBWUxxFku97cl%2FAi76wKZC9tCwW1nQj18j2dLCtFu%2B%2FEqNGnYP2mQGFwl2o9AJeRP2ogG7gNGezY51K9feWoXS8HML2inWjHup0UxuoGYuoAtK%2FlJjOKzlJV2IEBfprxE6ThXjNSbxfJJtmrAUR5SEyA1hwOg3lHlduM%2FATHY%2FNc8NFjYqztkIeUlhxozXKCQbLN4MkY39L%2B0Jb1i4NGoig5ORHDt7ktgENLqBF1rnZExoyrsZUVIyDRgdwDp1vjwSzxwVRNV%2FYRemZK5z1sCEHRjL2XVO2JdwlimHKrfknPk4ouL59srlEL%2BtL2br0vJoaKZHilHbuauHUigNM5KA&nvMid=32288200834&catId=50000807
의류,드레스,원피스,"[135.83383998894308, 12.25086361751221, 30.22875500898212]",https://cr.shopping.naver.com/adcr.nhn?x=30%2FAUWmq%2FBuDhODp1p5jrf%2F%2F%2Fw%3D%3DsYLBVlviYYpqjRCDS85apLsL0PjOVPNuSZczR3oxfK6Wi0d9b8om7XswxWsl%2Btru3eBBvOo3u0I5RVazv6yC8UjT8PDMztF%2Fnj%2FbEKb6WN1TM%2F08pjse9eeNuK9F3pWYB1Ty6%2BReydBtsHWN3wL1pq0ls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyI6q%2BGmrDnSLuInieoZALhbrIaGELhmYw3e0ozgY7IgLA2e4WUx2ZAAU3CzKvvDYrBkVpilYKGTD0CHZp6NC8QVoMT57tH4d1ArirspF%2B23n15fQvkLkFzpKV%2FJO4rz7vq4pZA3hvtay1NdVGnhX93YrHsbeStsmJBfOvK7DA6omW28F6kvxOZfngphLKh08kOd8%2BmlXAUJkD%2FepB%2F7IRKEqNGnYP2mQGFwl2o9AJeROXQOFt5N4xOTk0c4VzyEVvfC5ZrSqHoGD2BJZYVBhTdAtK%2FlJjOKzlJV2IEBfprxEX90AT5gzI0R81hhciyayrQI9GHk61kbHMH88CALoACyxPFxr0hkb7ddcAyJnlElVyfcHZBuTxUa0EVbIHcDGMrVpw%2FU6DfRnJLAYexPp5eTn0gCkKb%2B9uLE3NBcgPRMkNauEcRynSn%2F8orOK7nc90YOCk%2Fv3V4%2FgrSGbDrZU7nYdrAcL8Rb7S5D%2BYk%2FuyzXJXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=30896020375&catId=50000807
의류,드레스,원피스,"[39.43788515405706, 33.59761904761797, 33.06862745099295]",https://cr.shopping.naver.com/adcr.nhn?x=1Sv8ccZ7vwB5kG%2FJSkBI0%2F%2F%2F%2Fw%3D%3DsMoP5BUWZewVacirlu6KwNEm790cCoKYc8HUupTpq4EGi0d9b8om7XswxWsl%2Btru3m5cIqyJiGlB7qVwAPk4bzsOMSmGxslhbPiHV6cUCd5bM%2F08pjse9eeNuK9F3pWYB1Ty6%2BReydBtsHWN3wL1pq0ls1M9xucXxkPPt7QTmSRFr6kdrp7BvT8OlwZ7P37YyEW5TvBk2fsTNWXsVaEL0U4OMAplnC05jv3N9HTU0Ak%2FA2e4WUx2ZAAU3CzKvvDYrBkVpilYKGTD0CHZp6NC8QVoMT57tH4d1ArirspF%2B23n15fQvkLkFzpKV%2FJO4rz7vq4pZA3hvtay1NdVGnhX93YrHsbeStsmJBfOvK7DA6okxW0InKJBTEhm1NFiZSs5yGctV8H07DFPJAM%2FReRZGkUqNGnYP2mQGFwl2o9AJeRO%2F0uhG07PgRl93oOoGeuVuN94dV96e641QKXOxZtQlLwtK%2FlJjOKzlJV2IEBfprxEX90AT5gzI0R81hhciyayrQI9GHk61kbHMH88CALoACyxPFxr0hkb7ddcAyJnlElVyfcHZBuTxUa0EVbIHcDGMUbJ6j7Eh26uwetLudjDM0uzxUDZ0OnPGToJHHIBfR48NauEcRynSn%2F8orOK7nc90xZNPUSoKhgUpu8368vjlCsTZEJR16MyOd1aPUdkWzthXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=30841614684&catId=50000807
의류,드레스,원피스,"[68.22795549373097, 79.59061196105469, 187.42885952712092]",https://cr.shopping.naver.com/adcr.nhn?x=Bp%2BuI0FYu2JFlsHwT4mSJv%2F%2F%2Fw%3D%3DsCIY7DQhPmmPanBapz3FTHUL6I1AuU1WeWKj0kDdfHpGyRKpeyUmDZf2FFPBaaQ5hsfB2BZKz9p8qGTrwYXSiZlOe509mdBDcBVV5IbANnRoyFj7CFjtYrZFmwaMg0x3vcuNRIuuNqSGxz2FVGtYBtEgAn8lD2%2BxrgblrBqYwPdWug%2B9sjA7rHdeMLkY%2BwIMUbni2CvFj7JijMirFyJOdYFfYSCErKLRQJUm3BJG3Ay%2B6q93t69KGP4GpcTO8ApASBC71m7XVZSA5B1tKjlaq4G1lAcN3xLnSHqRecU26Bw5uQ5EyAzHTskdjs0Uxq27AQ%2BD%2Fo9glb0ukJK6bM8miKArsK1DNlYuW6vX8WB7j4Sn6cj%2FT5zxQP5HMgjE7ZjHxPWdEnjKhDUHJeBldgXhqxSa74mH1hTJLPQSph9rcpcSFP5ToINsYhz1sLlnKZxopCncaZkfznvYQEYMQuepE3VaSGE7C3qs1VLIKtSwwZiKYjiGuj1m%2BH7Yvk4uA1uwiLrypbaNu4Z33ysj07FpaXdtnFTESqFbKcp1rw%2FMhPybhkPIWBFEd%2FlMj%2BIiYnPdv5keSoZMc7lq5cNrYZoC17K6K391%2FbkVWLTpA2zHxEld5Io6FPgLaz7p5TcIaRl2dov59PT9EuPYRrlv6hl3lZY6BAdRJAM3aKOXWPklx1wdB0CIl3BeKsFF2drF%2B%2BsFv&nvMid=29539336915&catId=50000807
